t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,svm_infer_ms,svm_infer_ms_ran
1789943146.1719813,8,,,4.988431930541992,0.05169998621568084,0.005099980626255274,1,,0,,0,0,,0,hover,0.02340000355616212,1,,
1789943146.2776952,20,0.1057138442993164,9.45949895804202,15.956401824951172,55.13779999455437,0.005200039595365524,1,,0,,0,0,55.04470004234463,1,hover,0.035999983083456755,1,,
1789943146.2966454,44,0.018950223922729492,52.76982499402388,2.992391586303711,0.03609998384490609,0.005199981387704611,1,,0,,0,0,,0,hover,0.015300000086426735,1,,
1789943146.3641026,50,0.06745719909667969,14.824214663386773,3.871917724609375,34.10069999517873,0.015300000086426735,1,10.83650003420189,1,,0,0,23.173399968072772,1,hover,0.054500007536262274,1,,
1789943146.381055,67,0.0169525146484375,58.988298829882986,0.9975433349609375,0.03980001201853156,0.006099988240748644,1,,0,,0,0,,0,hover,0.016700010746717453,1,,
1789943146.4179559,72,0.03690075874328613,27.09971377436633,0.9970664978027344,22.207200003322214,0.005499983672052622,1,,0,,0,0,22.171200020238757,1,hover,0.01780001912266016,1,,
1789943146.4279304,87,0.009974479675292969,100.25585620040157,0.9980201721191406,0.037999998312443495,0.005100038833916187,1,,0,,0,0,,0,hover,0.01610000617802143,1,,
1789943146.4689057,92,0.040975332260131836,24.40492718037041,1.9962787628173828,30.096300004515797,0.005399982910603285,1,6.801500043366104,1,,0,0,23.265099967829883,1,hover,0.017000013031065464,1,,
1789943146.4788733,109,0.009967565536499023,100.32540005262277,3.2646656036376953,0.03239995567128062,0.004099973011761904,1,,0,,0,0,,0,hover,0.013599987141788006,1,,
1789943146.516555,114,0.03768181800842285,26.537997709571084,1.9943714141845703,24.32949998183176,0.006799993570894003,1,,0,,0,0,24.28329997928813,1,hover,0.022099993657320738,1,,
1789943146.5265193,127,0.009964227676391602,100.35900748929247,3.988981246948242,0.03319996176287532,0.004900037311017513,1,,0,,0,0,,0,hover,0.014499993994832039,1,,
1789943146.6007192,128,0.07419991493225098,13.477104399823917,2.0132064819335938,48.45990001922473,0.006799993570894003,1,6.011500023305416,1,,0,0,42.411600006744266,1,hover,0.02039998071268201,1,,
1789943146.6155694,129,0.014850139617919922,67.33943422277879,4.065513610839844,0.033100019209086895,0.004099973011761904,1,,0,,0,0,,0,hover,0.013599987141788006,1,,
1789943146.6471667,130,0.03159737586975098,31.64819775294464,5.719900131225586,16.50530000915751,0.004100031219422817,1,,0,,0,0,16.47530001355335,1,hover,0.014399993233382702,1,,
1789943146.6889715,131,0.04180479049682617,23.920703539368777,2.9914379119873047,0.03389996709302068,0.005099980626255274,1,,0,,0,0,,0,hover,0.014399993233382702,1,,
1789943146.7467258,132,0.0577542781829834,17.314734621592724,3.025054931640625,21.688400011043996,0.004199973773211241,1,4.520699963904917,1,,0,0,17.142700031399727,1,hover,0.015099998563528061,1,,
1789943146.7832007,133,0.03647494316101074,27.416081104930484,2.0241737365722656,0.07920002099126577,0.010199961252510548,1,,0,,0,0,,0,hover,0.03260001540184021,1,,
1789943146.8475082,134,0.06430745124816895,15.550297525257207,13.002157211303711,16.582900017965585,0.0036999699659645557,1,,0,,0,0,16.554600035306066,1,hover,0.013300043065100908,1,,
1789943146.860859,135,0.013350725173950195,74.90229833741093,10.634183883666992,0.036999990697950125,0.004699977580457926,1,,0,,0,0,,0,hover,0.015600002370774746,1,,
1789943146.9117022,136,0.050843238830566406,19.668298538817925,10.882377624511719,20.064899988938123,0.003999972250312567,1,4.584299982525408,1,,0,0,15.456299996003509,1,hover,0.014599994756281376,1,,
1789943146.952202,137,0.04049992561340332,24.69140337554233,5.035877227783203,0.032100011594593525,0.004200031980872154,1,,0,,0,0,,0,hover,0.013499986380338669,1,,
1789943147.0011063,138,0.0489041805267334,20.44814961071378,1.992940902709961,16.507300024386495,0.0048999791033566,1,,0,,0,0,16.476000018883497,1,hover,0.014999997802078724,1,,
1789943147.0217097,139,0.020603418350219727,48.53563534952613,1.6779899597167969,0.05129998316988349,0.012400036212056875,1,,0,,0,0,,0,hover,0.017300015315413475,1,,
1789943147.0687451,140,0.04703545570373535,21.260557276169525,1.0027885437011719,21.595400001388043,0.004399975296109915,1,4.802499955985695,1,,0,0,16.766700020525604,1,hover,0.015500001609325409,1,,
