t,event,latency_ms
1789943150.5088286,llm_explanation,4293.992100050673
1789943151.654817,llm_explanation,1153.043499973137
1789943153.2516508,llm_explanation,1615.535099990666
1789943154.3877757,llm_explanation,1127.2905999794602
1789943156.2427046,llm_explanation,1857.7647000201978
1789943168.2413645,llm_explanation,1434.9189000204206
1789943170.4823825,llm_explanation,2200.948400015477
1789943172.528453,llm_explanation,2084.698099992238
1789943176.5629766,llm_explanation,4016.525899991393
1789943178.4678895,llm_explanation,1886.937199975364
1789943179.6996937,llm_explanation,1263.3670000359416
1789943181.6815453,llm_explanation,1977.7818999718875
1789943183.0238993,rc_send_suppressed,
1789943183.1276863,rc_send_suppressed,
1789943183.2290063,rc_send_suppressed,
1789943183.3611143,rc_send_suppressed,
1789943183.407814,llm_explanation,1709.0571000007913
1789943183.4611914,rc_send_suppressed,
1789943183.584268,rc_send_suppressed,
1789943183.6911454,rc_send_suppressed,
1789943183.7999942,rc_send_suppressed,
1789943183.9225988,rc_send_suppressed,
1789943184.0373466,rc_send_suppressed,
1789943184.141061,rc_send_suppressed,
1789943184.2606063,rc_send_suppressed,
1789943184.367447,rc_send_suppressed,
1789943184.4697826,rc_send_suppressed,
1789943184.6103861,rc_send_suppressed,
1789943184.7132657,rc_send_suppressed,
1789943184.813456,rc_send_suppressed,
1789943184.9338062,llm_explanation,1493.6501000192948
1789943184.943812,rc_send_suppressed,
1789943185.0453527,rc_send_suppressed,
1789943185.1473618,rc_send_suppressed,
1789943185.251798,rc_send_suppressed,
1789943185.3741057,rc_send_suppressed,
1789943185.4795685,rc_send_suppressed,
1789943185.630666,rc_send_suppressed,
1789943185.749617,rc_send_suppressed,
1789943185.877679,rc_send_suppressed,
1789943186.0222197,rc_send_suppressed,
1789943186.1231005,rc_send_suppressed,
1789943186.2379577,rc_send_suppressed,
1789943186.3398757,rc_send_suppressed,
1789943186.4405696,rc_send_suppressed,
1789943186.5469623,rc_send_suppressed,
1789943186.6472116,rc_send_suppressed,
1789943186.7513607,rc_send_suppressed,
1789943186.8792956,rc_send_suppressed,
1789943186.937582,llm_explanation,2010.5713999946602
1789943186.9799774,rc_send_suppressed,
1789943187.1369221,rc_send_suppressed,
1789943187.2679713,rc_send_suppressed,
1789943187.3695552,rc_send_suppressed,
1789943187.4731588,rc_send_suppressed,
1789943187.6097386,rc_send_suppressed,
1789943187.7153437,rc_send_suppressed,
1789943187.8175738,rc_send_suppressed,
1789943187.9208024,rc_send_suppressed,
1789943188.0285647,rc_send_suppressed,
1789943188.154465,rc_send_suppressed,
1789943188.2573104,rc_send_suppressed,
1789943188.3764307,rc_send_suppressed,
1789943188.4875917,rc_send_suppressed,
1789943188.5898209,rc_send_suppressed,
1789943188.690794,rc_send_suppressed,
1789943188.852227,rc_send_suppressed,
1789943188.9560285,rc_send_suppressed,
1789943189.0590413,rc_send_suppressed,
1789943189.192819,rc_send_suppressed,
1789943189.2930505,rc_send_suppressed,
1789943189.4201367,rc_send_suppressed,
1789943189.5244823,rc_send_suppressed,
1789943189.6472046,rc_send_suppressed,
1789943189.7591689,rc_send_suppressed,
1789943189.9334195,rc_send_suppressed,
1789943190.0584812,rc_send_suppressed,
1789943190.1617835,rc_send_suppressed,
1789943190.2635672,rc_send_suppressed,
1789943190.3882651,rc_send_suppressed,
1789943190.559601,rc_send_suppressed,
1789943190.698774,rc_send_suppressed,
1789943190.816954,rc_send_suppressed,
1789943190.9078765,llm_explanation,4010.4765000287443
1789943190.9267938,rc_send_suppressed,
1789943191.0305266,rc_send_suppressed,
1789943191.158418,rc_send_suppressed,
1789943191.261143,rc_send_suppressed,
1789943191.3896453,rc_send_suppressed,
1789943191.4887044,rc_send_suppressed,
1789943191.6110706,rc_send_suppressed,
1789943191.7222853,rc_send_suppressed,
1789943191.893636,rc_send_suppressed,
1789943192.0378,rc_send_suppressed,
1789943192.1385646,rc_send_suppressed,
1789943192.2662537,rc_send_suppressed,
1789943192.372252,rc_send_suppressed,
1789943192.4777033,rc_send_suppressed,
1789943192.5870507,rc_send_suppressed,
1789943192.6925964,rc_send_suppressed,
1789943192.780717,llm_explanation,1859.8021999932826
1789943192.7952273,rc_send_suppressed,
1789943192.8953621,rc_send_suppressed,
1789943193.0016778,rc_send_suppressed,
1789943193.1213903,rc_send_suppressed,
1789943193.2282455,rc_send_suppressed,
1789943193.3410532,rc_send_suppressed,
1789943193.488374,rc_send_suppressed,
1789943193.6024337,rc_send_suppressed,
1789943193.7479644,rc_send_suppressed,
1789943193.853846,rc_send_suppressed,
1789943194.0030675,rc_send_suppressed,
1789943194.1270003,rc_send_suppressed,
1789943194.2371325,rc_send_suppressed,
1789943194.3793824,rc_send_suppressed,
1789943194.4565287,llm_explanation,1699.5915999868885
1789943194.49554,rc_send_suppressed,
1789943194.6341987,rc_send_suppressed,
1789943194.7402103,rc_send_suppressed,
1789943194.8850605,rc_send_suppressed,
1789943194.9960053,rc_send_suppressed,
1789943195.126298,rc_send_suppressed,
1789943195.275858,rc_send_suppressed,
1789943195.378147,rc_send_suppressed,
1789943195.4821494,rc_send_suppressed,
1789943195.6210785,rc_send_suppressed,
1789943195.736655,rc_send_suppressed,
1789943195.878373,rc_send_suppressed,
1789943195.9895308,rc_send_suppressed,
1789943196.1341283,rc_send_suppressed,
1789943196.2396464,rc_send_suppressed,
1789943196.3899248,rc_send_suppressed,
1789943196.5075178,rc_send_suppressed,
1789943196.6617455,rc_send_suppressed,
1789943196.7833366,rc_send_suppressed,
1789943196.9045436,rc_send_suppressed,
1789943197.0276082,rc_send_suppressed,
1789943197.1593285,rc_send_suppressed,
1789943197.2803743,rc_send_suppressed,
1789943197.4304357,rc_send_suppressed,
1789943197.5800881,rc_send_suppressed,
1789943197.7212217,rc_send_suppressed,
1789943197.753009,llm_explanation,3272.0705999527127
1789943197.854809,rc_send_suppressed,
1789943197.9966233,rc_send_suppressed,
1789943198.1188111,rc_send_suppressed,
1789943198.2642424,rc_send_suppressed,
1789943198.3919015,rc_send_suppressed,
1789943198.51094,rc_send_suppressed,
1789943198.6155381,rc_send_suppressed,
1789943198.7381601,rc_send_suppressed,
1789943198.8404381,rc_send_suppressed,
1789943198.9585695,rc_send_suppressed,
1789943199.071526,rc_send_suppressed,
1789943199.1850803,rc_send_suppressed,
1789943199.2890947,rc_send_suppressed,
1789943199.4056373,rc_send_suppressed,
1789943199.4886312,llm_explanation,1748.5686999862082
1789943199.532953,rc_send_suppressed,
1789943199.6342149,rc_send_suppressed,
1789943199.7598026,rc_send_suppressed,
1789943199.8700452,rc_send_suppressed,
1789943199.9744334,rc_send_suppressed,
1789943200.1294563,rc_send_suppressed,
1789943200.2391129,rc_send_suppressed,
1789943200.345802,rc_send_suppressed,
1789943200.4916186,rc_send_suppressed,
1789943200.5941987,rc_send_suppressed,
1789943200.7504733,rc_send_suppressed,
1789943200.8683314,rc_send_suppressed,
1789943201.0138996,rc_send_suppressed,
1789943201.125495,rc_send_suppressed,
1789943201.2742014,rc_send_suppressed,
1789943201.38766,rc_send_suppressed,
1789943201.4289994,llm_explanation,1911.9982999982312
1789943201.5257583,rc_send_suppressed,
1789943201.6316361,rc_send_suppressed,
1789943201.7734632,rc_send_suppressed,
1789943201.8980951,rc_send_suppressed,
1789943201.9994066,rc_send_suppressed,
1789943202.1092093,rc_send_suppressed,
1789943202.21172,rc_send_suppressed,
