t,bat,h,yaw,vgx,vgy,vgz,tof
1789943146.2168586,100.0,0.0,-47.0,0.0,0.0,0.0,10.0
1789943147.2184024,100.0,0.0,-47.0,0.0,0.0,0.0,10.0
1789943148.2324631,100.0,0.0,-48.0,0.0,0.0,0.0,10.0
1789943149.2441823,100.0,30.0,-26.0,6.0,2.0,1.0,10.0
1789943150.2654982,100.0,0.0,-5.0,0.0,0.0,0.0,10.0
1789943151.2699788,100.0,0.0,-1.0,0.0,0.0,-1.0,10.0
1789943152.2709002,100.0,0.0,-14.0,0.0,0.0,0.0,10.0
1789943153.2721384,99.0,0.0,-13.0,0.0,0.0,0.0,10.0
1789943154.2886605,99.0,0.0,-12.0,0.0,0.0,0.0,10.0
1789943155.290286,98.0,0.0,-18.0,0.0,0.0,-1.0,10.0
1789943156.2905843,98.0,0.0,-46.0,0.0,0.0,-2.0,10.0
1789943157.3241673,97.0,0.0,-42.0,0.0,0.0,0.0,10.0
1789943158.334083,96.0,0.0,-42.0,0.0,0.0,0.0,10.0
1789943159.3353891,96.0,0.0,-42.0,0.0,0.0,0.0,10.0
1789943168.2184238,94.0,40.0,-42.0,0.0,0.0,-1.0,88.0
1789943169.2409594,93.0,40.0,-42.0,0.0,0.0,0.0,99.0
1789943170.2992048,93.0,40.0,-42.0,0.0,0.0,0.0,98.0
1789943171.3329597,92.0,40.0,-42.0,1.0,0.0,0.0,101.0
1789943172.3334944,92.0,40.0,-42.0,0.0,0.0,0.0,98.0
1789943173.3400626,92.0,40.0,-42.0,0.0,0.0,0.0,93.0
1789943174.368955,91.0,40.0,-42.0,0.0,0.0,0.0,90.0
1789943175.4189444,90.0,40.0,-42.0,0.0,0.0,0.0,88.0
1789943176.4208024,90.0,30.0,-42.0,0.0,0.0,-3.0,79.0
1789943177.4864736,89.0,0.0,-42.0,0.0,0.0,-4.0,30.0
1789943178.491585,89.0,-40.0,-40.0,1.0,1.0,0.0,17.0
1789943179.495291,89.0,0.0,-41.0,2.0,2.0,-3.0,10.0
1789943180.4964755,89.0,0.0,-41.0,0.0,0.0,0.0,10.0
1789943181.5699048,89.0,0.0,-48.0,0.0,0.0,1.0,10.0
1789943182.5706222,89.0,0.0,-48.0,0.0,0.0,0.0,10.0
1789943183.584268,89.0,0.0,-47.0,0.0,0.0,0.0,10.0
1789943184.6103861,89.0,40.0,-47.0,0.0,0.0,4.0,67.0
1789943185.630666,89.0,60.0,-46.0,0.0,0.0,0.0,81.0
1789943186.6442194,89.0,60.0,-46.0,0.0,0.0,0.0,80.0
1789943187.7153437,89.0,60.0,-46.0,0.0,0.0,0.0,81.0
1789943188.7284362,88.0,60.0,-46.0,0.0,0.0,0.0,83.0
1789943189.7591689,88.0,60.0,-46.0,0.0,0.0,0.0,83.0
1789943190.816954,88.0,60.0,-46.0,0.0,0.0,0.0,84.0
1789943191.8207185,88.0,60.0,-46.0,0.0,0.0,0.0,83.0
1789943192.8248663,87.0,60.0,-46.0,0.0,0.0,0.0,84.0
1789943193.8288145,87.0,60.0,-47.0,0.0,0.0,0.0,84.0
1789943194.8850605,87.0,60.0,-46.0,0.0,0.0,0.0,82.0
1789943195.9023125,86.0,60.0,-47.0,0.0,0.0,0.0,82.0
1789943196.9045436,86.0,60.0,-46.0,0.0,0.0,0.0,81.0
1789943197.9966233,86.0,60.0,-47.0,0.0,0.0,0.0,82.0
1789943199.071526,86.0,60.0,-46.0,0.0,0.0,0.0,82.0
1789943200.1294563,85.0,60.0,-46.0,0.0,0.0,0.0,83.0
1789943201.1304815,85.0,60.0,-46.0,0.0,0.0,0.0,83.0
1789943202.170736,85.0,60.0,-46.0,0.0,0.0,0.0,81.0
1789943203.1743333,84.0,60.0,-46.0,0.0,0.0,0.0,81.0
1789943204.1948025,84.0,60.0,-46.0,0.0,0.0,0.0,81.0
