t,seq,frame_age_ms,round,hold,cue_label,cue_name,phase,vocabulary,hand_detected,hand_auth,face_auth,mode,raw_gesture,emitted_gesture,command,fb_stable_count,gesture_conf,battery,altitude_cm,actuation_suppressed,bbox_area,delta_s,lm00_x,lm00_y,lm00_z,lm01_x,lm01_y,lm01_z,lm02_x,lm02_y,lm02_z,lm03_x,lm03_y,lm03_z,lm04_x,lm04_y,lm04_z,lm05_x,lm05_y,lm05_z,lm06_x,lm06_y,lm06_z,lm07_x,lm07_y,lm07_z,lm08_x,lm08_y,lm08_z,lm09_x,lm09_y,lm09_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,delta_s_rec,bbox_area_rec,replayed
1789944706.5308266,2130,62.43,0,0,5,FORWARD,settle,rule,0,0,0,face,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944706.5727136,2132,2.99,0,0,5,FORWARD,settle,rule,0,0,0,face,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944706.6508148,2134,14.96,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944706.7145152,2135,9.97,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944706.814392,2138,10.97,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944706.8742306,2139,4.99,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944706.9573686,2141,23.0,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.00225,2142,31.91,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.093628,2144,22.63,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.1345186,2145,27.92,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.213249,2147,7.41,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.2577815,2148,20.58,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.345697,2150,42.04,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.3901868,2151,17.56,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.463978,2153,28.91,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.500819,2154,31.35,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.5791163,2156,8.98,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.623955,2157,21.94,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.7063563,2159,1.0,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.744841,2160,6.98,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.828695,2162,25.93,0,0,5,FORWARD,settle,rule,0,0,0,hover,,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.8742306,2163,3.99,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=8 ud=0 yaw=-20,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944707.9824154,2165,47.35,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=8 ud=0 yaw=-20,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.0233057,2167,12.96,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=7 ud=2 yaw=-16,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.1141918,2169,14.43,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=7 ud=2 yaw=-16,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.1381285,2170,4.99,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=8 ud=2 yaw=-15,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.2081337,2171,1.99,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=8 ud=2 yaw=-15,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.2341683,2172,1.99,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=8 ud=2 yaw=-14,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.292148,2173,24.99,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=8 ud=2 yaw=-14,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.31719,2174,9.98,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=8 ud=3 yaw=-14,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.3743324,2175,2.0,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=8 ud=3 yaw=-14,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.4143367,2176,1.0,0,0,5,FORWARD,settle,rule,0,0,1,face,,FACE,rc lr=0 fb=7 ud=2 yaw=-12,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.4927173,2178,16.51,0,0,5,FORWARD,settle,rule,1,1,1,gesture,DOWN,DOWN,rc lr=0 fb=0 ud=-30 yaw=0,1,0.7091765403747559,93.0,30.0,1,,,0.715321779,0.920886815,-5.14858016e-07,0.681497157,0.908614099,-0.0217577145,0.647887111,0.880302489,-0.038214568,0.627667665,0.854682744,-0.0532929003,0.621157467,0.836016774,-0.0667345226,0.690387726,0.796110511,-0.0267596468,0.688636065,0.829643786,-0.0489584208,0.687792659,0.870660841,-0.0652100816,0.687410474,0.900698781,-0.0737068281,0.722828686,0.798616946,-0.0256439429,0.718901813,0.841826797,-0.0460358448,0.711812079,0.886678636,-0.055014696,0.707476556,0.918510795,-0.0582281947,0.749414146,0.813113391,-0.0266702678,0.746001899,0.85548079,-0.0475641116,0.735090315,0.894799352,-0.0483793542,0.727350831,0.920888543,-0.0442040749,0.771539211,0.834990859,-0.0297201741,0.77394104,0.860352516,-0.0435296111,0.76539588,0.8867504,-0.041661948,0.757086873,0.903600693,-0.0364331789,,0.019064033566436933,DOWN
1789944708.5388846,2179,1.0,0,0,5,FORWARD,settle,rule,0,0,1,gesture,DOWN,NOHAND,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.590763,2180,22.96,0,0,5,FORWARD,settle,rule,0,0,1,gesture,DOWN,NOHAND,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.6137023,2181,14.96,0,0,5,FORWARD,settle,rule,0,0,1,gesture,DOWN,NOHAND,rc lr=0 fb=0 ud=0 yaw=0,0,,93.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789944708.6805224,2182,46.87,0,0,5,FORWARD,settle,rule,1,1,1,gesture,CENTER,CENTER,rc lr=0 fb=0 ud=0 yaw=0,1,0.5,93.0,30.0,1,,,0.732621551,0.718055129,-2.7564613e-07,0.700723708,0.698737502,-0.00880035013,0.677104294,0.659753323,-0.0150861209,0.668387592,0.627099514,-0.0230669938,0.665783942,0.59561938,-0.0291489437,0.692229211,0.600770295,-0.00187893503,0.684221804,0.555079222,-0.0196023919,0.678722739,0.564285636,-0.0309964549,0.677507341,0.588049769,-0.0353334658,0.714242637,0.60103637,-0.00655217515,0.707189083,0.554212213,-0.0246749055,0.699790299,0.584663153,-0.0305375885,0.698168993,0.616150677,-0.0291306786,0.73793757,0.609888971,-0.0140204895,0.732929051,0.56794101,-0.0316047519,0.723492622,0.602191329,-0.0291854069,0.721102118,0.632945716,-0.0219051857,0.763359368,0.625997245,-0.0224057306,0.760685503,0.591270506,-0.0333834291,0.748624206,0.612580895,-0.0290157087,0.742144346,0.637079835,-0.022124866,,0.015987042390122497,CENTER
