t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789944622.7598228,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,10,5.699906587600708
1789944623.780017,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,False,497,497,False,False,0/20,-1.0,False,143,6.72010064125061
1789944624.7831614,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,False,497,497,False,False,0/20,-1.0,False,167,7.723245143890381
1789944625.8314915,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,497,497,False,False,0/20,-1.0,False,192,8.751036882400513
1789944626.677386,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,The drone is currently hovering at ground level.,3910.6658000382595,False,497,497,False,False,0/20,-1.0,False,213,9.617469787597656
1789944627.1056178,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is currently hovering at ground level.,3910.6658000382595,True,277,277,False,False,0/20,-1.0,False,222,10.017770767211914
1789944627.8275046,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is hovering in a calm environment.,1127.5117000332102,True,293,293,False,False,0/20,-1.0,False,240,10.746701002120972
1789944628.8351166,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is hovering in a calm environment.,1127.5117000332102,True,324,324,False,False,0/20,-1.0,False,264,11.752293586730957
1789944629.2717135,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is at the ground level and no battery warning was detected,1433.5274000186473,True,313,313,False,False,0/20,-1.0,False,274,12.18294358253479
1789944630.2712767,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is at the ground level and no battery warning was detected,1433.5274000186473,True,307,307,False,False,0/20,-1.0,False,298,13.183432340621948
1789944631.274664,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is at the ground level and no battery warning was detected,1433.5274000186473,True,273,273,False,False,0/20,-1.0,False,322,14.183832883834839
1789944632.27416,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is at the ground level and no battery warning was detected,1433.5274000186473,True,271,271,False,False,0/20,-1.0,False,346,15.186148405075073
1789944633.2743561,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4009.084199962672,True,277,277,False,False,0/20,-1.0,False,370,16.178908348083496
1789944634.3181045,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4009.084199962672,True,270,270,False,True,5/20,-1.0,False,396,17.24522304534912
1789944634.5221028,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Checking for ground obstacles,1280.8287999941967,True,277,277,False,True,9/20,-1.0,False,401,17.448622465133667
1789944635.2013505,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,Checking for ground obstacles,1280.8287999941967,True,270,270,True,False,0/20,0.931975245475769,False,415,0.0
1789944636.1365654,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,Checking for ground obstacles,1280.8287999941967,True,273,273,True,False,0/20,0.941710889339447,False,439,0.0
1789944637.168718,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,100.0,0.0,Checking for ground obstacles,1280.8287999941967,False,355,355,True,False,0/20,0.23672239482402802,False,464,0.6626918315887451
1789944637.3375301,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,Checking for ground obstacles,1280.8287999941967,False,355,355,True,False,0/20,0.23672239482402802,False,468,0.8334424495697021
1789944637.512643,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,Autonomy: no human for 10.0s,2983.912000025157,False,355,355,True,False,0/20,0.23672239482402802,False,473,1.0327377319335938
1789944638.5133724,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,Autonomy: no human for 10.0s,2983.912000025157,False,355,355,True,False,0/20,0.23672239482402802,False,497,2.0334670543670654
1789944639.5687594,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,Autonomy: no human for 10.0s,2983.912000025157,False,355,355,True,False,0/20,0.23672239482402802,False,522,3.0617592334747314
1789944639.665568,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,The drone is currently flying and hasn't detected any objects or people to enter.,2106.0448000207543,False,355,355,True,False,0/20,0.23672239482402802,False,524,3.162240982055664
1789944640.6892734,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,The drone is currently flying and hasn't detected any objects or people to enter.,2106.0448000207543,True,349,349,True,False,0/20,0.23486903309822083,False,548,4.167478322982788
1789944641.079531,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,Maintaining hover altitude without seeing the drone,1415.4521999880672,True,308,308,True,False,0/20,0.2446153163909912,False,558,4.556936025619507
1789944642.0720942,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,Maintaining hover altitude without seeing the drone,1415.4521999880672,False,308,308,True,False,0/20,0.24126073718070984,False,582,5.56128191947937
1789944643.0149305,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,Autonomous drone moves without causing danger due to low battery level,1945.621500024572,False,308,308,True,False,0/20,0.24126073718070984,False,605,6.510001182556152
1789944644.0371964,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,Autonomous drone moves without causing danger due to low battery level,1945.621500024572,False,308,308,True,False,0/20,0.24126073718070984,False,630,7.557291030883789
1789944645.0455275,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,Autonomous drone moves without causing danger due to low battery level,1945.621500024572,False,308,308,True,False,0/20,0.24126073718070984,False,654,8.565622091293335
1789944651.3945572,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 14.9s -> search_360,SEARCH,,False,False,False,False,100.0,70.0,The drone's battery level is within the safe range (battery <= 15).,1380.104499985464,False,308,308,True,False,0/20,0.24126073718070984,True,806,14.914651870727539
