t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,rule_infer_ms,rule_infer_ms_ran
1789944622.7598228,10,,,3.9916038513183594,0.056800025049597025,0.006799993570894003,1,,0,,0,0,,0,hover,0.026900030206888914,1,,
1789944622.8316276,18,0.07180476188659668,13.926652964594865,2.9914379119873047,40.276799991261214,0.010700023267418146,1,,0,,0,0,40.21829995326698,1,hover,0.028099981136620045,1,,
1789944622.8495796,33,0.01795196533203125,55.70420739481513,3.9892196655273438,0.029999995604157448,0.00500003807246685,1,,0,,0,0,,0,hover,0.01309998333454132,1,,
1789944622.9104192,38,0.06083965301513672,16.436648640175562,2.9926300048828125,42.80460003064945,0.00589998671784997,1,12.49450002796948,1,,0,0,30.27960000326857,1,hover,0.017600017599761486,1,,
1789944622.9303634,55,0.019944190979003906,50.13991297279205,3.9894580841064453,0.07130001904442906,0.01109996810555458,1,,0,,0,0,,0,hover,0.0315000070258975,1,,
1789944622.9692593,60,0.03889584541320801,25.7096867127209,1.9941329956054688,25.425500003620982,0.004200031980872154,1,,0,,0,0,25.395300006493926,1,hover,0.013399985618889332,1,,
1789944622.9822242,73,0.012964963912963867,77.13095128634215,0.9965896606445312,0.03709999145939946,0.006299989763647318,1,,0,,0,0,,0,hover,0.016000005416572094,1,,
1789944623.0278885,78,0.045664310455322266,21.898940113820288,1.0738372802734375,33.40559999924153,0.006400048732757568,1,7.7473000274039805,1,,0,0,25.606999988667667,1,hover,0.019199971575289965,1,,
1789944623.0378578,96,0.009969234466552734,100.30860477352083,1.995086669921875,0.07050001295283437,0.009300012607127428,1,,0,,0,0,,0,hover,0.024500011932104826,1,,
1789944623.0717678,101,0.03391003608703613,29.48979462697481,0.9968280792236328,22.909399995114654,0.004600035026669502,1,,0,,0,0,22.87760004401207,1,hover,0.015300000086426735,1,,
1789944623.0817416,117,0.009973764419555664,100.26304592068463,0.9973049163818359,0.04179996903985739,0.005099980626255274,1,,0,,0,0,,0,hover,0.018899969290941954,1,,
1789944623.118801,121,0.03705954551696777,26.983601284105017,1.995086669921875,27.04960003029555,0.010200019460171461,1,6.101900013163686,1,,0,0,20.89059998979792,1,hover,0.032999960239976645,1,,
1789944623.1318977,127,0.01309657096862793,76.35586463017239,27.700424194335938,0.06059999577701092,0.007700000423938036,1,,0,,0,0,,0,hover,0.025100016500800848,1,,
1789944623.1733186,128,0.041420936584472656,24.142380217806735,6.939888000488281,28.954000037629157,0.004200031980872154,1,,0,,0,0,28.92230002908036,1,hover,0.015700003132224083,1,,
1789944623.2079484,129,0.03462982177734375,28.8768451200705,4.583120346069336,0.0315000070258975,0.004199973773211241,1,,0,,0,0,,0,hover,0.014599994756281376,1,,
1789944623.2646928,130,0.05674433708190918,17.622903912975886,1.743316650390625,26.076699956320226,0.004600035026669502,1,5.959500034805387,1,,0,0,19.670799956656992,1,hover,0.015199999324977398,1,,
1789944623.2746665,131,0.009973764419555664,100.26304592068463,1.9948482513427734,0.5281000048853457,0.005999987479299307,1,,0,,0,0,,0,hover,0.020099978428333998,1,,
1789944623.3365026,132,0.06183600425720215,16.17180818864971,12.989044189453125,20.569499989505857,0.004499976057559252,1,,0,,0,0,20.018899987917393,1,hover,0.016700010746717453,1,,
1789944623.370412,133,0.03390955924987793,29.490209313280882,0.9992122650146484,0.450999999884516,0.004999979864805937,1,,0,,0,0,,0,hover,0.016200006939470768,1,,
1789944623.430278,134,0.05986595153808594,16.703985726574697,2.511739730834961,23.881500004790723,0.004900037311017513,1,4.792199993971735,1,,0,0,18.66229996085167,1,hover,0.015300000086426735,1,,
1789944623.4390504,135,0.00877237319946289,113.9942381910094,0.9975433349609375,0.40339998668059707,0.004499976057559252,1,,0,,0,0,,0,hover,0.013699987903237343,1,,
1789944623.4931247,136,0.05407428741455078,18.49307772349694,1.0323524475097656,19.979800039436668,0.004500034265220165,1,,0,,0,0,19.368699984624982,1,hover,0.01829996472224593,1,,
1789944623.5478973,137,0.05477261543273926,18.257298690218644,9.011030197143555,0.43670000741258264,0.004799978341907263,1,,0,,0,0,,0,hover,0.015300000086426735,1,,
1789944623.600881,138,0.052983760833740234,18.87370742024029,9.006738662719727,23.11000000918284,0.0048999791033566,1,4.8034000210464,1,,0,0,17.860200023278594,1,hover,0.016400008462369442,1,,
1789944623.6088603,139,0.007979154586791992,125.32656049242537,2.0287036895751953,0.13669999316334724,0.00589998671784997,1,,0,,0,0,,0,hover,0.018000020645558834,1,,
1789944623.6544898,140,0.04562950134277344,21.915646031016177,1.0318756103515625,18.964199989568442,0.004099973011761904,1,,0,,0,0,18.931599974166602,1,hover,0.014599994756281376,1,,
1789944623.7072136,141,0.05272388458251953,18.96673600434114,2.9969215393066406,0.05490001058205962,0.006599992047995329,1,,0,,0,0,,0,hover,0.022899999748915434,1,,
1789944623.7670515,142,0.05983781814575195,16.71183928471818,0.9946823120117188,23.497099988162518,0.004499976057559252,1,4.862100002355874,1,,0,0,18.60459998715669,1,hover,0.015600002370774746,1,,
1789944623.780017,143,0.01296544075012207,77.12811459884887,8.981466293334961,0.031800009310245514,0.0039000296965241432,1,,0,,0,0,,0,hover,0.012999982573091984,1,,
1789944623.829385,144,0.04936814308166504,20.255977591577523,6.016016006469727,18.009199993684888,0.004099973011761904,1,,0,,0,0,17.97799998894334,1,hover,0.014200049918144941,1,,
1789944623.8732688,145,0.0438838005065918,22.78745205419913,1.9955635070800781,0.03609998384490609,0.004499976057559252,1,,0,,0,0,,0,hover,0.01479999627918005,1,,
1789944623.9290137,146,0.05574488639831543,17.93886515176788,0.9982585906982422,24.545299995224923,0.004199973773211241,1,4.755700007081032,1,,0,0,19.760600000154227,1,hover,0.01460005296394229,1,,
1789944623.9495075,147,0.020493745803833008,48.79537443140175,12.475013732910156,0.05310005508363247,0.006799993570894003,1,,0,,0,0,,0,hover,0.020900042727589607,1,,
1789944623.9920363,148,0.04252886772155762,23.513440483464983,1.5382766723632812,18.416700011584908,0.0037999707274138927,1,,0,,0,0,18.386000010650605,1,hover,0.013899989426136017,1,,
1789944624.0142078,149,0.022171497344970703,45.10295287868035,0.9980201721191406,0.03940000897273421,0.004999979864805937,1,,0,,0,0,,0,hover,0.016000005416572094,1,,
1789944624.0952017,150,0.0809938907623291,12.346610226867973,1.9800662994384766,23.44779996201396,0.004499976057559252,1,5.358499998692423,1,,0,0,18.06089997990057,1,hover,0.014599994756281376,1,,
1789944624.1161108,151,0.02090907096862793,47.82613256707602,13.928413391113281,0.03619998460635543,0.004199973773211241,1,,0,,0,0,,0,hover,0.014599994756281376,1,,
