t,event,latency_ms
1789944626.677386,llm_explanation,3910.6658000382595
1789944627.8275046,llm_explanation,1127.5117000332102
1789944629.2717135,llm_explanation,1433.5274000186473
1789944633.2743561,llm_explanation,4009.084199962672
1789944634.5221028,llm_explanation,1280.8287999941967
1789944637.512643,llm_explanation,2983.912000025157
1789944639.665568,llm_explanation,2106.0448000207543
1789944641.079531,llm_explanation,1415.4521999880672
1789944643.0149305,llm_explanation,1945.621500024572
1789944651.3945572,rc_send_suppressed,
1789944651.3945572,llm_explanation,1380.104499985464
1789944651.496654,rc_send_suppressed,
1789944651.6293874,rc_send_suppressed,
1789944651.7486856,rc_send_suppressed,
1789944651.9061732,rc_send_suppressed,
1789944652.0075457,rc_send_suppressed,
1789944652.1208544,rc_send_suppressed,
1789944652.2360618,rc_send_suppressed,
1789944652.3594263,rc_send_suppressed,
1789944652.5275578,rc_send_suppressed,
1789944652.6417215,rc_send_suppressed,
1789944652.7466903,rc_send_suppressed,
1789944652.8713565,rc_send_suppressed,
1789944653.0157638,rc_send_suppressed,
1789944653.1367946,rc_send_suppressed,
1789944653.2633545,rc_send_suppressed,
1789944653.4191139,rc_send_suppressed,
1789944653.5292737,rc_send_suppressed,
1789944653.6891048,rc_send_suppressed,
1789944653.7976675,rc_send_suppressed,
1789944653.9433637,rc_send_suppressed,
1789944654.044018,rc_send_suppressed,
1789944654.1574972,rc_send_suppressed,
1789944654.267268,rc_send_suppressed,
1789944654.367339,rc_send_suppressed,
1789944654.5155914,rc_send_suppressed,
1789944654.6325595,rc_send_suppressed,
1789944654.7352245,rc_send_suppressed,
1789944654.860527,rc_send_suppressed,
1789944654.9781365,rc_send_suppressed,
1789944655.0969524,rc_send_suppressed,
1789944655.2047744,rc_send_suppressed,
1789944655.320506,rc_send_suppressed,
1789944655.4232478,rc_send_suppressed,
1789944655.4421315,llm_explanation,4019.713599991519
1789944655.5494587,rc_send_suppressed,
1789944655.675885,rc_send_suppressed,
1789944655.837623,rc_send_suppressed,
1789944655.938573,rc_send_suppressed,
