t,bat,h,yaw,vgx,vgy,vgz,tof
1789944622.7897418,100.0,0.0,-3.0,0.0,0.0,0.0,10.0
1789944623.7947345,100.0,0.0,-3.0,0.0,0.0,0.0,10.0
1789944624.7994168,100.0,0.0,-8.0,0.0,3.0,2.0,10.0
1789944625.80104,100.0,0.0,15.0,0.0,1.0,0.0,10.0
1789944626.8029363,100.0,0.0,18.0,0.0,0.0,0.0,10.0
1789944627.80561,100.0,0.0,45.0,0.0,0.0,0.0,10.0
1789944628.8071914,100.0,0.0,57.0,0.0,0.0,0.0,10.0
1789944629.8395305,100.0,0.0,57.0,0.0,0.0,0.0,10.0
1789944630.8510294,100.0,0.0,57.0,0.0,0.0,0.0,10.0
1789944631.8541455,100.0,0.0,56.0,0.0,0.0,0.0,10.0
1789944632.8568673,100.0,0.0,57.0,0.0,0.0,0.0,10.0
1789944633.857317,100.0,0.0,55.0,0.0,0.0,0.0,10.0
1789944634.8723497,100.0,0.0,54.0,0.0,0.0,0.0,10.0
1789944635.9113746,100.0,0.0,52.0,0.0,0.0,-1.0,10.0
1789944636.9398897,100.0,0.0,-11.0,0.0,0.0,-1.0,10.0
1789944637.9431145,100.0,0.0,-4.0,0.0,0.0,0.0,10.0
1789944638.950292,100.0,0.0,-3.0,0.0,0.0,0.0,10.0
1789944639.9553607,100.0,0.0,-7.0,0.0,0.0,0.0,10.0
1789944641.0067675,100.0,0.0,7.0,0.0,0.0,0.0,10.0
1789944642.007677,100.0,0.0,7.0,0.0,0.0,0.0,10.0
1789944643.0259717,100.0,0.0,7.0,0.0,0.0,0.0,10.0
1789944644.027225,100.0,0.0,7.0,0.0,0.0,0.0,10.0
1789944645.0455275,100.0,0.0,7.0,0.0,0.0,0.0,10.0
1789944651.3945572,100.0,70.0,8.0,0.0,0.0,0.0,79.0
1789944652.4282477,100.0,70.0,8.0,0.0,0.0,0.0,83.0
1789944653.4436598,100.0,70.0,8.0,0.0,0.0,0.0,85.0
1789944654.4672117,100.0,70.0,8.0,0.0,0.0,0.0,76.0
1789944655.5494587,100.0,60.0,8.0,0.0,0.0,0.0,116.0
1789944656.5787282,100.0,70.0,8.0,0.0,0.0,0.0,123.0
1789944657.597818,100.0,70.0,8.0,0.0,0.0,0.0,124.0
1789944658.669985,100.0,70.0,8.0,0.0,0.0,0.0,123.0
1789944659.6741168,100.0,70.0,8.0,0.0,0.0,0.0,124.0
1789944660.6854458,100.0,70.0,8.0,0.0,0.0,0.0,126.0
1789944661.6868758,100.0,70.0,8.0,0.0,0.0,0.0,124.0
1789944665.1692522,100.0,0.0,5.0,0.0,8.0,0.0,14.0
1789944666.1705291,100.0,0.0,22.0,0.0,0.0,1.0,10.0
1789944667.1721554,100.0,0.0,1.0,0.0,0.0,4.0,10.0
1789944668.1756735,100.0,0.0,-8.0,0.0,0.0,2.0,10.0
1789944669.1781378,100.0,0.0,-9.0,0.0,0.0,0.0,10.0
1789944670.2127008,100.0,0.0,-13.0,0.0,0.0,0.0,10.0
1789944671.2194824,100.0,0.0,-11.0,0.0,0.0,0.0,10.0
1789944679.4796283,100.0,0.0,-10.0,0.0,0.0,0.0,31.0
1789944680.5285003,100.0,0.0,-9.0,0.0,0.0,0.0,32.0
1789944681.5381696,100.0,0.0,-10.0,0.0,0.0,0.0,31.0
1789944682.5409534,100.0,0.0,-9.0,0.0,0.0,0.0,31.0
1789944683.5435493,100.0,0.0,-10.0,0.0,0.0,0.0,31.0
1789944684.5916734,100.0,10.0,-9.0,0.0,0.0,0.0,35.0
1789944685.5928543,99.0,10.0,-10.0,0.0,0.0,0.0,34.0
1789944686.6072478,99.0,0.0,-10.0,0.0,0.0,0.0,28.0
1789944687.6202211,98.0,0.0,-10.0,0.0,0.0,-1.0,24.0
1789944688.6839495,98.0,-20.0,-11.0,0.0,1.0,-1.0,12.0
1789944689.7139664,97.0,0.0,-8.0,1.0,2.0,0.0,10.0
1789944690.722357,96.0,0.0,-19.0,0.0,0.0,2.0,10.0
1789944691.744839,96.0,0.0,-13.0,0.0,0.0,2.0,10.0
1789944692.7531438,95.0,0.0,-8.0,0.0,0.0,0.0,10.0
1789944693.761764,95.0,0.0,10.0,0.0,0.0,0.0,10.0
1789944694.7653322,94.0,0.0,14.0,0.0,0.0,0.0,10.0
1789944695.7672274,94.0,0.0,9.0,0.0,0.0,0.0,10.0
1789944696.767639,93.0,0.0,9.0,0.0,0.0,0.0,10.0
1789944697.777747,93.0,0.0,9.0,0.0,0.0,0.0,10.0
1789944698.7792048,93.0,20.0,8.0,0.0,0.0,3.0,67.0
1789944699.7816489,93.0,50.0,8.0,0.0,0.0,0.0,98.0
1789944700.7961855,93.0,50.0,8.0,0.0,0.0,-1.0,91.0
1789944701.8474877,93.0,40.0,8.0,0.0,0.0,0.0,78.0
1789944702.8745334,93.0,30.0,8.0,0.0,0.0,0.0,76.0
1789944703.8904293,93.0,30.0,8.0,0.0,0.0,0.0,76.0
1789944704.8971176,93.0,30.0,8.0,0.0,0.0,0.0,76.0
1789944705.897372,93.0,30.0,8.0,0.0,0.0,0.0,76.0
1789944706.9563751,93.0,30.0,8.0,0.0,0.0,0.0,77.0
1789944707.9814138,93.0,30.0,8.0,0.0,0.0,0.0,78.0
1789944708.98686,93.0,30.0,8.0,0.0,0.0,0.0,79.0
1789944710.0056088,93.0,40.0,8.0,0.0,0.0,0.0,79.0
1789944711.0466764,93.0,30.0,8.0,0.0,0.0,0.0,78.0
1789944712.047835,93.0,30.0,9.0,0.0,0.0,0.0,78.0
1789944713.0497322,92.0,30.0,9.0,0.0,0.0,0.0,77.0
1789944714.049787,92.0,30.0,9.0,0.0,0.0,0.0,75.0
1789944715.055077,92.0,30.0,9.0,0.0,0.0,0.0,75.0
1789944716.0574305,91.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944717.0617192,91.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944718.0751243,91.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944719.1334286,91.0,30.0,8.0,0.0,0.0,0.0,76.0
1789944720.1534677,90.0,30.0,8.0,0.0,0.0,0.0,76.0
1789944721.1632478,90.0,30.0,8.0,0.0,0.0,0.0,79.0
1789944722.2229915,90.0,40.0,8.0,0.0,0.0,0.0,77.0
1789944723.2331197,90.0,30.0,8.0,0.0,0.0,0.0,78.0
1789944724.2629097,90.0,30.0,9.0,0.0,0.0,0.0,77.0
1789944725.26412,89.0,30.0,8.0,0.0,0.0,0.0,77.0
1789944726.268918,89.0,30.0,8.0,0.0,0.0,0.0,73.0
1789944727.2709954,89.0,40.0,9.0,0.0,0.0,0.0,81.0
1789944728.3038726,89.0,40.0,9.0,0.0,0.0,0.0,80.0
1789944729.3088415,88.0,30.0,8.0,0.0,0.0,0.0,77.0
1789944730.3164663,88.0,30.0,9.0,0.0,0.0,0.0,75.0
1789944731.3491545,88.0,30.0,8.0,0.0,0.0,0.0,74.0
1789944732.397552,88.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944733.433319,88.0,30.0,8.0,0.0,0.0,0.0,77.0
1789944734.4334042,88.0,30.0,8.0,0.0,0.0,0.0,74.0
1789944735.4411986,88.0,30.0,9.0,0.0,0.0,0.0,71.0
1789944736.4424741,88.0,30.0,8.0,0.0,0.0,0.0,72.0
1789944737.478571,88.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944738.5172234,87.0,40.0,9.0,0.0,0.0,0.0,80.0
1789944739.5294187,87.0,40.0,8.0,0.0,0.0,0.0,78.0
1789944740.5384276,87.0,30.0,9.0,0.0,0.0,0.0,77.0
1789944741.5448122,87.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944742.6163359,87.0,30.0,8.0,0.0,0.0,0.0,72.0
1789944743.6204176,87.0,40.0,9.0,0.0,0.0,0.0,86.0
1789944744.6881146,86.0,40.0,9.0,0.0,0.0,0.0,83.0
1789944745.7106154,86.0,30.0,8.0,0.0,0.0,0.0,76.0
1789944746.7273955,86.0,30.0,8.0,0.0,0.0,0.0,74.0
1789944747.7385833,86.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944748.775549,86.0,30.0,8.0,0.0,0.0,0.0,76.0
1789944749.81701,86.0,30.0,8.0,0.0,0.0,0.0,70.0
1789944750.8349905,86.0,30.0,8.0,0.0,0.0,0.0,69.0
1789944751.8959658,86.0,30.0,8.0,0.0,0.0,0.0,67.0
1789944752.8969176,86.0,30.0,9.0,0.0,0.0,0.0,64.0
1789944753.897309,86.0,30.0,9.0,0.0,0.0,0.0,67.0
1789944754.8978937,85.0,30.0,9.0,0.0,0.0,0.0,69.0
1789944755.898559,85.0,30.0,8.0,0.0,0.0,0.0,76.0
1789944756.8993113,85.0,30.0,9.0,0.0,0.0,0.0,78.0
1789944757.9017186,85.0,30.0,9.0,0.0,0.0,0.0,78.0
1789944758.941011,85.0,30.0,8.0,0.0,0.0,0.0,79.0
1789944759.9489114,85.0,40.0,8.0,0.0,0.0,0.0,79.0
1789944760.9522219,85.0,40.0,8.0,0.0,0.0,0.0,80.0
1789944762.0082383,85.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944763.0698864,84.0,30.0,9.0,0.0,0.0,0.0,70.0
1789944764.0761123,84.0,30.0,8.0,0.0,0.0,0.0,73.0
1789944765.081099,84.0,30.0,9.0,0.0,0.0,0.0,74.0
1789944766.0850537,84.0,30.0,8.0,0.0,0.0,0.0,78.0
1789944767.1135058,84.0,40.0,8.0,0.0,0.0,0.0,78.0
1789944768.1781497,84.0,40.0,8.0,0.0,0.0,0.0,81.0
1789944769.1990194,84.0,40.0,8.0,0.0,0.0,0.0,79.0
1789944770.2308881,84.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944771.2574074,84.0,30.0,8.0,0.0,0.0,0.0,83.0
1789944772.3161933,84.0,30.0,9.0,0.0,0.0,0.0,70.0
1789944773.4002862,84.0,30.0,8.0,0.0,0.0,0.0,86.0
1789944774.4023304,84.0,40.0,8.0,0.0,0.0,0.0,93.0
1789944775.4232697,83.0,40.0,8.0,0.0,0.0,0.0,90.0
1789944776.451651,83.0,40.0,8.0,0.0,0.0,0.0,68.0
1789944777.4535022,83.0,30.0,8.0,0.0,0.0,0.0,62.0
1789944778.4717507,83.0,30.0,8.0,0.0,0.0,0.0,80.0
1789944779.4963048,83.0,30.0,8.0,0.0,0.0,0.0,71.0
1789944780.4980495,83.0,30.0,9.0,0.0,0.0,0.0,64.0
1789944781.5157259,83.0,30.0,9.0,0.0,0.0,0.0,73.0
1789944782.5827427,83.0,30.0,9.0,0.0,0.0,0.0,78.0
1789944783.5887384,83.0,40.0,9.0,0.0,0.0,0.0,80.0
1789944784.5970442,82.0,40.0,8.0,0.0,0.0,0.0,78.0
1789944785.6053748,82.0,40.0,9.0,0.0,0.0,0.0,79.0
1789944786.6593583,82.0,30.0,8.0,0.0,0.0,0.0,67.0
1789944787.6640499,82.0,30.0,9.0,0.0,0.0,0.0,69.0
1789944788.706585,82.0,30.0,9.0,0.0,0.0,0.0,71.0
1789944789.735426,82.0,30.0,9.0,0.0,0.0,0.0,73.0
1789944790.7793748,82.0,30.0,9.0,0.0,0.0,0.0,77.0
1789944791.8037038,82.0,40.0,8.0,0.0,0.0,0.0,82.0
1789944792.8061137,81.0,40.0,8.0,0.0,0.0,0.0,85.0
1789944793.8171618,81.0,40.0,9.0,0.0,0.0,0.0,79.0
1789944794.8779771,81.0,30.0,9.0,0.0,0.0,0.0,75.0
1789944795.900251,81.0,30.0,8.0,0.0,0.0,0.0,71.0
1789944796.9009967,81.0,30.0,8.0,0.0,0.0,0.0,70.0
1789944797.9131901,81.0,30.0,8.0,0.0,0.0,0.0,75.0
1789944798.9446564,81.0,30.0,9.0,0.0,0.0,0.0,78.0
1789944799.953686,81.0,40.0,8.0,0.0,0.0,0.0,78.0
1789944800.9847806,81.0,40.0,8.0,0.0,0.0,0.0,78.0
1789944802.0151076,81.0,30.0,8.0,0.0,0.0,0.0,82.0
1789944803.0178843,81.0,40.0,8.0,0.0,0.0,0.0,86.0
1789944804.0412245,80.0,40.0,9.0,0.0,0.0,0.0,79.0
1789944805.0540814,80.0,40.0,8.0,0.0,0.0,0.0,74.0
1789944806.0919476,80.0,30.0,9.0,0.0,0.0,0.0,68.0
1789944807.0982218,80.0,30.0,8.0,0.0,0.0,0.0,74.0
1789944808.100143,80.0,30.0,8.0,0.0,0.0,0.0,73.0
1789944809.1009736,80.0,30.0,9.0,0.0,0.0,0.0,77.0
1789944810.1247754,80.0,30.0,9.0,0.0,0.0,0.0,82.0
1789944811.1307611,80.0,40.0,8.0,0.0,0.0,0.0,86.0
1789944812.1373374,80.0,40.0,9.0,0.0,0.0,0.0,84.0
1789944813.182116,80.0,40.0,8.0,0.0,0.0,0.0,77.0
1789944814.1884828,80.0,30.0,8.0,0.0,0.0,0.0,74.0
1789944815.209375,80.0,30.0,8.0,0.0,0.0,0.0,74.0
1789944816.263286,79.0,30.0,8.0,0.0,0.0,0.0,73.0
1789944817.2654817,79.0,30.0,8.0,0.0,0.0,0.0,70.0
1789944818.2675564,79.0,30.0,8.0,0.0,0.0,0.0,71.0
1789944819.2830358,79.0,30.0,9.0,0.0,0.0,0.0,79.0
1789944820.2973566,79.0,40.0,8.0,0.0,0.0,0.0,80.0
1789944821.3055005,79.0,30.0,8.0,0.0,0.0,0.0,79.0
1789944822.3195827,79.0,30.0,8.0,0.0,0.0,0.0,77.0
1789944823.322091,78.0,30.0,8.0,0.0,0.0,0.0,80.0
1789944824.323965,78.0,40.0,9.0,0.0,0.0,0.0,86.0
1789944825.3245115,78.0,30.0,9.0,0.0,0.0,0.0,79.0
1789944826.3258922,78.0,30.0,9.0,0.0,0.0,0.0,66.0
