t,seq,frame_age_ms,round,hold,cue_label,cue_name,phase,vocabulary,hand_detected,hand_auth,face_auth,mode,raw_gesture,emitted_gesture,command,fb_stable_count,gesture_conf,battery,altitude_cm,actuation_suppressed,bbox_area,delta_s,lm00_x,lm00_y,lm00_z,lm01_x,lm01_y,lm01_z,lm02_x,lm02_y,lm02_z,lm03_x,lm03_y,lm03_z,lm04_x,lm04_y,lm04_z,lm05_x,lm05_y,lm05_z,lm06_x,lm06_y,lm06_z,lm07_x,lm07_y,lm07_z,lm08_x,lm08_y,lm08_z,lm09_x,lm09_y,lm09_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
1789945749.9742317,2559,12.96,0,0,1,LEFT,settle,rule,0,0,0,face,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,80.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789945750.0121312,2560,18.95,0,0,1,LEFT,settle,rule,0,0,0,face,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,80.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789945750.0868497,2561,24.34,0,0,1,LEFT,settle,rule,0,0,0,face,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,80.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789945750.130243,2563,2.0,0,0,1,LEFT,settle,rule,0,0,0,face,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,80.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789945750.219601,2564,60.44,0,0,1,LEFT,settle,rule,0,0,0,face,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,80.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789945750.2629695,2566,2.99,0,0,1,LEFT,settle,rule,0,0,0,face,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,80.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789945750.340973,2568,13.51,0,0,1,LEFT,settle,rule,0,0,0,face,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,80.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789945750.4002564,2569,5.98,0,0,1,LEFT,settle,rule,0,0,0,face,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,80.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789945750.4829504,2571,23.85,0,0,1,LEFT,settle,rule,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,70.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789945750.5215137,2572,27.3,0,0,1,LEFT,settle,rule,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,91.0,70.0,1,0.024535050510998246,0.13529381741646357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
