t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789945648.3806193,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,12,5.658895492553711
1789945649.3945441,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,True,312,312,False,False,0/20,-1.0,False,143,6.672820329666138
1789945650.4011922,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,False,315,315,False,False,0/20,-1.0,False,167,7.679468393325806
1789945651.4338791,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,False,315,315,False,False,0/20,-1.0,False,192,8.684662580490112
1789945652.4366975,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,True,241,241,False,False,0/20,-1.0,False,216,9.686156034469604
1789945652.632945,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4238.2553000352345,False,241,241,False,False,0/20,-1.0,False,220,9.87354302406311
1789945652.7252293,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4238.2553000352345,False,241,241,False,False,0/20,-1.0,False,223,10.002508163452148
1789945653.734592,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4238.2553000352345,False,241,241,False,False,0/20,-1.0,False,247,11.012868165969849
1789945654.5471656,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,The drone is within range but without an assigned mission and no explicit instructions on hovering or avoiding obstacles.,1924.4303000159562,False,241,241,False,False,0/20,-1.0,False,266,11.80347490310669
1789945655.5502272,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,-10.0,The drone is within range but without an assigned mission and no explicit instructions on hovering or avoiding obstacles.,1924.4303000159562,False,241,241,False,False,0/20,-1.0,False,290,12.806532621383667
1789945656.5298316,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,The drone is within range but without an assigned mission and no explicit instructions on hovering or avoiding obstacles.,1924.4303000159562,False,241,241,False,False,0/20,-1.0,False,314,13.808107852935791
1789945657.586475,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,The drone is within range but without an assigned mission and no explicit instructions on hovering or avoiding obstacles.,1924.4303000159562,False,241,241,False,False,0/20,-1.0,False,339,14.842856645584106
1789945658.588896,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,LLM error (ReadTimeout),4031.4809000119567,False,241,241,False,False,0/20,-1.0,False,363,15.840632677078247
1789945659.5969505,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,LLM error (ReadTimeout),4031.4809000119567,False,241,241,False,False,0/20,-1.0,False,388,16.875226736068726
1789945660.6086056,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,LLM error (ReadTimeout),4031.4809000119567,False,241,241,False,False,0/20,-1.0,False,412,17.886881828308105
1789945661.5107205,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,The drone has been searching for the user within a short period of time and detected no human presence.,2901.5308000380173,False,241,241,False,False,0/20,-1.0,False,433,18.744150638580322
1789945662.5077777,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,The drone has been searching for the user within a short period of time and detected no human presence.,2901.5308000380173,False,241,241,False,False,0/20,-1.0,False,458,19.786053895950317
1789945663.5260475,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,True,False,100.0,0.0,The drone has been searching for the user within a short period of time and detected no human presence.,2901.5308000380173,False,241,241,False,False,0/20,-1.0,False,482,20.80332851409912
1789945663.941166,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,The drone will be searching in its immediate vicinity with no human presence detected.,2447.990700020455,False,241,241,False,False,0/20,-1.0,False,492,21.21937870979309
1789945665.006403,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,20.0,The drone will be searching in its immediate vicinity with no human presence detected.,2447.990700020455,False,241,241,False,False,0/20,-1.0,False,517,22.24057126045227
1789945665.4962492,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is in a safe area with no human presence,1559.0142000000924,True,266,266,False,False,0/20,-1.0,False,529,22.74351215362549
1789945666.507412,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is in a safe area with no human presence,1559.0142000000924,True,250,250,False,False,0/20,-1.0,False,553,23.746442794799805
1789945667.5099804,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is in a safe area with no human presence,1559.0142000000924,True,246,246,False,False,0/20,-1.0,False,578,24.788256645202637
1789945667.9528446,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,the drone is in the air with no human interaction and we are not looking for objects,2446.672100049909,True,251,251,False,True,2/20,-1.0,False,587,25.181998252868652
1789945669.0141962,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,the drone is in the air with no human interaction and we are not looking for objects,2446.672100049909,True,248,248,True,False,0/20,0.9064435958862305,False,612,0.0
1789945669.9771616,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,the drone is in the air with no human interaction and we are not looking for objects,2446.672100049909,True,245,245,True,False,0/20,0.6008200645446777,False,636,0.0
1789945671.0077043,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,100.0,-30.0,the drone is in the air with no human interaction and we are not looking for objects,2446.672100049909,True,229,229,True,False,0/20,0.25395113229751587,False,662,0.5897583961486816
1789945671.0668356,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,100.0,-30.0,Autonomy: no human for 10.0s -> search_360,3131.2244999571703,True,243,243,True,False,0/20,0.2738134562969208,False,663,0.6216087341308594
1789945671.3280318,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,Autonomy: no human for 10.0s -> search_360,3131.2244999571703,True,243,243,True,False,0/20,0.24381661415100098,False,668,0.8552329540252686
1789945680.1531749,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,70.0,Autonomous drone must hover to start the journey,1841.6767999879085,False,235,235,True,False,0/20,0.25528961420059204,False,881,9.743207693099976
1789945680.2324126,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,100.0,70.0,Autonomous drone must hover to start the journey,1841.6767999879085,True,264,264,True,False,0/20,0.7732605338096619,False,882,0.0
1789945681.2233996,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,100.0,60.0,Autonomous drone must hover to start the journey,1841.6767999879085,True,293,293,True,False,0/20,0.30509957671165466,False,907,0.408278226852417
1789945681.600163,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,60.0,Autonomous drone must hover to start the journey,1841.6767999879085,False,293,293,True,False,0/20,0.3342171907424927,False,916,0.8012332916259766
1789945682.6563947,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,70.0,Autonomous drone must hover to start the journey,1841.6767999879085,False,293,293,True,False,0/20,0.3342171907424927,False,941,1.832500696182251
1789945682.744018,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,70.0,The drone is hovering within range without any detected objects or changes in flight state,2583.262600004673,False,293,293,True,False,0/20,0.3342171907424927,False,944,1.9450883865356445
1789945683.8252313,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,70.0,The drone is hovering within range without any detected objects or changes in flight state,2583.262600004673,False,293,293,True,False,0/20,0.3342171907424927,False,969,2.997464656829834
1789945684.838467,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,70.0,The drone is hovering within range without any detected objects or changes in flight state,2583.262600004673,False,368,351,True,False,0/20,0.17365989089012146,False,994,4.039537191390991
1789945685.0688527,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,70.0,The drone is in the ground and has been detected without battery warning.,2325.6038000108674,False,368,351,True,False,0/20,0.17365989089012146,False,1000,4.269922971725464
1789945686.0720658,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,60.0,The drone is in the ground and has been detected without battery warning.,2325.6038000108674,False,368,351,True,False,0/20,0.17365989089012146,False,1024,5.273136138916016
1789945687.074407,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,70.0,The drone is in the ground and has been detected without battery warning.,2325.6038000108674,False,368,351,True,False,0/20,0.17365989089012146,False,1048,6.275477409362793
1789945687.298173,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,99.0,70.0,"Safety first, hover to monitor the drone's location and avoid sudden movements",2183.5088999941945,False,368,351,True,False,0/20,0.17365989089012146,False,1053,6.463950872421265
1789945688.2994666,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,99.0,60.0,"Safety first, hover to monitor the drone's location and avoid sudden movements",2183.5088999941945,False,368,351,True,False,0/20,0.17365989089012146,False,1077,7.46618914604187
1789945689.2956312,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,98.0,0.0,"Safety first, hover to monitor the drone's location and avoid sudden movements",2183.5088999941945,False,368,351,True,False,0/20,0.17365989089012146,False,1101,8.466943979263306
1789945690.3331509,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,98.0,-70.0,"Safety first, hover to monitor the drone's location and avoid sudden movements",2183.5088999941945,False,368,351,True,False,0/20,0.17365989089012146,False,1126,9.534221172332764
1789945690.8298225,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,98.0,-100.0,"Safety first, hover to monitor the drone's location and avoid sudden movements",2183.5088999941945,False,368,351,True,False,0/20,0.17365989089012146,False,1138,10.030892848968506
1789945691.0531228,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,98.0,-110.0,"The drone is currently hovering at a safe altitude, meeting the battery requirement and ensuring no interaction with the environment without being detected or affected by the human.",3792.055000027176,False,368,351,True,False,0/20,0.17365989089012146,False,1143,10.231739044189453
1789945692.0437834,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,97.0,-100.0,"The drone is currently hovering at a safe altitude, meeting the battery requirement and ensuring no interaction with the environment without being detected or affected by the human.",3792.055000027176,False,368,351,True,False,0/20,0.17365989089012146,False,1167,11.244853734970093
1789945693.0759726,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,97.0,-80.0,"The drone is currently hovering at a safe altitude, meeting the battery requirement and ensuring no interaction with the environment without being detected or affected by the human.",3792.055000027176,False,368,351,True,False,0/20,0.17365989089012146,False,1192,12.277042865753174
1789945694.036881,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,96.0,-80.0,"The drone is hovering below the ground at a height of -70 cm, displaying a battery reading of 98% and an altitude of -70 meters.",2998.140199983027,False,332,332,True,False,0/20,0.19986239075660706,False,1214,13.216830253601074
1789945695.030019,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,96.0,-90.0,"The drone is hovering below the ground at a height of -70 cm, displaying a battery reading of 98% and an altitude of -70 meters.",2998.140199983027,False,188,188,True,False,0/20,0.1881667971611023,False,1239,14.231089353561401
1789945696.0836246,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,95.0,0.0,"The drone is hovering below the ground at a height of -70 cm, displaying a battery reading of 98% and an altitude of -70 meters.",2998.140199983027,False,188,188,True,False,0/20,0.1881667971611023,False,1263,15.252751350402832
1789945696.1640778,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,95.0,0.0,Autonomy: no human for 10.0s -> search_360,2119.9296000413597,False,188,188,True,False,0/20,0.1881667971611023,False,1266,15.365148067474365
1789945697.189327,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,94.0,0.0,Autonomy: no human for 10.0s -> search_360,2119.9296000413597,False,188,188,True,False,0/20,0.1881667971611023,False,1291,16.390397310256958
1789945698.2663555,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,94.0,0.0,Autonomy: no human for 10.0s -> search_360,2119.9296000413597,False,188,188,True,False,0/20,0.1881667971611023,False,1315,17.435471057891846
1789945698.6479888,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,94.0,0.0,The drone is searching for a ground target with minimal battery and no visible objects detected,2485.953499970492,False,188,188,True,False,0/20,0.1881667971611023,False,1325,17.807953119277954
1789945699.6337235,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,93.0,0.0,The drone is searching for a ground target with minimal battery and no visible objects detected,2485.953499970492,False,188,188,True,False,0/20,0.1881667971611023,False,1350,18.83479380607605
1789945700.4864898,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,93.0,0.0,The drone is searching for a ground target.,1832.6586000039242,False,188,188,True,False,0/20,0.1881667971611023,False,1370,19.65747857093811
1789945701.4887547,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,92.0,0.0,The drone is searching for a ground target.,1832.6586000039242,False,188,188,True,False,0/20,0.1881667971611023,False,1394,20.658872842788696
1789945702.5262601,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,92.0,0.0,The drone is searching for a ground target.,1832.6586000039242,False,188,188,True,False,0/20,0.1881667971611023,False,1419,21.727330446243286
