t,event,latency_ms
1789945652.632945,llm_explanation,4238.2553000352345
1789945654.5471656,llm_explanation,1924.4303000159562
1789945658.588896,llm_explanation,4031.4809000119567
1789945661.5107205,llm_explanation,2901.5308000380173
1789945663.941166,llm_explanation,2447.990700020455
1789945665.4962492,llm_explanation,1559.0142000000924
1789945667.9528446,llm_explanation,2446.672100049909
1789945671.0668356,llm_explanation,3131.2244999571703
1789945680.1531749,llm_explanation,1841.6767999879085
1789945682.744018,llm_explanation,2583.262600004673
1789945685.0688527,llm_explanation,2325.6038000108674
1789945687.298173,llm_explanation,2183.5088999941945
1789945691.0531228,llm_explanation,3792.055000027176
1789945694.036881,llm_explanation,2998.140199983027
1789945696.1640778,llm_explanation,2119.9296000413597
1789945698.6479888,llm_explanation,2485.953499970492
1789945700.4864898,llm_explanation,1832.6586000039242
1789945702.9950867,llm_explanation,2517.0631999499165
1789945707.002764,llm_explanation,4009.5360000268556
1789945717.1117926,llm_explanation,2014.6552000078373
1789945722.6523592,llm_explanation,3138.887800043449
1789945723.9812925,llm_explanation,1295.8015000331216
1789945725.5752728,llm_explanation,1634.853399998974
1789945727.8247554,llm_explanation,2257.5786000234075
1789945729.6970773,llm_explanation,1844.2218999844044
1789945733.2286503,llm_explanation,3543.595600000117
1789945734.8717706,llm_explanation,1660.3830000385642
1789945737.8720403,llm_explanation,2957.5327999773435
1789945739.7771804,llm_explanation,1932.6438000425696
1789945743.0465045,llm_explanation,1156.2914999667555
1789945744.2803633,rc_send_suppressed,
1789945744.4237669,rc_send_suppressed,
1789945744.5269246,rc_send_suppressed,
1789945744.6384697,rc_send_suppressed,
1789945744.7853556,rc_send_suppressed,
1789945744.894062,rc_send_suppressed,
1789945745.0108306,rc_send_suppressed,
1789945745.1318932,rc_send_suppressed,
1789945745.2633383,rc_send_suppressed,
1789945745.363259,rc_send_suppressed,
1789945745.4634728,rc_send_suppressed,
1789945745.6083374,rc_send_suppressed,
1789945745.7114646,rc_send_suppressed,
1789945745.8394961,rc_send_suppressed,
1789945745.9551394,rc_send_suppressed,
1789945746.0583627,rc_send_suppressed,
1789945746.171615,rc_send_suppressed,
1789945746.3147182,rc_send_suppressed,
1789945746.4346404,rc_send_suppressed,
1789945746.5646577,rc_send_suppressed,
1789945746.678485,rc_send_suppressed,
1789945746.784421,rc_send_suppressed,
1789945746.8980825,rc_send_suppressed,
1789945747.099039,llm_explanation,4003.013900015503
1789945747.1105165,rc_send_suppressed,
1789945747.2285001,rc_send_suppressed,
1789945747.332026,rc_send_suppressed,
1789945747.4473586,rc_send_suppressed,
1789945747.5489042,rc_send_suppressed,
1789945747.6557822,rc_send_suppressed,
1789945747.7564096,rc_send_suppressed,
1789945747.914366,rc_send_suppressed,
1789945748.0284207,rc_send_suppressed,
1789945748.1548674,rc_send_suppressed,
1789945748.273929,rc_send_suppressed,
1789945748.37581,rc_send_suppressed,
1789945748.5310702,rc_send_suppressed,
1789945748.6780038,rc_send_suppressed,
1789945748.7871976,rc_send_suppressed,
1789945748.8927236,rc_send_suppressed,
1789945748.994903,rc_send_suppressed,
1789945749.1048217,rc_send_suppressed,
1789945749.2081456,rc_send_suppressed,
1789945749.3209794,rc_send_suppressed,
1789945749.4556046,rc_send_suppressed,
1789945749.569837,rc_send_suppressed,
1789945749.6753545,rc_send_suppressed,
1789945749.7766209,rc_send_suppressed,
1789945749.8788395,rc_send_suppressed,
1789945750.0121312,rc_send_suppressed,
1789945750.1292453,rc_send_suppressed,
1789945750.2619731,rc_send_suppressed,
1789945750.3753214,rc_send_suppressed,
1789945750.4810395,rc_send_suppressed,
1789945750.600303,rc_send_suppressed,
1789945750.7321942,rc_send_suppressed,
1789945750.8426394,rc_send_suppressed,
1789945750.9898322,rc_send_suppressed,
1789945751.1126711,rc_send_suppressed,
1789945751.2717783,rc_send_suppressed,
1789945751.3820117,rc_send_suppressed,
1789945751.5076754,rc_send_suppressed,
1789945751.6241436,rc_send_suppressed,
1789945751.72837,rc_send_suppressed,
1789945751.8496141,rc_send_suppressed,
1789945752.0061133,rc_send_suppressed,
1789945752.1483877,rc_send_suppressed,
1789945752.2609205,rc_send_suppressed,
1789945752.3793693,rc_send_suppressed,
1789945752.5382576,rc_send_suppressed,
1789945752.6470807,rc_send_suppressed,
1789945752.8044634,rc_send_suppressed,
1789945752.9311206,rc_send_suppressed,
1789945753.0740893,rc_send_suppressed,
1789945753.1825714,rc_send_suppressed,
1789945753.228927,llm_explanation,2174.5708000380546
1789945753.3301647,rc_send_suppressed,
1789945753.4592369,rc_send_suppressed,
1789945753.5916185,rc_send_suppressed,
1789945753.729439,rc_send_suppressed,
1789945753.8531702,rc_send_suppressed,
1789945753.956438,rc_send_suppressed,
1789945754.0950162,rc_send_suppressed,
1789945754.214086,rc_send_suppressed,
1789945754.3589954,rc_send_suppressed,
1789945754.4604623,rc_send_suppressed,
1789945754.5792973,rc_send_suppressed,
1789945754.7397997,rc_send_suppressed,
1789945754.8498826,rc_send_suppressed,
1789945754.9523897,rc_send_suppressed,
1789945755.1084945,rc_send_suppressed,
1789945755.2347746,rc_send_suppressed,
1789945755.3669946,rc_send_suppressed,
1789945755.473092,rc_send_suppressed,
1789945755.58651,rc_send_suppressed,
1789945755.7074692,rc_send_suppressed,
1789945755.8104255,rc_send_suppressed,
1789945755.9140723,rc_send_suppressed,
1789945756.0401847,rc_send_suppressed,
1789945756.2042286,rc_send_suppressed,
1789945756.3341014,rc_send_suppressed,
1789945756.4475436,rc_send_suppressed,
1789945756.5520644,rc_send_suppressed,
1789945756.6705465,rc_send_suppressed,
1789945756.771274,rc_send_suppressed,
1789945756.881009,rc_send_suppressed,
1789945756.9928896,rc_send_suppressed,
1789945757.0982451,rc_send_suppressed,
1789945757.2018843,rc_send_suppressed,
1789945757.2220569,llm_explanation,4014.343500020914
1789945757.341451,rc_send_suppressed,
1789945757.4465873,rc_send_suppressed,
1789945757.557513,rc_send_suppressed,
1789945757.6885939,rc_send_suppressed,
1789945757.8440506,rc_send_suppressed,
1789945757.9530137,rc_send_suppressed,
1789945758.076137,rc_send_suppressed,
1789945758.1935742,rc_send_suppressed,
1789945758.2960436,rc_send_suppressed,
1789945758.413055,rc_send_suppressed,
1789945758.5819292,rc_send_suppressed,
1789945758.6886313,rc_send_suppressed,
1789945758.8093026,rc_send_suppressed,
1789945758.9273968,rc_send_suppressed,
1789945759.0350661,rc_send_suppressed,
1789945759.1608999,rc_send_suppressed,
1789945759.267853,rc_send_suppressed,
1789945759.3910518,rc_send_suppressed,
1789945759.5030446,rc_send_suppressed,
1789945759.6768181,rc_send_suppressed,
1789945759.8040621,rc_send_suppressed,
1789945759.9058514,rc_send_suppressed,
1789945760.0025287,llm_explanation,2775.069599971175
1789945760.0214016,rc_send_suppressed,
1789945760.129755,rc_send_suppressed,
1789945760.3028152,rc_send_suppressed,
1789945760.429973,rc_send_suppressed,
1789945760.5423179,rc_send_suppressed,
1789945760.7130463,rc_send_suppressed,
1789945760.8205662,rc_send_suppressed,
1789945760.9234438,rc_send_suppressed,
1789945761.0582602,rc_send_suppressed,
1789945761.2062507,rc_send_suppressed,
1789945761.3311014,rc_send_suppressed,
1789945761.4558039,rc_send_suppressed,
1789945761.567592,rc_send_suppressed,
1789945761.6775594,rc_send_suppressed,
1789945761.8050134,rc_send_suppressed,
1789945761.9259593,rc_send_suppressed,
1789945762.0480025,rc_send_suppressed,
1789945762.1773162,rc_send_suppressed,
1789945762.2945259,rc_send_suppressed,
1789945762.4089682,rc_send_suppressed,
1789945762.5259793,rc_send_suppressed,
1789945762.6628249,rc_send_suppressed,
1789945762.763153,rc_send_suppressed,
1789945762.8736222,rc_send_suppressed,
1789945762.975595,rc_send_suppressed,
1789945763.0925212,rc_send_suppressed,
1789945763.1868718,llm_explanation,3173.983200045768
1789945763.207207,rc_send_suppressed,
1789945763.3165567,rc_send_suppressed,
1789945763.4499922,rc_send_suppressed,
1789945763.5628483,rc_send_suppressed,
1789945763.7022464,rc_send_suppressed,
1789945763.8125014,rc_send_suppressed,
1789945763.9394999,rc_send_suppressed,
1789945764.0435445,rc_send_suppressed,
1789945764.1494741,rc_send_suppressed,
1789945764.2788305,rc_send_suppressed,
1789945764.4008005,rc_send_suppressed,
1789945764.5153775,rc_send_suppressed,
1789945764.6161902,rc_send_suppressed,
1789945764.7379322,rc_send_suppressed,
1789945764.874479,rc_send_suppressed,
1789945764.986536,rc_send_suppressed,
1789945765.088772,rc_send_suppressed,
1789945765.207576,rc_send_suppressed,
1789945765.3202705,rc_send_suppressed,
1789945765.4383628,rc_send_suppressed,
1789945765.5595367,rc_send_suppressed,
1789945765.705296,rc_send_suppressed,
1789945765.8398206,rc_send_suppressed,
1789945765.9486747,rc_send_suppressed,
1789945766.08097,rc_send_suppressed,
1789945766.203857,rc_send_suppressed,
1789945766.3277001,rc_send_suppressed,
1789945766.4547036,rc_send_suppressed,
1789945766.5662708,rc_send_suppressed,
1789945766.673883,rc_send_suppressed,
1789945766.7977207,rc_send_suppressed,
1789945766.906666,rc_send_suppressed,
1789945767.0373518,rc_send_suppressed,
1789945767.1450653,rc_send_suppressed,
1789945767.2378037,llm_explanation,4021.9318000017665
1789945767.261295,rc_send_suppressed,
1789945767.3791382,rc_send_suppressed,
1789945767.5103264,rc_send_suppressed,
1789945767.6260517,rc_send_suppressed,
1789945767.734968,rc_send_suppressed,
1789945767.8556578,rc_send_suppressed,
1789945767.9766219,rc_send_suppressed,
1789945768.078156,rc_send_suppressed,
1789945768.1786356,rc_send_suppressed,
1789945768.2869437,rc_send_suppressed,
1789945768.4294925,rc_send_suppressed,
1789945768.5651886,rc_send_suppressed,
1789945768.6843376,rc_send_suppressed,
1789945768.7849975,rc_send_suppressed,
1789945768.9183521,rc_send_suppressed,
1789945769.0204022,rc_send_suppressed,
1789945769.1208076,rc_send_suppressed,
1789945769.2782679,rc_send_suppressed,
1789945769.4047654,rc_send_suppressed,
1789945769.5578828,rc_send_suppressed,
1789945769.7070935,rc_send_suppressed,
1789945769.8253908,rc_send_suppressed,
1789945769.9381435,rc_send_suppressed,
1789945770.056673,rc_send_suppressed,
1789945770.160488,rc_send_suppressed,
1789945770.3325813,rc_send_suppressed,
1789945770.439177,rc_send_suppressed,
1789945770.563357,rc_send_suppressed,
1789945770.692898,rc_send_suppressed,
1789945770.7945879,rc_send_suppressed,
1789945770.9222877,rc_send_suppressed,
1789945771.0272949,rc_send_suppressed,
1789945771.1306741,rc_send_suppressed,
1789945771.2466455,rc_send_suppressed,
1789945771.3563778,rc_send_suppressed,
1789945771.4773476,rc_send_suppressed,
1789945771.5805922,rc_send_suppressed,
1789945771.6944592,rc_send_suppressed,
1789945771.8266633,rc_send_suppressed,
1789945771.9386113,rc_send_suppressed,
1789945772.0426474,rc_send_suppressed,
1789945772.1672,rc_send_suppressed,
1789945772.2975051,rc_send_suppressed,
1789945772.4249704,rc_send_suppressed,
1789945772.5378687,rc_send_suppressed,
1789945772.650998,rc_send_suppressed,
1789945772.7779748,rc_send_suppressed,
1789945772.9070768,rc_send_suppressed,
1789945773.010857,rc_send_suppressed,
