t,bat,h,yaw,vgx,vgy,vgz,tof
1789945648.4324687,100.0,0.0,-3.0,0.0,0.0,0.0,10.0
1789945649.4352427,100.0,0.0,-3.0,0.0,0.0,0.0,10.0
1789945650.4523263,100.0,0.0,7.0,0.0,0.0,0.0,10.0
1789945651.4538255,100.0,0.0,40.0,0.0,0.0,-1.0,10.0
1789945652.455679,100.0,0.0,-1.0,0.0,0.0,2.0,10.0
1789945653.465474,100.0,0.0,-17.0,0.0,0.0,0.0,10.0
1789945654.4659495,100.0,0.0,-29.0,0.0,0.0,0.0,10.0
1789945655.478086,100.0,0.0,-69.0,0.0,0.0,-6.0,10.0
1789945656.5071843,100.0,0.0,-123.0,0.0,0.0,0.0,10.0
1789945657.5084817,100.0,0.0,-116.0,0.0,0.0,0.0,10.0
1789945658.5099385,100.0,0.0,-116.0,0.0,0.0,0.0,10.0
1789945659.5120733,100.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789945660.5156236,100.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789945661.522287,100.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789945662.5247324,100.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789945663.5250523,100.0,0.0,-114.0,0.0,0.0,0.0,10.0
1789945664.5259748,100.0,0.0,-116.0,3.0,2.0,5.0,10.0
1789945665.5266552,100.0,0.0,-125.0,0.0,0.0,-1.0,39.0
1789945666.5308251,100.0,0.0,-120.0,0.0,0.0,0.0,42.0
1789945667.5324702,100.0,0.0,-116.0,0.0,0.0,0.0,49.0
1789945668.556083,100.0,0.0,-117.0,0.0,0.0,0.0,49.0
1789945669.5875475,100.0,0.0,-119.0,0.0,0.0,0.0,47.0
1789945670.5917366,100.0,-10.0,-120.0,0.0,0.0,-7.0,10.0
1789945671.6062562,100.0,0.0,-118.0,2.0,2.0,0.0,10.0
1789945680.152177,100.0,70.0,-118.0,0.0,0.0,0.0,33.0
1789945681.206172,100.0,60.0,-118.0,0.0,0.0,0.0,17.0
1789945682.2451396,100.0,70.0,-118.0,0.0,0.0,0.0,69.0
1789945683.2524369,100.0,70.0,-117.0,1.0,0.0,0.0,74.0
1789945684.2993648,100.0,70.0,-117.0,1.0,0.0,0.0,74.0
1789945685.2997398,100.0,70.0,-116.0,2.0,-1.0,0.0,73.0
1789945686.3108363,100.0,60.0,-111.0,1.0,-1.0,0.0,20.0
1789945687.3121364,99.0,70.0,-106.0,3.0,0.0,0.0,58.0
1789945688.3123012,99.0,60.0,-64.0,5.0,0.0,-1.0,63.0
1789945689.3136156,98.0,0.0,-61.0,0.0,-6.0,-8.0,12.0
1789945690.3162003,98.0,-70.0,-64.0,3.0,-7.0,-6.0,12.0
1789945691.3172839,97.0,-110.0,-66.0,0.0,0.0,-5.0,12.0
1789945692.3325105,97.0,-120.0,-64.0,0.0,0.0,-2.0,12.0
1789945693.3568664,96.0,-70.0,-78.0,0.0,0.0,-2.0,40.0
1789945694.357637,96.0,-80.0,-84.0,2.0,0.0,-1.0,12.0
1789945695.3605003,95.0,-80.0,-88.0,0.0,0.0,0.0,12.0
1789945696.3633974,95.0,0.0,-87.0,0.0,0.0,3.0,10.0
1789945697.367521,94.0,0.0,-88.0,0.0,0.0,2.0,10.0
1789945698.3679452,94.0,0.0,-88.0,0.0,0.0,0.0,10.0
1789945699.3706913,93.0,0.0,-88.0,0.0,0.0,0.0,10.0
1789945700.4174771,93.0,0.0,-88.0,0.0,0.0,0.0,10.0
1789945701.4193037,92.0,0.0,-88.0,0.0,0.0,0.0,10.0
1789945702.4219854,92.0,0.0,-88.0,0.0,0.0,0.0,10.0
1789945703.425992,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945704.4293513,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945705.4383886,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945706.4457035,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945707.4540055,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945708.457117,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945709.4587631,92.0,0.0,-86.0,0.0,0.0,0.0,10.0
1789945710.4694736,92.0,0.0,-86.0,0.0,0.0,0.0,10.0
1789945711.470217,92.0,0.0,-86.0,0.0,0.0,0.0,10.0
1789945712.4718149,92.0,0.0,-86.0,0.0,0.0,0.0,10.0
1789945713.4742,92.0,0.0,-86.0,0.0,0.0,0.0,10.0
1789945714.4745512,92.0,0.0,-86.0,0.0,0.0,0.0,10.0
1789945715.477431,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945716.4804134,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945717.4834893,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945718.4858112,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945719.4861207,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945720.490123,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945721.4927971,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945722.5004816,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945723.5026703,92.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789945724.5080745,92.0,60.0,-84.0,0.0,-1.0,10.0,52.0
1789945725.5103872,92.0,0.0,-114.0,0.0,0.0,3.0,10.0
1789945726.5112214,92.0,0.0,-109.0,0.0,0.0,0.0,10.0
1789945727.5122883,92.0,0.0,-112.0,0.0,0.0,0.0,10.0
1789945728.5982828,92.0,0.0,-112.0,0.0,0.0,0.0,10.0
1789945729.609319,92.0,0.0,-110.0,0.0,0.0,-7.0,10.0
1789945730.6241038,92.0,-20.0,-110.0,0.0,0.0,-4.0,10.0
1789945731.6257384,92.0,0.0,-110.0,0.0,0.0,0.0,10.0
1789945732.628118,92.0,0.0,-113.0,0.0,0.0,0.0,10.0
1789945733.654736,92.0,0.0,-115.0,0.0,0.0,1.0,10.0
1789945734.6673517,92.0,0.0,-120.0,0.0,0.0,0.0,10.0
1789945735.7066383,92.0,0.0,-120.0,0.0,0.0,0.0,10.0
1789945736.7097106,92.0,0.0,-120.0,0.0,0.0,0.0,10.0
1789945737.7147725,91.0,0.0,-120.0,0.0,0.0,0.0,10.0
1789945738.7285717,91.0,0.0,-120.0,0.0,0.0,0.0,10.0
1789945739.768351,91.0,0.0,-120.0,0.0,0.0,0.0,10.0
1789945740.772113,91.0,0.0,-120.0,0.0,0.0,0.0,10.0
1789945741.7921493,91.0,0.0,-120.0,0.0,0.0,0.0,10.0
1789945742.8132396,91.0,0.0,-119.0,0.0,0.0,0.0,10.0
1789945743.8141248,91.0,0.0,-120.0,0.0,0.0,0.0,10.0
1789945744.894062,91.0,0.0,-118.0,0.0,0.0,0.0,10.0
1789945745.89579,91.0,50.0,-118.0,0.0,0.0,4.0,65.0
1789945746.8980825,91.0,70.0,-118.0,0.0,0.0,0.0,76.0
1789945747.914366,91.0,70.0,-118.0,0.0,0.0,0.0,83.0
1789945748.9629884,91.0,70.0,-118.0,0.0,0.0,0.0,86.0
