t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1790070544.3525336,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,71.0,0.0,,0.0,False,,,False,False,0/40,-1.0,False,11,5.663662672042847
1790070545.3435922,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,71.0,0.0,hover,983.0279999878258,False,,,False,False,0/40,-1.0,False,142,6.654721260070801
1790070546.3505058,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,71.0,0.0,hover,983.0279999878258,False,,,False,False,0/40,-1.0,False,166,7.661634922027588
1790070546.7392788,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,71.0,0.0,Drone is too high and out of sight,1333.4028999088332,False,,,False,False,0/40,-1.0,False,175,8.018928050994873
1790070547.7476182,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,71.0,0.0,Drone is too high and out of sight,1333.4028999088332,False,,,False,False,0/40,-1.0,False,200,9.058747291564941
1790070548.741132,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,71.0,0.0,Drone is too high and out of sight,1333.4028999088332,False,,,False,False,0/40,-1.0,False,223,10.020313501358032
1790070549.0023136,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,71.0,0.0,"The drone is about to land, as indicated by the 'ground' mode and hover command",2191.2133999867365,False,,,False,False,0/40,-1.0,False,229,10.287543296813965
1790070550.015293,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,71.0,0.0,"The drone is about to land, as indicated by the 'ground' mode and hover command",2191.2133999867365,False,,,False,False,0/40,-1.0,False,254,11.326421976089478
1790070551.08421,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,71.0,0.0,"The drone is about to land, as indicated by the 'ground' mode and hover command",2191.2133999867365,False,,,False,False,0/40,-1.0,False,279,12.35568618774414
1790070551.23957,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,71.0,0.0,The drone is hovering below the ground and has not yet started its mission.,2275.4924999317154,False,,,False,False,0/40,-1.0,False,283,12.519483804702759
