t,bat,h,yaw,vgx,vgy,vgz,tof
1790070800.5268178,65.0,0.0,98.0,0.0,0.0,0.0,10.0
1790070801.5384326,65.0,0.0,98.0,0.0,0.0,0.0,10.0
1790070802.5395725,65.0,0.0,98.0,0.0,0.0,0.0,10.0
1790070803.5401902,65.0,0.0,98.0,0.0,0.0,0.0,10.0
1790070804.5416222,65.0,10.0,99.0,-3.0,-5.0,7.0,10.0
1790070805.5441005,65.0,0.0,73.0,0.0,-2.0,1.0,10.0
1790070806.544498,65.0,0.0,66.0,0.0,0.0,4.0,10.0
1790070807.546569,64.0,0.0,78.0,0.0,0.0,0.0,10.0
1790070808.548802,64.0,0.0,76.0,0.0,0.0,0.0,10.0
1790070809.5524719,64.0,0.0,78.0,0.0,0.0,0.0,10.0
1790070810.5528882,64.0,0.0,78.0,0.0,0.0,0.0,10.0
1790070811.5556793,64.0,0.0,95.0,0.0,0.0,0.0,10.0
1790070812.5595162,64.0,0.0,122.0,0.0,0.0,1.0,10.0
1790070813.590871,64.0,0.0,89.0,0.0,0.0,0.0,10.0
1790070814.624656,64.0,0.0,89.0,0.0,0.0,0.0,10.0
1790070815.6553395,64.0,0.0,90.0,0.0,0.0,0.0,10.0
1790070816.664232,64.0,0.0,90.0,0.0,0.0,0.0,10.0
1790070817.6971614,64.0,0.0,90.0,0.0,0.0,0.0,10.0
1790070818.7292354,64.0,0.0,90.0,0.0,0.0,0.0,10.0
1790070819.7751215,64.0,0.0,91.0,0.0,0.0,0.0,10.0
1790070820.7763863,64.0,0.0,91.0,0.0,0.0,0.0,10.0
1790070821.7979054,64.0,0.0,91.0,0.0,0.0,0.0,10.0
1790070822.8318899,64.0,0.0,91.0,0.0,0.0,0.0,10.0
1790070823.8427181,64.0,0.0,91.0,0.0,0.0,-1.0,10.0
1790070824.845233,64.0,0.0,134.0,0.0,0.0,0.0,10.0
1790070825.867831,64.0,0.0,137.0,0.0,0.0,0.0,10.0
1790070826.8684065,64.0,0.0,137.0,0.0,0.0,1.0,10.0
1790070827.8697476,64.0,0.0,129.0,0.0,0.0,0.0,10.0
1790070828.914689,64.0,0.0,129.0,0.0,0.0,0.0,10.0
1790070829.9288754,64.0,0.0,116.0,0.0,0.0,1.0,10.0
1790070830.9580467,64.0,0.0,11.0,0.0,0.0,0.0,10.0
1790070831.9747486,64.0,0.0,5.0,0.0,0.0,0.0,10.0
1790070833.0490363,64.0,0.0,6.0,0.0,0.0,0.0,10.0
1790070834.0771806,64.0,0.0,2.0,0.0,0.0,0.0,10.0
1790070835.1214707,64.0,0.0,3.0,0.0,0.0,0.0,10.0
1790070836.1318965,64.0,0.0,5.0,0.0,0.0,0.0,10.0
1790070837.1500134,64.0,0.0,5.0,0.0,0.0,0.0,10.0
1790070838.15972,64.0,0.0,5.0,0.0,0.0,0.0,10.0
1790070839.1742008,64.0,0.0,5.0,0.0,0.0,0.0,10.0
1790070840.1975846,64.0,0.0,5.0,0.0,0.0,0.0,10.0
1790070841.260878,64.0,0.0,5.0,0.0,0.0,0.0,10.0
1790070842.3333995,64.0,0.0,5.0,0.0,0.0,0.0,10.0
1790070843.3932252,64.0,0.0,6.0,0.0,0.0,0.0,10.0
1790070844.4137979,64.0,0.0,6.0,0.0,0.0,0.0,10.0
1790070845.476481,64.0,0.0,6.0,0.0,0.0,0.0,10.0
1790070846.517456,64.0,0.0,7.0,0.0,0.0,0.0,10.0
1790070847.5417645,63.0,0.0,7.0,0.0,0.0,0.0,10.0
1790070848.578448,63.0,0.0,7.0,0.0,0.0,0.0,10.0
1790070849.6125922,63.0,0.0,8.0,0.0,0.0,0.0,10.0
1790070850.6150682,63.0,0.0,8.0,0.0,0.0,0.0,10.0
1790070851.6291368,63.0,0.0,8.0,0.0,0.0,0.0,10.0
1790070852.6304076,63.0,0.0,8.0,0.0,0.0,0.0,10.0
1790070853.6653912,63.0,0.0,5.0,0.0,0.0,0.0,10.0
1790070854.6980884,63.0,0.0,39.0,0.0,0.0,0.0,10.0
1790070855.762229,63.0,0.0,39.0,0.0,0.0,0.0,10.0
1790070856.7993245,63.0,0.0,36.0,0.0,0.0,0.0,10.0
1790070857.828843,63.0,0.0,45.0,0.0,0.0,0.0,10.0
1790070858.8577359,63.0,0.0,46.0,0.0,0.0,0.0,10.0
1790070859.893587,63.0,0.0,45.0,0.0,0.0,0.0,10.0
1790070860.9069424,63.0,0.0,45.0,0.0,0.0,0.0,10.0
1790070861.9361122,63.0,0.0,45.0,0.0,0.0,0.0,10.0
1790070862.9652014,63.0,0.0,45.0,0.0,0.0,0.0,10.0
1790070863.996484,63.0,0.0,46.0,0.0,0.0,0.0,10.0
1790070865.0651662,63.0,0.0,45.0,0.0,0.0,0.0,10.0
1790070866.1226084,63.0,0.0,44.0,0.0,0.0,0.0,10.0
1790070867.1835513,63.0,0.0,47.0,0.0,0.0,0.0,10.0
1790070868.1914682,63.0,0.0,48.0,0.0,0.0,0.0,10.0
1790070869.2223244,63.0,0.0,48.0,0.0,0.0,0.0,10.0
1790070870.3162706,63.0,0.0,45.0,0.0,0.0,0.0,10.0
1790070871.3189347,63.0,0.0,42.0,0.0,0.0,0.0,10.0
1790070872.3912494,63.0,0.0,49.0,0.0,0.0,0.0,10.0
1790070873.4053257,63.0,0.0,49.0,0.0,0.0,1.0,10.0
1790070874.4143958,63.0,0.0,39.0,0.0,0.0,0.0,10.0
1790070875.453465,63.0,0.0,39.0,0.0,0.0,0.0,10.0
1790070876.4611497,63.0,0.0,39.0,0.0,0.0,0.0,10.0
1790070877.5247536,63.0,0.0,40.0,0.0,0.0,0.0,10.0
1790070878.5314276,63.0,0.0,39.0,0.0,0.0,0.0,10.0
1790070879.5483139,63.0,0.0,39.0,0.0,0.0,0.0,10.0
1790070880.5624373,63.0,0.0,32.0,0.0,0.0,0.0,10.0
1790070881.6207864,63.0,0.0,28.0,0.0,0.0,0.0,10.0
1790070882.6248844,63.0,0.0,28.0,0.0,0.0,0.0,10.0
1790070883.628453,63.0,0.0,27.0,0.0,0.0,0.0,10.0
1790070884.676587,63.0,0.0,-32.0,0.0,0.0,0.0,10.0
1790070885.684515,63.0,0.0,-117.0,0.0,0.0,0.0,10.0
1790070886.7182574,63.0,0.0,-118.0,0.0,0.0,0.0,10.0
1790070887.7334678,62.0,0.0,-119.0,0.0,0.0,1.0,168.0
1790070888.8045118,62.0,0.0,-125.0,0.0,0.0,0.0,174.0
1790070889.8558624,62.0,0.0,-125.0,0.0,-1.0,0.0,173.0
1790070890.8731885,62.0,0.0,-123.0,0.0,0.0,0.0,173.0
1790070891.9147193,62.0,0.0,-125.0,0.0,1.0,0.0,172.0
1790070892.9305058,62.0,0.0,-126.0,0.0,1.0,0.0,172.0
1790070893.9948301,62.0,0.0,-127.0,0.0,0.0,0.0,170.0
1790070895.0008478,62.0,0.0,-123.0,-1.0,0.0,-4.0,159.0
1790070896.0177374,62.0,0.0,-144.0,2.0,2.0,0.0,70.0
1790070897.0661325,62.0,0.0,-135.0,2.0,3.0,0.0,43.0
1790070898.066908,62.0,0.0,-144.0,0.0,0.0,0.0,61.0
1790070899.0777786,62.0,0.0,-134.0,0.0,2.0,3.0,146.0
1790070900.0790386,62.0,0.0,-122.0,0.0,1.0,0.0,153.0
1790070901.1007392,62.0,0.0,-122.0,0.0,0.0,0.0,146.0
1790070902.1110759,62.0,0.0,-121.0,0.0,0.0,-1.0,146.0
1790070903.1128504,62.0,0.0,-110.0,0.0,1.0,1.0,132.0
1790070904.1214328,62.0,0.0,-98.0,0.0,0.0,0.0,122.0
1790070905.1787558,62.0,0.0,-101.0,1.0,0.0,-1.0,109.0
1790070906.2173731,62.0,0.0,-143.0,2.0,1.0,0.0,96.0
1790070907.2184849,62.0,0.0,-121.0,0.0,0.0,0.0,98.0
1790070908.222614,62.0,0.0,-127.0,0.0,0.0,0.0,101.0
1790070909.2292736,62.0,0.0,-124.0,0.0,0.0,0.0,101.0
1790070910.2562022,62.0,0.0,-120.0,0.0,0.0,0.0,107.0
1790070911.2799642,62.0,0.0,-122.0,1.0,1.0,0.0,156.0
1790070912.284095,62.0,0.0,-99.0,0.0,8.0,1.0,10.0
1790070913.2906682,62.0,-10.0,-61.0,0.0,4.0,-4.0,10.0
1790070914.3379147,62.0,0.0,-20.0,0.0,0.0,0.0,10.0
1790070915.338268,62.0,0.0,-24.0,0.0,0.0,0.0,93.0
1790070916.340144,62.0,0.0,-66.0,-9.0,-1.0,-1.0,107.0
1790070917.3422985,62.0,0.0,-126.0,0.0,0.0,-2.0,91.0
1790070918.3844564,62.0,-70.0,-107.0,0.0,0.0,-4.0,10.0
1790070919.4229574,62.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070920.4250882,62.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070921.4313636,62.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070922.432502,62.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070923.4328034,62.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070924.4374385,62.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070925.439306,62.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070926.4396605,62.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070935.2545216,61.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070936.255747,61.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070937.262094,61.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070946.1101599,61.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070947.1109886,61.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070948.1503203,61.0,0.0,-96.0,0.0,0.0,0.0,10.0
1790070949.1632957,61.0,0.0,-96.0,0.0,0.0,0.0,10.0
