t,event,latency_ms
1790071203.2905006,llm_explanation,2916.099900030531
1790071207.2250953,llm_explanation,4002.004500012845
1790071209.163988,llm_explanation,1879.4165999861434
1790071210.4977818,llm_explanation,1318.921500002034
1790071212.8914497,llm_explanation,2416.7287999298424
1790071227.3755386,rc_send,
1790071227.4393747,llm_explanation,868.9499000320211
1790071227.4862914,rc_send,
1790071227.6524,rc_send,
1790071227.7612967,rc_send,
1790071227.8650193,rc_send,
1790071227.982445,rc_send,
1790071228.1129045,rc_send,
1790071228.2229395,rc_send,
1790071228.36375,rc_send,
1790071228.4754472,rc_send,
1790071228.6094322,rc_send,
1790071228.7229304,rc_send,
1790071228.8547602,rc_send,
1790071228.962469,rc_send,
1790071229.0649974,rc_send,
1790071229.1985376,rc_send,
1790071229.2121036,llm_explanation,1758.0379999708384
1790071229.3045666,rc_send,
1790071229.4447129,rc_send,
1790071229.5577033,rc_send,
1790071229.6948516,rc_send,
1790071229.82228,rc_send,
1790071229.9228568,rc_send,
1790071230.0789092,rc_send,
1790071230.1819458,rc_send,
1790071230.284772,rc_send,
1790071230.3883252,rc_send,
1790071230.528989,llm_explanation,1280.0178999314085
1790071230.5434601,rc_send,
1790071230.6652334,rc_send,
1790071230.8223884,rc_send,
1790071230.923846,rc_send,
1790071231.0266497,rc_send,
1790071231.1414375,rc_send,
1790071231.2850134,rc_send,
1790071231.3985362,rc_send,
1790071231.5373642,rc_send,
1790071231.6417766,rc_send,
1790071231.7756345,rc_send,
1790071231.8906662,rc_send,
1790071232.0271456,rc_send,
1790071232.1401172,rc_send,
1790071232.2405083,rc_send,
1790071232.388719,rc_send,
1790071232.511251,rc_send,
1790071232.6488945,rc_send,
1790071232.763069,rc_send,
1790071232.8935902,rc_send,
1790071233.0094454,rc_send,
1790071233.1516623,rc_send,
1790071233.2727206,rc_send,
1790071233.409736,rc_send,
1790071233.5141685,rc_send,
1790071233.6512923,rc_send,
1790071233.771472,rc_send,
1790071233.9291012,rc_send,
1790071234.0445595,rc_send,
1790071234.1946435,rc_send,
1790071234.311151,rc_send,
1790071234.4554052,rc_send,
1790071234.4948647,llm_explanation,4016.5884000016376
1790071234.5574045,rc_send,
1790071234.6935828,rc_send,
1790071234.8142755,rc_send,
1790071234.9478905,rc_send,
1790071235.0559967,rc_send,
1790071235.2028606,rc_send,
1790071235.305115,rc_send,
1790071235.426498,rc_send,
1790071235.5772989,rc_send,
1790071235.7012932,rc_send,
1790071235.8237903,rc_send,
1790071235.9252412,rc_send,
1790071236.0256789,rc_send,
1790071236.136925,rc_send,
1790071236.2592428,rc_send,
1790071236.3684297,rc_send,
1790071236.46934,rc_send,
1790071236.5790837,rc_send,
1790071236.7035308,rc_send,
1790071236.8316813,rc_send,
1790071237.0072343,rc_send,
1790071237.1172147,llm_explanation,2620.0501000275835
1790071237.129319,rc_send,
1790071237.2389667,rc_send,
1790071237.3632715,rc_send,
1790071237.4726202,rc_send,
1790071237.5955164,rc_send,
1790071237.700531,rc_send,
1790071237.8022587,rc_send,
1790071237.9168718,rc_send,
1790071238.033179,rc_send,
1790071238.1923468,rc_send,
1790071238.3039546,rc_send,
1790071238.417562,rc_send,
1790071238.525828,rc_send,
1790071238.6300046,rc_send,
1790071238.732644,rc_send,
1790071238.8592708,rc_send,
1790071238.962935,rc_send,
1790071239.1152997,rc_send,
1790071239.239382,rc_send,
1790071239.3445258,rc_send,
1790071239.4685614,rc_send,
1790071239.5728903,rc_send,
1790071239.7002115,rc_send,
1790071239.8126566,rc_send,
1790071239.9173753,rc_send,
1790071240.024144,rc_send,
1790071240.1244955,rc_send,
1790071240.233178,rc_send,
1790071240.4062989,rc_send,
1790071240.531799,rc_send,
1790071240.639954,rc_send,
1790071240.7423532,rc_send,
1790071240.8728783,rc_send,
1790071241.047488,rc_send,
1790071241.1545894,llm_explanation,4016.662499983795
1790071241.1696682,rc_send,
1790071241.2771187,rc_send,
1790071241.402575,rc_send,
1790071241.5278494,rc_send,
1790071241.6823797,rc_send,
1790071241.7985075,rc_send,
1790071241.984487,rc_send,
1790071242.105155,rc_send,
1790071242.2186658,rc_send,
1790071242.3340845,rc_send,
1790071242.4426656,rc_send,
1790071242.622328,rc_send,
1790071242.7459238,rc_send,
1790071242.855798,rc_send,
1790071242.9602752,rc_send,
1790071243.0675886,rc_send,
1790071243.172191,rc_send,
1790071243.289354,rc_send,
1790071243.39711,rc_send,
1790071243.5240781,rc_send,
1790071243.6398964,rc_send,
1790071243.7775328,rc_send,
1790071243.8811383,rc_send,
1790071244.0291836,rc_send,
1790071244.1593025,rc_send,
1790071244.2651062,rc_send,
1790071244.4185731,rc_send,
1790071244.5307815,rc_send,
1790071244.6390653,rc_send,
1790071244.7408512,rc_send,
1790071244.8567138,rc_send,
1790071244.961445,rc_send,
1790071245.063037,rc_send,
1790071245.1754441,rc_send,
1790071245.277431,rc_send,
1790071245.3855848,rc_send,
1790071245.5264337,rc_send,
1790071245.6421256,rc_send,
1790071245.763703,rc_send,
1790071245.8680856,rc_send,
1790071245.969728,rc_send,
1790071246.0712721,rc_send,
1790071246.1760602,rc_send,
1790071246.2798421,rc_send,
1790071246.4142518,rc_send,
1790071246.5398538,rc_send,
1790071246.6625557,rc_send,
1790071246.7643075,rc_send,
1790071246.8945715,rc_send,
1790071247.0178225,rc_send,
1790071247.1202173,rc_send,
1790071247.2341552,rc_send,
1790071247.3447466,rc_send,
1790071247.4476082,rc_send,
1790071247.555318,rc_send,
1790071247.655442,rc_send,
1790071247.7590659,rc_send,
1790071247.8634245,rc_send,
1790071247.9646704,rc_send,
1790071248.070276,rc_send,
1790071248.1959157,rc_send,
1790071248.2961018,rc_send,
1790071248.398516,rc_send,
1790071248.5001729,rc_send,
1790071248.602364,rc_send,
1790071248.705044,rc_send,
1790071248.8161879,rc_send,
1790071248.921832,rc_send,
1790071249.0501723,rc_send,
1790071249.1929984,rc_send,
1790071249.295333,rc_send,
1790071249.4393458,rc_send,
1790071249.5454323,rc_send,
1790071249.683864,rc_send,
1790071249.7842636,rc_send,
1790071249.9137394,rc_send,
1790071250.0259094,rc_send,
1790071250.1629674,rc_send,
1790071250.276911,rc_send,
1790071250.3776138,rc_send,
1790071250.4986713,rc_send,
1790071250.599018,rc_send,
1790071250.7240357,rc_send,
1790071250.8297715,rc_send,
1790071250.9312232,rc_send,
1790071251.0371702,rc_send,
1790071251.1623163,rc_send,
1790071251.2628956,rc_send,
1790071251.3745637,rc_send,
1790071251.492285,rc_send,
1790071251.614655,rc_send,
1790071251.7309008,rc_send,
1790071251.8325062,rc_send,
1790071251.936243,rc_send,
1790071252.053791,rc_send,
1790071252.2152581,rc_send,
1790071252.3386486,rc_send,
1790071252.4395807,rc_send,
1790071252.556131,rc_send,
1790071252.7205808,rc_send,
1790071252.8435435,rc_send,
1790071252.9532173,rc_send,
1790071253.059944,rc_send,
1790071253.1732383,rc_send,
1790071253.2775373,rc_send,
1790071253.4025955,rc_send,
1790071253.5695057,rc_send,
1790071253.6997898,rc_send,
1790071253.802598,rc_send,
1790071253.9257383,rc_send,
1790071254.0360122,rc_send,
1790071254.1629467,rc_send,
1790071254.2653506,rc_send,
1790071254.3900025,rc_send,
1790071254.4946008,rc_send,
1790071254.5986035,rc_send,
1790071254.7023113,rc_send,
1790071254.870126,rc_send,
1790071254.9970698,rc_send,
1790071255.123031,rc_send,
1790071255.2461596,rc_send,
1790071255.3697913,rc_send,
1790071255.472575,rc_send,
1790071255.598302,rc_send,
