t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,assoc_d,assoc_hands,assoc_mode,assoc_ok,assoc_reason,assoc_skeleton_hits,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying
1790161781.0711033,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,,,,,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False
1790161781.6141083,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,True,133,133,False,False,0/20,-1.0,False
1790161782.1316278,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,True,134,134,False,False,0/20,-1.0,False
1790161782.6949916,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,True,159,159,False,True,2/20,-1.0,False
1790161783.2030094,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,True,166,166,False,True,12/20,-1.0,False
1790161783.7827456,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,,0,,0,no_hand,0,True,165,165,True,False,0/20,0.9823479652404785,False
1790161784.3283093,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,,0,,0,no_hand,0,True,164,164,True,False,0/20,0.9697305560112,False
1790161784.8158822,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,,0,,0,no_hand,0,True,160,160,True,False,0/20,0.8589591979980469,False
1790161785.4570901,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,held,0,held,0,True,145,145,True,False,0/20,0.9392106533050537,False
1790161786.1779382,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,2,pose,0,handedness=Left(0.99);handedness=Left(0.97),8,True,143,143,True,False,0/20,0.9036880731582642,False
