t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,assoc_d,assoc_hands,assoc_mode,assoc_ok,assoc_reason,assoc_skeleton_hits,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1790247932.0591438,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,32.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,8,6.339357852935791
1790247933.1320956,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,31.0,0.0,,0.0,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,143,7.3581366539001465
1790247934.110137,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,31.0,10.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,168,8.368772268295288
1790247935.142006,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,31.0,100.0,,0.0,,0,,0,no_face,0,True,453,453,False,False,0/20,-1.0,False,192,9.396279335021973
1790247935.7502966,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,30.0,0.0,,0.0,,0,,0,no_face,0,True,350,350,False,False,0/20,-1.0,False,207,10.029577255249023
1790247936.4798071,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,30.0,0.0,LLM error (ReadTimeout),4382.718299999397,,0,,0,no_face,0,True,289,289,False,False,0/20,-1.0,False,224,10.729529619216919
1790247937.465964,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,30.0,0.0,LLM error (ReadTimeout),4382.718299999397,,0,,0,no_face,0,True,205,205,False,False,0/20,-1.0,False,248,11.746178150177002
1790247938.4880438,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,30.0,0.0,LLM error (ReadTimeout),4382.718299999397,,0,,0,no_face,0,True,164,164,False,False,0/20,-1.0,False,272,12.768257856369019
1790247939.5326307,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,29.0,0.0,LLM error (ReadTimeout),4382.718299999397,,0,,0,no_face,0,False,152,137,False,False,0/20,-1.0,False,297,13.78417444229126
1790247940.5307572,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,29.0,0.0,LLM error (ReadTimeout),4012.731300001178,,0,,0,no_face,0,True,169,169,False,False,0/20,-1.0,False,320,14.789552688598633
1790247941.5199366,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,29.0,0.0,LLM error (ReadTimeout),4012.731300001178,,0,,0,no_face,0,True,154,154,False,False,0/20,-1.0,False,344,15.800150632858276
1790247942.4822946,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,29.0,0.0,The drone's autonomy is set to search 360 degrees for a duration of 10 seconds.,2025.0575000009121,,0,,0,no_face,0,True,217,217,False,False,0/20,-1.0,False,366,16.739663124084473
1790247943.4650953,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,28.0,0.0,The drone's autonomy is set to search 360 degrees for a duration of 10 seconds.,2025.0575000009121,,0,,0,no_face,0,True,230,230,False,False,0/20,-1.0,False,391,17.744311332702637
1790247943.7486153,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,28.0,0.0,The drone has been seen flying for the first time.,1255.1251999993838,,0,,0,no_face,0,True,220,220,False,False,0/20,-1.0,False,398,18.028829336166382
1790247944.7927723,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,28.0,0.0,The drone is searching for the ground.,1056.8803999994998,,0,,0,no_face,0,True,259,259,False,False,0/20,-1.0,False,422,19.032570838928223
1790247945.7611117,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,28.0,0.0,The drone is searching for the ground.,1056.8803999994998,,0,,0,no_face,0,True,251,251,False,False,0/20,-1.0,False,446,20.040331602096558
1790247946.5341387,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,28.0,0.0,The drone is not yet detected or found in the vicinity.,1715.8134000001155,,0,,0,no_face,0,True,183,183,False,False,0/20,-1.0,False,465,20.790374994277954
1790247947.5366092,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,27.0,0.0,The drone is not yet detected or found in the vicinity.,1715.8134000001155,,0,,0,no_face,0,True,181,181,False,False,0/20,-1.0,False,489,21.791887998580933
1790247948.5461004,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,27.0,0.0,The drone is not yet detected or found in the vicinity.,1715.8134000001155,,0,,0,no_face,0,True,171,171,False,False,0/20,-1.0,False,513,22.79534077644348
1790247948.6516752,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,27.0,0.0,Check the drone's safety during ground operations,2141.3503999992827,,0,,0,no_face,0,True,171,171,False,False,0/20,-1.0,False,515,22.905368089675903
1790247949.6394613,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,27.0,0.0,Check the drone's safety during ground operations,2141.3503999992827,,1,,0,no_face,0,False,194,194,False,False,0/20,-1.0,False,538,23.91967535018921
1790247950.7429862,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,27.0,0.0,Check the drone's safety during ground operations,2141.3503999992827,,1,,0,no_face,0,False,164,164,False,False,0/20,-1.0,False,565,25.023200273513794
1790247951.7512717,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,27.0,0.0,Check the drone's safety during ground operations,2141.3503999992827,,0,,0,no_face,0,False,164,164,False,False,0/20,-1.0,False,590,26.03148579597473
1790247952.2744806,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,27.0,0.0,The drone encountered a human and must turn around in the search_360 mode to avoid collision.,3600.367799999731,,0,,0,no_face,0,False,164,164,False,False,0/20,-1.0,False,600,26.504562377929688
1790247953.2370238,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,27.0,0.0,The drone encountered a human and must turn around in the search_360 mode to avoid collision.,3600.367799999731,,0,,0,no_face,0,False,164,164,False,False,0/20,-1.0,False,626,27.517237901687622
1790247954.3001246,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,27.0,0.0,The drone encountered a human and must turn around in the search_360 mode to avoid collision.,3600.367799999731,,0,,0,no_face,0,False,164,164,False,False,0/20,-1.0,False,651,28.580338716506958
