t,event,latency_ms
1790247936.4798071,llm_explanation,4382.718299999397
1790247942.4822946,llm_explanation,2025.0575000009121
1790247943.7486153,llm_explanation,1255.1251999993838
1790247944.7927723,llm_explanation,1056.8803999994998
1790247946.5341387,llm_explanation,1715.8134000001155
1790247948.6516752,llm_explanation,2141.3503999992827
1790247952.2744806,llm_explanation,3600.367799999731
1790247954.520709,llm_explanation,2227.429900000061
1790247958.0145047,llm_explanation,3535.741899999266
1790247959.6332746,llm_explanation,1611.4563000010094
1790247961.6941102,llm_explanation,2027.173499998753
1790247963.7963123,llm_explanation,2138.517800000045
1790247965.2151,llm_explanation,1424.4413999986136
1790247966.9893131,llm_explanation,1683.16059999961
1790247969.5562012,llm_explanation,2634.338399999251
1790247971.4623258,llm_explanation,1869.724000000133
1790247973.2611132,llm_explanation,1764.127100001133
1790247974.5377772,llm_explanation,1300.4569000004267
1790247975.9926515,llm_explanation,1507.1066999989853
1790247977.8051624,llm_explanation,1805.5887000009534
1790247979.8240325,llm_explanation,1890.4256999994686
1790247981.8786922,llm_explanation,2194.70580000052
1790247983.8170927,llm_explanation,1945.8981999996467
1790247985.5265372,llm_explanation,1674.0191999997478
1790247987.4521399,llm_explanation,1877.3141000001488
1790247988.973184,llm_explanation,1582.1537000010721
1790247990.4972107,llm_explanation,1551.213100001405
1790247992.3801343,llm_explanation,1851.4529999993101
1790247996.3848872,llm_explanation,4002.5985000011133
1790247999.29078,llm_explanation,2927.398699999685
1790248000.9749079,llm_explanation,1670.5052999986947
1790248003.2988815,llm_explanation,2320.6427000004624
1790248005.085341,llm_explanation,1814.2441999989387
1790248007.867195,llm_explanation,2682.487399999445
1790248010.0159914,llm_explanation,2229.154099999505
1790248011.6775668,llm_explanation,1672.2282999999152
1790248013.7533545,llm_explanation,1989.3240000001242
1790248015.8302648,llm_explanation,2144.9700000011944
1790248017.3612056,llm_explanation,1527.0940000009432
1790248019.1487186,llm_explanation,1790.2595999985351
1790248020.9838781,llm_explanation,1834.6010999994178
1790248022.4025853,llm_explanation,1342.407500000263
1790248024.3233495,llm_explanation,1891.781299998911
1790248029.2620468,video_reopen,
