t,bat,h,yaw,vgx,vgy,vgz,tof
1790247932.1254487,32.0,0.0,0.0,0.0,0.0,0.0,10.0
1790247933.140024,31.0,0.0,0.0,0.0,0.0,0.0,10.0
1790247934.1402147,31.0,20.0,119.0,-9.0,-6.0,7.0,66.0
1790247935.1504605,31.0,100.0,-175.0,-5.0,0.0,5.0,152.0
1790247936.1631322,30.0,0.0,166.0,0.0,0.0,0.0,10.0
1790247937.1867206,30.0,0.0,166.0,0.0,0.0,0.0,10.0
1790247938.2247505,30.0,0.0,166.0,0.0,0.0,0.0,10.0
1790247939.2264867,29.0,0.0,166.0,0.0,0.0,0.0,10.0
1790247940.2632253,29.0,0.0,166.0,0.0,0.0,0.0,10.0
1790247941.2896214,29.0,0.0,166.0,0.0,0.0,0.0,10.0
1790247942.291726,29.0,0.0,166.0,0.0,0.0,0.0,10.0
1790247943.2943037,28.0,0.0,-178.0,0.0,0.0,0.0,10.0
1790247944.3081093,28.0,0.0,-178.0,0.0,0.0,0.0,10.0
1790247945.3187015,28.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247946.3498917,28.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247947.3512583,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247948.361985,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247949.3650868,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247950.3722484,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247951.4349957,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247952.4362862,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247953.4393678,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247954.4504933,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247955.5251937,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247956.5261526,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247957.5296645,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247958.5381455,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247959.5606067,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247960.5956657,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247961.6429412,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247962.6432383,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247963.6442842,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247964.6467564,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247965.6511936,27.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247966.6568913,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247967.6879532,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247968.7172697,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247969.7944524,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247970.8354456,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247971.8488755,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247972.9082735,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247973.9597042,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247974.9934452,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247976.0070925,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247977.025239,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247978.0531652,26.0,0.0,171.0,0.0,0.0,0.0,10.0
1790247979.0610783,26.0,0.0,171.0,0.0,0.0,0.0,10.0
