t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,assoc_d,assoc_hands,assoc_mode,assoc_ok,assoc_reason,assoc_skeleton_hits,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1790248614.5605283,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,20.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,10,5.7621283531188965
1790248615.614293,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,20.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,143,6.815893173217773
1790248616.6175697,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,19.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,167,7.818958520889282
1790248617.6460686,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,19.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,191,8.819958686828613
1790248618.67358,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,19.0,0.0,,0.0,,0,,0,no_face,0,True,153,153,False,False,0/20,-1.0,False,216,9.851207971572876
1790248618.8680239,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,19.0,0.0,LLM error (ReadTimeout),4273.954199999935,,0,,0,no_face,0,True,153,153,False,False,0/20,-1.0,False,220,10.0181143283844
1790248619.8820217,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,19.0,0.0,LLM error (ReadTimeout),4273.954199999935,,1,,0,no_face,0,True,151,151,False,False,0/20,-1.0,False,244,11.034885168075562
1790248620.9013627,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,19.0,0.0,LLM error (ReadTimeout),4273.954199999935,,0,,0,no_face,0,True,179,179,False,True,2/20,-1.0,False,269,12.049163341522217
1790248621.7215502,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,19.0,0.0,LLM error (ReadTimeout),4273.954199999935,,0,,0,no_hand,0,True,182,182,True,False,0/20,0.9606685638427734,False,288,0.0
1790248622.1219463,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,18.0,0.0,"The drone is currently hovering at a known height and altitude, but it hasn't taken any visual or audio observations in the last 9.85 seconds.",3277.049899999838,,0,,0,no_hand,0,True,189,189,True,False,0/20,0.9534803032875061,False,299,0.0
1790248623.1390715,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,18.0,0.0,"The drone is currently hovering at a known height and altitude, but it hasn't taken any visual or audio observations in the last 9.85 seconds.",3277.049899999838,,0,,0,no_hand,0,True,181,181,True,False,0/20,0.9584392309188843,False,323,0.0
1790248624.204679,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,18.0,0.0,"The drone is currently hovering at a known height and altitude, but it hasn't taken any visual or audio observations in the last 9.85 seconds.",3277.049899999838,,0,,0,no_hand,0,True,171,171,True,False,0/20,0.40882372856140137,False,349,0.0
1790248625.2633152,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,True,False,18.0,0.0,"The drone is currently hovering at a known height and altitude, but it hasn't taken any visual or audio observations in the last 9.85 seconds.",3277.049899999838,,1,,0,no_face,0,True,150,150,True,False,0/20,0.3235422372817993,False,375,0.7000622749328613
1790248625.4358444,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,18.0,0.0,"The drone is currently hovering at a known height and altitude, but it hasn't taken any visual or audio observations in the last 9.85 seconds.",3277.049899999838,,1,,0,no_face,0,True,150,150,True,False,0/20,0.3636224567890167,False,379,0.8746833801269531
1790248626.16402,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,17.0,0.0,LLM error (ReadTimeout),4012.1433999993315,,1,,0,no_face,0,True,148,148,True,False,0/20,0.27862173318862915,False,394,1.5046501159667969
1790248627.053633,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,17.0,0.0,LLM error (ReadTimeout),4012.1433999993315,,0,,0,no_face,0,False,155,155,True,False,0/20,0.1789366602897644,False,418,2.510072708129883
1790248628.1087322,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,17.0,0.0,LLM error (ReadTimeout),4012.1433999993315,,1,,0,no_face,0,False,168,168,True,False,0/20,0.2824587821960449,False,443,3.5657389163970947
1790248628.4025595,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,17.0,0.0,The drone is not detected in the given command.,2244.147299999895,,1,,0,no_face,0,False,168,168,True,False,0/20,0.2824587821960449,False,449,3.802157402038574
1790248629.34519,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,The drone is not detected in the given command.,2244.147299999895,,0,,0,no_face,0,False,168,168,True,False,0/20,0.2824587821960449,False,473,4.802196741104126
1790248629.4064927,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,Check battery level,1027.4545999982365,,0,,0,no_face,0,False,168,168,True,False,0/20,0.2824587821960449,False,474,4.838182687759399
1790248630.4148324,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,Check battery level,1027.4545999982365,,0,,0,no_face,0,False,168,168,True,False,0/20,0.2824587821960449,False,499,5.8718390464782715
1790248631.160179,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,Battery warning: Battery <= 15 V.,1762.2993999993923,,0,,0,no_face,0,False,168,168,True,False,0/20,0.2824587821960449,False,516,6.580739736557007
