t,event,latency_ms
1790248618.8680239,llm_explanation,4273.954199999935
1790248622.1219463,llm_explanation,3277.049899999838
1790248626.16402,llm_explanation,4012.1433999993315
1790248628.4025595,llm_explanation,2244.147299999895
1790248629.4064927,llm_explanation,1027.4545999982365
1790248631.160179,llm_explanation,1762.2993999993923
1790248632.8522704,debug_overlay_off,
1790248633.1526346,llm_explanation,1952.6064999990922
1790248635.4457312,llm_explanation,2170.2935000012076
1790248638.1707768,llm_explanation,2803.2209999983024
1790248640.2204194,llm_explanation,2123.1427999991865
1790248642.672021,llm_explanation,2462.853699998959
1790248643.5534587,debug_overlay_on,
1790248644.8382428,llm_explanation,2127.6622000004863
1790248646.3655705,llm_explanation,1541.1855000002106
1790248647.8523953,llm_explanation,1509.5920000003389
1790248651.367306,llm_explanation,3346.090600000025
1790248653.7161298,llm_explanation,2502.068699999654
1790248655.66789,llm_explanation,1965.1843999999983
1790248658.496261,llm_explanation,2818.895300000804
1790248660.483608,llm_explanation,1902.9006999990088
1790248663.6982653,llm_explanation,3246.831500000553
1790248667.4835851,llm_explanation,3773.7971000005928
1790248669.4110274,llm_explanation,1999.1375000008702
1790248672.4632173,llm_explanation,3022.974499999691
1790248676.4415202,llm_explanation,4003.2664999998815
1790248679.5852127,llm_explanation,3154.2083000003913
1790248683.6182802,llm_explanation,4004.758800001582
1790248685.7294908,llm_explanation,1984.906100000444
1790248689.6361177,llm_explanation,4003.2957999992504
1790248692.1101887,llm_explanation,2375.1059000005625
1790248695.97215,llm_explanation,4002.752700000201
1790248697.7044754,llm_explanation,1733.4257999991678
1790248701.7912328,llm_explanation,4002.3559000001114
1790248703.7913632,llm_explanation,2084.1007999988506
1790248706.0568163,llm_explanation,2204.2285000006814
1790248707.8671784,llm_explanation,1721.7261000005237
1790248711.595355,llm_explanation,3882.909899999504
1790248713.988784,llm_explanation,2320.382100000643
1790248715.3100667,llm_explanation,1351.9020000003366
1790248716.935218,llm_explanation,1636.858600000778
1790248718.7150526,llm_explanation,1781.5241999996942
1790248720.9410298,llm_explanation,2243.1423000016366
1790248723.3480744,llm_explanation,2405.4943999999523
1790248725.5646198,llm_explanation,2151.2831000000006
1790248727.7611175,llm_explanation,2160.6269999992946
1790248731.4201107,llm_explanation,3710.2758000000904
1790248734.2851622,llm_explanation,2908.811000001151
1790248736.2233267,llm_explanation,1920.7266999983403
1790248739.1138358,llm_explanation,2825.158100000408
1790248741.8620205,llm_explanation,2809.9918000007165
1790248743.9886332,llm_explanation,2146.259300001475
1790248747.995634,llm_explanation,4002.1780999995826
1790248750.4382405,llm_explanation,2469.20130000035
1790248752.708215,llm_explanation,2179.7318999997515
1790248754.5558226,llm_explanation,1902.5502999993478
1790248756.1793013,llm_explanation,1631.916899999851
1790248758.4921641,llm_explanation,2323.002200000701
1790248759.087682,assoc_live_pose_off,
1790248760.6393702,llm_explanation,2134.0520000012475
1790248762.141446,llm_explanation,1541.1335000007966
1790248765.2578037,llm_explanation,3085.8994999998686
1790248767.4439883,llm_explanation,2174.912399999812
1790248770.1689408,llm_explanation,2742.3557999991317
1790248774.1549149,llm_explanation,4003.1847999998718
1790248775.9713902,assoc_live_pose_on,
1790248779.94533,llm_explanation,1789.3614000004163
1790248781.6010942,llm_explanation,1590.1013999991847
1790248784.6783779,llm_explanation,2997.6314999985334
1790248786.3294404,llm_explanation,1706.0376000008546
1790248787.4824843,llm_explanation,1227.991400000974
1790248789.0881674,llm_explanation,1620.0941000006424
1790248791.8442657,llm_explanation,2753.4531000001152
1790248794.5537848,llm_explanation,2716.7736000010336
1790248797.1711247,llm_explanation,2482.8196999987995
1790248798.8034198,llm_explanation,1687.1771000005538
1790248801.2887592,llm_explanation,2548.541699999987
1790248804.7358468,llm_explanation,3377.07920000139
1790248806.2824912,llm_explanation,1629.4364000004862
1790248808.2598999,llm_explanation,1939.5327000001998
1790248810.4222765,llm_explanation,2182.2467999991204
1790248812.1198153,llm_explanation,1585.515900000246
1790248813.5328326,llm_explanation,1513.7372000008327
1790248817.5570054,llm_explanation,895.4364000001078
1790248821.5988264,llm_explanation,4003.6705000002257
1790248824.6414366,llm_explanation,3122.263999999632
1790248826.5913556,llm_explanation,1992.149800000334
1790248829.0833914,llm_explanation,2512.8994999995484
1790248830.9219763,llm_explanation,1773.7016999999469
1790248832.0868406,llm_explanation,1245.0438999985636
1790248834.5285857,video_reopen,
