t,bat,h,yaw,vgx,vgy,vgz,tof
1790248614.594588,20.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248615.5951557,20.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248616.6020977,19.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248617.6029706,19.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248618.607694,19.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248619.6107523,19.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248620.6173258,19.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248621.617967,19.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248622.6380367,18.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248623.6434617,18.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248624.6548867,18.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248625.7182083,18.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248626.7187643,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248627.7633178,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248628.7789257,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248629.779138,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248630.7793882,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248631.7833385,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248632.8229797,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248633.8230648,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248634.8531187,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248635.916461,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248636.9705756,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248637.9922478,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248639.002524,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248640.0128798,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248641.0281274,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248642.0305686,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248643.0319073,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248644.036787,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248645.0449324,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248646.0499146,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248647.0540059,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248648.0646765,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248649.0651698,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248650.1297107,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248651.1316707,17.0,0.0,171.0,0.0,0.0,0.0,10.0
1790248652.2330134,17.0,0.0,149.0,0.0,0.0,0.0,10.0
1790248653.307329,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248654.410528,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248655.4635284,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248656.4818635,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248657.49903,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248658.5015712,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248659.5041566,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248660.5195084,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248661.566464,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248662.5686848,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248663.608806,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248664.6578608,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248665.7015197,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248666.7154229,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248667.7235758,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248668.7433622,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248669.7462564,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248670.7466497,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248671.7673657,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248672.8009417,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248673.8339977,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248674.8375459,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248675.8394537,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248676.8917508,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248677.91381,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248679.026394,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248680.0543754,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248681.0724733,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248682.2589643,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248683.3203077,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248684.4841058,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248685.4961567,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248686.6102662,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248687.635558,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248688.7767675,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248689.8951027,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248691.0211449,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248692.1191633,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248693.2210398,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248694.3092468,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248695.3857172,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248696.3975153,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248697.477048,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248698.5053623,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248699.5900974,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248700.6044598,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248701.6069822,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248702.6189399,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248703.6293676,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248704.6307597,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248705.6332946,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248706.6347325,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248707.678335,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248708.7082531,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248709.740323,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248710.8111596,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248711.8250883,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248712.8487132,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248713.880704,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248714.9181569,17.0,0.0,147.0,0.0,0.0,0.0,10.0
1790248715.9259143,17.0,0.0,147.0,0.0,0.0,0.0,10.0
