t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,assoc_d,assoc_hands,assoc_mode,assoc_ok,assoc_reason,assoc_skeleton_hits,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1790262195.5537112,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,87.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,12,5.764618396759033
1790262196.603417,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,87.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,143,6.786752939224243
1790262197.1922305,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,87.0,0.0,Autonomous drone without any intervention,1562.4207000000752,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,157,7.385401964187622
1790262198.148502,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,87.0,0.0,Battery level not reached,983.4193000024243,,1,,0,no_face,0,True,473,473,False,False,0/20,-1.0,False,180,8.318628787994385
1790262198.9618175,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,87.0,0.0,Battery warning,792.2805000016524,,1,,0,no_face,0,True,237,224,False,False,0/20,-1.0,False,199,9.119994878768921
1790262199.84335,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,True,False,False,False,87.0,0.0,Battery warning,792.2805000016524,,0,,0,no_face,0,False,237,224,False,False,0/20,-1.0,False,221,10.055256843566895
1790262200.329078,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,True,False,False,False,87.0,0.0,The drone should hover to avoid obstacles.,1406.0874000024342,,0,,0,no_face,0,False,237,224,False,False,0/20,-1.0,False,232,10.486987590789795
1790262201.3264205,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,False,False,False,False,87.0,0.0,The drone should hover to avoid obstacles.,1406.0874000024342,,0,,0,no_face,0,False,237,224,False,False,0/20,-1.0,False,256,11.491360425949097
1790262202.3122602,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,False,False,False,False,87.0,0.0,The drone should hover to avoid obstacles.,1406.0874000024342,,0,,0,no_face,0,False,237,224,False,False,0/20,-1.0,False,281,12.52416706085205
1790262203.0740972,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,False,False,False,False,87.0,20.0,"The drone is hovering safely with its battery at 87%, within the 15% limit for a drone.",2722.998400000506,,0,,0,no_face,0,False,237,224,False,False,0/20,-1.0,False,298,13.255666732788086
1790262204.0672197,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,True,False,False,False,87.0,0.0,"The drone is hovering safely with its battery at 87%, within the 15% limit for a drone.",2722.998400000506,,0,,0,no_face,0,True,347,347,False,False,0/20,-1.0,False,322,14.256815671920776
1790262205.0690572,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,True,False,False,False,87.0,0.0,"The drone is hovering safely with its battery at 87%, within the 15% limit for a drone.",2722.998400000506,,0,,0,no_face,0,True,319,319,False,False,0/20,-1.0,False,346,15.259015560150146
1790262205.235674,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,True,False,False,False,87.0,0.0,The drone has not yet detected any objects or humans,2154.9311999988277,,0,,0,no_face,0,True,309,309,False,False,0/20,-1.0,False,350,15.423138856887817
1790262206.2386503,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,True,False,False,False,87.0,0.0,The drone has not yet detected any objects or humans,2154.9311999988277,,0,,0,no_face,0,True,282,282,False,False,0/20,-1.0,False,374,16.42362904548645
1790262207.2375808,search_360,ground,Autonomy: no human for 10.1s -> search_360,SEARCH,,True,False,False,False,87.0,0.0,The drone has not yet detected any objects or humans,2154.9311999988277,,0,,0,no_face,0,True,286,286,False,False,0/20,-1.0,False,398,17.42519211769104
1790262208.2418776,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,87.0,0.0,The drone has not yet detected any objects or humans,2154.9311999988277,,0,,0,no_hand,0,True,279,279,True,False,0/20,0.9629790782928467,False,421,0.0
1790262209.1982322,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,87.0,0.0,LLM error (ReadTimeout),4014.866500001517,,0,,0,no_hand,0,True,291,291,True,False,0/20,0.9340832233428955,False,446,0.0
1790262210.2358437,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,87.0,-20.0,LLM error (ReadTimeout),4014.866500001517,,0,,0,no_face,0,True,424,424,True,False,0/20,0.3001285791397095,False,470,0.22075629234313965
1790262210.8300967,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,87.0,0.0,LLM error (ReadTimeout),4014.866500001517,,0,,0,no_face,0,True,570,570,True,False,0/20,0.117278091609478,False,484,0.8130149841308594
1790262211.4800527,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,87.0,0.0,The drone is flying and has not detected any items.,2283.8388999989547,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,500,1.4425561428070068
1790262212.4756365,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,87.0,0.0,The drone is flying and has not detected any items.,2283.8388999989547,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,524,2.444883108139038
1790262213.4889045,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,87.0,0.0,The drone is within range and not detected as being in an unsafe state,1960.4499000015494,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,548,3.4596188068389893
1790262222.1169047,search_360,ground,Autonomy: no human for 12.1s -> search_360,SEARCH,,False,False,False,False,87.0,90.0,Autonomy: no intent -> hover,1234.0250000015658,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,755,12.094348430633545
1790262223.1099746,search_360,ground,Autonomy: no human for 12.1s -> search_360,SEARCH,,False,False,False,False,87.0,90.0,Autonomy: no intent -> hover,1234.0250000015658,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,780,13.110358715057373
1790262224.1112127,search_360,ground,Autonomy: no human for 12.1s -> search_360,SEARCH,,False,False,False,False,87.0,90.0,Autonomy: no intent -> hover,1234.0250000015658,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,804,14.111596822738647
1790262225.1598847,search_360,ground,Autonomy: no human for 12.1s -> search_360,SEARCH,,False,False,False,False,87.0,90.0,Autonomy: no intent -> hover,1234.0250000015658,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,829,15.138893842697144
1790262226.1819181,search_360,ground,Autonomy: no human for 12.1s -> search_360,SEARCH,,False,False,False,False,87.0,90.0,LLM error (ReadTimeout),4031.3390999981493,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,853,16.145471334457397
1790262227.1755595,search_360,ground,Autonomy: no human for 12.1s -> search_360,SEARCH,,False,False,False,False,87.0,90.0,LLM error (ReadTimeout),4031.3390999981493,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,878,17.175943613052368
1790262228.241355,search_360,ground,Autonomy: no human for 12.1s -> search_360,SEARCH,,False,False,False,False,87.0,90.0,LLM error (ReadTimeout),4031.3390999981493,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,903,18.20783019065857
1790262228.833465,search_360,ground,Autonomy: no human for 12.1s -> search_360,SEARCH,,False,False,False,False,87.0,90.0,The drone is in a stationary position and has not detected any flying activities or humans.,2633.292500002426,,0,,0,no_face,0,False,570,570,True,False,0/20,0.08425240218639374,False,917,18.804670095443726
