t,bat,h,yaw,vgx,vgy,vgz,tof
1790262195.5776439,87.0,0.0,78.0,0.0,0.0,0.0,10.0
1790262196.6077158,87.0,0.0,78.0,0.0,0.0,0.0,10.0
1790262197.6092453,87.0,0.0,78.0,0.0,0.0,0.0,10.0
1790262198.6242514,87.0,0.0,78.0,0.0,0.0,0.0,10.0
1790262199.6250298,87.0,0.0,78.0,0.0,0.0,0.0,10.0
1790262200.665414,87.0,0.0,78.0,0.0,0.0,0.0,10.0
1790262201.668262,87.0,0.0,78.0,0.0,0.0,0.0,10.0
1790262202.6683304,87.0,20.0,70.0,1.0,1.0,4.0,10.0
1790262203.670638,87.0,0.0,82.0,0.0,2.0,0.0,10.0
1790262204.670961,87.0,0.0,77.0,0.0,0.0,0.0,10.0
1790262205.673337,87.0,0.0,72.0,0.0,0.0,0.0,10.0
1790262206.6770062,87.0,0.0,73.0,0.0,0.0,0.0,10.0
1790262207.7099767,87.0,0.0,71.0,0.0,0.0,0.0,10.0
1790262208.780143,87.0,0.0,71.0,0.0,0.0,0.0,10.0
1790262209.780561,87.0,0.0,65.0,0.0,0.0,-7.0,10.0
1790262210.8116338,87.0,0.0,69.0,0.0,0.0,-2.0,10.0
1790262211.8159673,87.0,0.0,76.0,0.0,0.0,0.0,10.0
1790262212.8165247,87.0,0.0,76.0,0.0,0.0,0.0,10.0
1790262213.8181877,87.0,0.0,76.0,0.0,0.0,0.0,10.0
1790262222.0939643,87.0,90.0,76.0,0.0,0.0,0.0,79.0
1790262223.0953124,87.0,90.0,76.0,0.0,0.0,0.0,74.0
1790262224.0972211,87.0,90.0,76.0,0.0,0.0,0.0,73.0
1790262225.097352,87.0,90.0,76.0,0.0,0.0,0.0,79.0
1790262226.10004,87.0,90.0,76.0,0.0,0.0,0.0,75.0
1790262227.1023877,87.0,90.0,76.0,0.0,0.0,0.0,79.0
1790262228.1042764,87.0,90.0,76.0,0.0,0.0,0.0,80.0
1790262229.1085062,87.0,90.0,76.0,0.0,0.0,0.0,80.0
1790262230.110969,86.0,90.0,76.0,0.0,0.0,0.0,78.0
1790262231.1137047,86.0,80.0,76.0,0.0,0.0,-3.0,64.0
1790262232.1167843,86.0,30.0,76.0,0.0,0.0,-4.0,10.0
1790262233.1169493,86.0,-40.0,17.0,1.0,-1.0,-5.0,10.0
1790262234.11801,85.0,0.0,52.0,-2.0,4.0,2.0,10.0
1790262235.1438544,85.0,0.0,78.0,0.0,0.0,0.0,10.0
1790262236.1457396,85.0,0.0,74.0,0.0,0.0,0.0,10.0
