t,seq,frame_age_ms,round,hold,cue_label,cue_name,phase,vocabulary,hand_detected,hand_auth,face_auth,mode,raw_gesture,emitted_gesture,command,fb_stable_count,gesture_conf,battery,altitude_cm,actuation_suppressed,bbox_area,delta_s,lm00_x,lm00_y,lm00_z,lm01_x,lm01_y,lm01_z,lm02_x,lm02_y,lm02_z,lm03_x,lm03_y,lm03_z,lm04_x,lm04_y,lm04_z,lm05_x,lm05_y,lm05_z,lm06_x,lm06_y,lm06_z,lm07_x,lm07_y,lm07_z,lm08_x,lm08_y,lm08_z,lm09_x,lm09_y,lm09_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
1790262434.8933969,929,2.99,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262434.9278257,930,6.01,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262434.959715,931,3.0,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.0076084,932,20.12,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.0611558,933,5.49,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.1169531,934,48.38,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.12925,935,5.96,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.1806319,936,25.93,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.2255108,937,3.99,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.2764328,938,23.0,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.2960203,939,2.99,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.3394318,940,16.95,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.3967922,941,3.99,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.4329894,942,9.97,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.4594953,943,2.25,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.5126681,944,22.73,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.5590546,945,1.0,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262435.5960162,946,2.99,0,0,5,FORWARD,settle,svm,0,0,0,hover,CENTER,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,100.0,60.0,1,0.01687346358778541,-5.92227254179792e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
