t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,assoc_d,assoc_hands,assoc_mode,assoc_ok,assoc_reason,assoc_skeleton_hits,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1790262401.109239,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,10,10.255223512649536
1790262402.152045,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,142,11.275269508361816
1790262403.1529098,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,False,False,False,False,100.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,166,12.275951147079468
1790262404.1517177,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,,0.0,,0,,0,no_face,0,True,301,301,False,False,0/20,-1.0,False,190,13.276674032211304
1790262405.162914,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,,0.0,,0,,0,no_face,0,False,301,301,False,False,0/20,-1.0,False,215,14.309892416000366
1790262405.3254805,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4202.669700000115,,0,,0,no_face,0,False,301,301,False,False,0/20,-1.0,False,218,14.442901134490967
1790262406.3285453,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,20.0,LLM error (ReadTimeout),4202.669700000115,,0,,0,no_face,0,True,659,659,False,False,0/20,-1.0,False,242,15.448607444763184
1790262407.3333058,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4202.669700000115,,0,,0,no_face,0,True,332,332,False,False,0/20,-1.0,False,267,16.480284214019775
1790262407.6563218,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is currently searching to avoid the human operator.,2326.7782000002626,,0,,0,no_face,0,True,291,291,False,False,0/20,-1.0,False,274,16.77876377105713
1790262408.663625,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is currently searching to avoid the human operator.,2326.7782000002626,,0,,0,no_face,0,True,261,261,False,False,0/20,-1.0,False,299,17.810603380203247
1790262409.694404,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is currently searching to avoid the human operator.,2326.7782000002626,,0,,0,no_face,0,True,236,236,False,False,0/20,-1.0,False,323,18.841382265090942
1790262409.7747936,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Autonomy: no human for 10.3s,2133.541700000933,,0,,0,no_face,0,True,244,244,False,False,0/20,-1.0,False,324,18.85036301612854
1790262410.725493,search_360,ground,Autonomy: no human for 10.3s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Autonomy: no human for 10.3s,2133.541700000933,,0,,0,no_face,0,True,244,244,False,True,6/20,-1.0,False,348,19.857510805130005
1790262411.4827032,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,Autonomy: no human for 10.3s,2133.541700000933,,0,,0,no_hand,0,True,249,249,True,False,0/20,0.9606641530990601,False,365,0.0
1790262412.4588451,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,Autonomy: no human for 10.3s,2133.541700000933,,0,,0,no_hand,0,True,254,254,True,False,0/20,0.9453915953636169,False,389,0.0
1790262413.4675508,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,True,False,100.0,-50.0,Autonomy: no human for 10.3s,2133.541700000933,,1,,0,no_face,0,True,198,198,True,False,0/20,0.13790422677993774,False,414,0.18901872634887695
1790262413.8207612,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4022.92419999867,,0,,0,no_face,0,False,198,198,True,False,0/20,0.12592476606369019,False,422,0.5097591876983643
1790262414.0685048,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4022.92419999867,,0,,0,no_face,0,False,198,198,True,False,0/20,0.12592476606369019,False,430,0.8020462989807129
1790262415.0939596,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4022.92419999867,,0,,0,no_face,0,False,198,198,True,False,0/20,0.12592476606369019,False,454,1.8275010585784912
1790262416.1895869,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,LLM error (ReadTimeout),4022.92419999867,,0,,0,no_face,0,False,198,198,True,False,0/20,0.12592476606369019,False,479,2.8912134170532227
1790262417.1939044,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,LLM error (ReadTimeout),4022.92419999867,,0,,0,no_face,0,False,198,198,True,False,0/20,0.12592476606369019,False,503,3.8945345878601074
1790262417.587066,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,The drone's battery is low and it has not detected any flying objects.,3788.076500000898,,0,,0,no_face,0,False,198,198,True,False,0/20,0.12592476606369019,False,513,4.294716835021973
1790262418.586108,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,The drone's battery is low and it has not detected any flying objects.,3788.076500000898,,0,,0,no_face,0,False,198,198,True,False,0/20,0.12592476606369019,False,537,5.296791315078735
1790262419.5829625,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,The drone's battery is low and it has not detected any flying objects.,3788.076500000898,,0,,0,no_face,0,False,162,162,True,False,0/20,0.088785320520401,False,561,6.315505743026733
1790262419.8364866,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,The drone is at ground level and there are no signs of flight or movement detected,2224.6267999980773,,0,,0,no_face,0,False,162,162,True,False,0/20,0.088785320520401,False,567,6.570028066635132
