t,event,latency_ms
1790262405.3254805,llm_explanation,4202.669700000115
1790262407.6563218,llm_explanation,2326.7782000002626
1790262409.7747936,llm_explanation,2133.541700000933
1790262413.8207612,llm_explanation,4022.92419999867
1790262417.587066,llm_explanation,3788.076500000898
1790262419.8364866,llm_explanation,2224.6267999980773
1790262421.3569376,llm_explanation,1546.5229000001273
1790262423.7647283,llm_explanation,2384.3593999990844
1790262425.3134372,llm_explanation,1558.248100001947
1790262429.8308194,rc_send_suppressed,
1790262429.8798208,llm_explanation,1693.7422000009974
1790262429.9800568,rc_send_suppressed,
1790262430.0843182,rc_send_suppressed,
1790262430.201091,rc_send_suppressed,
1790262430.3253891,rc_send_suppressed,
1790262430.4271014,rc_send_suppressed,
1790262430.528032,rc_send_suppressed,
1790262430.651765,rc_send_suppressed,
1790262430.757117,rc_send_suppressed,
1790262430.8581583,rc_send_suppressed,
1790262430.9696941,rc_send_suppressed,
1790262431.052363,llm_explanation,4023.928700000397
1790262431.0864985,rc_send_suppressed,
1790262431.1910224,rc_send_suppressed,
1790262431.3046162,rc_send_suppressed,
1790262431.545511,rc_send_suppressed,
1790262431.735262,rc_send_suppressed,
1790262431.853134,rc_send_suppressed,
1790262431.9578712,rc_send_suppressed,
1790262432.0606453,rc_send_suppressed,
1790262432.184644,rc_send_suppressed,
1790262432.2969882,rc_send_suppressed,
1790262432.3986957,rc_send_suppressed,
1790262432.513572,rc_send_suppressed,
1790262432.630942,rc_send_suppressed,
1790262432.7790217,rc_send_suppressed,
1790262432.8800836,rc_send_suppressed,
1790262433.0155137,rc_send_suppressed,
1790262433.115779,rc_send_suppressed,
1790262433.2182474,rc_send_suppressed,
1790262433.3274124,rc_send_suppressed,
1790262433.4297178,rc_send_suppressed,
1790262433.5331402,rc_send_suppressed,
1790262433.6643724,rc_send_suppressed,
1790262433.767263,rc_send_suppressed,
1790262433.8474214,debug_overlay_on,
1790262433.8686523,rc_send_suppressed,
1790262433.9977658,rc_send_suppressed,
1790262434.1015985,rc_send_suppressed,
1790262434.2029164,rc_send_suppressed,
1790262434.3335104,rc_send_suppressed,
1790262434.4355764,rc_send_suppressed,
1790262434.5373282,rc_send_suppressed,
1790262434.6666682,rc_send_suppressed,
1790262434.768462,rc_send_suppressed,
1790262434.869927,rc_send_suppressed,
1790262435.0066078,rc_send_suppressed,
1790262435.1159582,rc_send_suppressed,
1790262435.2195263,rc_send_suppressed,
1790262435.3394318,rc_send_suppressed,
1790262435.4419992,rc_send_suppressed,
1790262435.5420988,rc_send_suppressed,
1790262435.6640952,rc_send_suppressed,
1790262435.7668653,rc_send_suppressed,
1790262435.8698163,rc_send_suppressed,
1790262435.9172468,llm_explanation,851.7736000030709
1790262436.0001285,rc_send_suppressed,
1790262436.10244,rc_send_suppressed,
1790262436.202881,rc_send_suppressed,
1790262436.3280761,rc_send_suppressed,
