t,bat,h,yaw,vgx,vgy,vgz,tof
1790262401.1581068,100.0,0.0,1.0,0.0,0.0,0.0,10.0
1790262402.1597054,100.0,0.0,1.0,0.0,0.0,0.0,10.0
1790262403.1619446,100.0,0.0,5.0,0.0,1.0,0.0,10.0
1790262404.1633618,100.0,0.0,1.0,0.0,-1.0,0.0,10.0
1790262405.1668725,100.0,0.0,25.0,0.0,0.0,2.0,10.0
1790262406.169925,100.0,10.0,18.0,0.0,0.0,6.0,10.0
1790262407.1722975,100.0,0.0,0.0,0.0,0.0,1.0,10.0
1790262408.1738002,100.0,0.0,-2.0,0.0,0.0,0.0,10.0
1790262409.1753042,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790262410.1776695,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790262411.2307215,100.0,0.0,-2.0,0.0,0.0,0.0,10.0
1790262412.24826,100.0,0.0,-1.0,0.0,0.0,0.0,10.0
1790262413.265461,100.0,-40.0,-10.0,0.0,0.0,-2.0,10.0
1790262414.26748,100.0,0.0,-9.0,0.0,0.0,0.0,6553.0
1790262415.2683764,100.0,0.0,-6.0,0.0,0.0,0.0,10.0
1790262416.2686732,100.0,0.0,-6.0,0.0,0.0,0.0,10.0
1790262417.2708402,100.0,0.0,-6.0,0.0,0.0,0.0,10.0
1790262418.2711773,100.0,0.0,-6.0,0.0,0.0,0.0,10.0
1790262419.2748759,100.0,0.0,-7.0,0.0,0.0,0.0,10.0
1790262420.3098748,100.0,0.0,-8.0,0.0,0.0,0.0,10.0
1790262421.3621478,100.0,0.0,-8.0,0.0,0.0,0.0,10.0
1790262422.3629346,100.0,0.0,-7.0,0.0,0.0,0.0,10.0
1790262423.3640993,100.0,0.0,-5.0,0.0,0.0,0.0,10.0
1790262424.3675108,100.0,0.0,-4.0,0.0,0.0,0.0,10.0
1790262425.3695834,100.0,0.0,-4.0,0.0,0.0,0.0,10.0
1790262429.8308194,100.0,60.0,-5.0,0.0,0.0,0.0,76.0
1790262430.8507547,100.0,60.0,-5.0,0.0,0.0,0.0,78.0
1790262431.853134,100.0,60.0,-5.0,0.0,0.0,0.0,79.0
1790262432.8548784,100.0,70.0,-5.0,0.0,0.0,0.0,81.0
1790262433.857682,100.0,70.0,-5.0,0.0,0.0,0.0,80.0
1790262434.8588152,100.0,60.0,-5.0,0.0,0.0,0.0,78.0
1790262435.860878,100.0,60.0,-5.0,0.0,0.0,0.0,79.0
1790262436.897231,100.0,70.0,-5.0,0.0,0.0,0.0,81.0
1790262437.9901352,100.0,70.0,-5.0,0.0,0.0,0.0,81.0
1790262439.0457776,100.0,70.0,-5.0,0.0,0.0,0.0,80.0
1790262440.0678775,100.0,70.0,-6.0,0.0,0.0,0.0,80.0
1790262441.0742347,100.0,70.0,-5.0,0.0,0.0,0.0,81.0
1790262442.0866663,100.0,70.0,-5.0,0.0,0.0,0.0,81.0
1790262443.104352,100.0,70.0,-5.0,0.0,0.0,0.0,78.0
1790262444.2050786,100.0,60.0,-5.0,0.0,0.0,0.0,78.0
1790262445.2172225,100.0,70.0,-5.0,0.0,0.0,0.0,80.0
1790262446.2180345,100.0,60.0,-5.0,0.0,0.0,0.0,77.0
