k,edge,detected,t_switch,seq,t_arrival,t_pick,delay_arrival_ms,delay_pickup_ms,frame_age_ms,v_before_switch,v_at
0,rise,1,1790267040.751288,289,1790267041.361778,1790267041.37625,610.49,624.96,14.47,-0.148,1.186
1,fall,1,1790267042.269129,325,1790267042.859887,1790267042.870823,590.76,601.69,10.94,1.005,-0.159
2,rise,1,1790267044.017735,367,1790267044.627145,1790267044.630133,609.41,612.4,2.99,-0.079,1.195
3,fall,1,1790267045.534541,403,1790267046.126732,1790267046.128729,592.19,594.19,2.0,1.0,-0.108
4,rise,1,1790267047.331357,447,1790267047.962694,1790267047.963723,631.34,632.37,1.03,-0.063,1.182
5,fall,1,1790267049.09515,489,1790267049.69608,1790267049.709044,600.93,613.89,12.96,0.911,-0.343
6,rise,1,1790267050.83293,531,1790267051.461775,1790267051.462766,628.85,629.84,0.99,-0.086,1.175
7,fall,1,1790267052.350432,567,1790267052.962032,1790267052.963029,611.6,612.6,1.0,0.967,-0.351
8,rise,1,1790267054.052727,608,1790267054.662482,1790267054.663497,609.76,610.77,1.01,-0.126,1.194
9,fall,1,1790267055.563666,644,1790267056.161783,1790267056.161783,598.12,598.12,0.0,0.972,-0.177
10,rise,1,1790267057.144242,682,1790267057.726271,1790267057.727597,582.03,583.35,1.33,-0.149,0.753
11,fall,1,1790267058.824936,723,1790267059.427187,1790267059.428232,602.25,603.3,1.04,0.937,-0.338
12,rise,1,1790267060.61593,765,1790267061.19314,1790267061.19414,577.21,578.21,1.0,-0.05,1.173
13,fall,1,1790267062.11983,802,1790267062.72777,1790267062.728767,607.94,608.94,1.0,0.995,-0.323
14,rise,1,1790267063.626071,838,1790267064.244054,1790267064.246048,617.98,619.98,1.99,-0.101,1.207
15,fall,1,1790267065.1411,875,1790267065.805253,1790267065.807069,664.15,665.97,1.82,1.011,-0.334
16,rise,1,1790267067.128745,922,1790267067.733806,1790267067.748803,605.06,620.06,15.0,0.001,1.205
17,fall,1,1790267068.643539,959,1790267069.297069,1790267069.298099,653.53,654.56,1.03,1.004,-0.338
18,rise,1,1790267070.585422,1005,1790267071.191483,1790267071.193528,606.06,608.11,2.04,0.004,1.195
19,fall,1,1790267072.099774,1042,1790267072.725806,1790267072.726802,626.03,627.03,1.0,0.99,-0.342
20,rise,1,1790267073.60476,1078,1790267074.226174,1790267074.227216,621.41,622.46,1.04,-0.102,1.176
21,fall,1,1790267075.59502,1126,1790267076.229694,1790267076.230688,634.67,635.67,0.99,0.891,-0.396
22,rise,1,1790267077.298266,1166,1790267077.8916,1790267077.893636,593.33,595.37,2.04,-0.074,1.16
23,fall,1,1790267078.802881,1202,1790267079.39344,1790267079.394521,590.56,591.64,1.08,0.983,0.275
24,rise,1,1790267080.31969,1239,1790267080.925901,1790267080.926951,606.21,607.26,1.05,-0.101,1.189
25,fall,1,1790267081.896246,1277,1790267082.49283,1790267082.493827,596.58,597.58,1.0,0.981,-0.337
26,rise,1,1790267083.593782,1318,1790267084.192197,1790267084.19319,598.41,599.41,0.99,-0.076,1.176
27,fall,1,1790267085.108059,1355,1790267085.760017,1790267085.762022,651.96,653.96,2.01,0.982,-0.359
28,rise,1,1790267086.62363,1390,1790267087.192064,1790267087.193031,568.43,569.4,0.97,-0.124,1.049
29,fall,1,1790267088.389475,1433,1790267088.9923,1790267088.99419,602.83,604.72,1.89,0.926,-0.378
30,rise,1,1790267089.898912,1469,1790267090.489371,1790267090.490404,590.46,591.49,1.03,-0.125,1.156
31,fall,1,1790267091.406268,1506,1790267092.022943,1790267092.023938,616.68,617.67,0.99,0.977,-0.352
32,rise,1,1790267092.914453,1542,1790267093.525387,1790267093.527428,610.93,612.98,2.04,-0.121,1.188
33,fall,1,1790267094.559091,1581,1790267095.157965,1790267095.158965,598.87,599.87,1.0,0.959,-0.361
34,rise,1,1790267096.067554,1617,1790267096.656876,1790267096.657915,589.32,590.36,1.04,-0.118,1.138
35,fall,1,1790267097.581919,1654,1790267098.191504,1790267098.191504,609.59,609.59,0.0,0.988,-0.338
36,rise,1,1790267099.085699,1690,1790267099.690554,1790267099.691553,604.85,605.85,1.0,-0.126,1.186
