t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1790268386.5508318,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,77.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,8,5.786803722381592
1790268387.5867755,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,76.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,142,6.822747468948364
1790268388.5904453,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,76.0,20.0,,0.0,False,,,False,False,0/20,-1.0,False,166,7.8264172077178955
1790268389.6472182,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,76.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,191,8.856070041656494
1790268390.65268,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,76.0,30.0,,0.0,True,201,201,False,False,0/20,-1.0,False,215,9.858138084411621
1790268390.818675,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,76.0,0.0,,0.0,True,351,351,False,False,0/20,-1.0,False,219,10.023730516433716
1790268390.8802273,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,76.0,0.0,LLM error (ReadTimeout),4320.510099998501,True,351,351,False,False,0/20,-1.0,False,221,10.089637994766235
1790268391.8864243,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,76.0,0.0,LLM error (ReadTimeout),4320.510099998501,True,242,242,False,False,0/20,-1.0,False,246,11.121394634246826
1790268392.8042824,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,76.0,0.0,"The drone is safely hovering below the ground, ensuring no battery warnings are necessary.",1901.4457999983279,True,224,224,False,True,11/20,-1.0,False,267,11.996889352798462
1790268393.2108223,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,76.0,0.0,"The drone is safely hovering below the ground, ensuring no battery warnings are necessary.",1901.4457999983279,True,228,228,True,False,0/20,0.9760634899139404,False,276,0.0
