t,event,latency_ms
1790268390.8802273,llm_explanation,4320.510099998501
1790268392.8042824,llm_explanation,1901.4457999983279
1790268394.8905451,llm_explanation,2112.6961999980267
1790268398.990673,llm_explanation,4010.6661999998323
1790268400.1513696,llm_explanation,1219.1278000027523
1790268405.8844595,rc_send_suppressed,
1790268405.9343286,llm_explanation,2282.1223999999347
1790268405.9907026,rc_send_suppressed,
1790268406.1636426,rc_send_suppressed,
1790268406.2762322,rc_send_suppressed,
1790268406.3810482,rc_send_suppressed,
1790268406.4807873,rc_send_suppressed,
1790268406.5840132,rc_send_suppressed,
1790268406.686898,rc_send_suppressed,
1790268406.7876282,rc_send_suppressed,
1790268406.8974743,rc_send_suppressed,
1790268407.0517516,rc_send_suppressed,
1790268407.1732767,rc_send_suppressed,
1790268407.283986,rc_send_suppressed,
1790268407.4086237,rc_send_suppressed,
1790268407.5142748,rc_send_suppressed,
1790268407.6184728,rc_send_suppressed,
1790268407.7307649,rc_send_suppressed,
1790268407.8780968,rc_send_suppressed,
1790268407.9974804,rc_send_suppressed,
1790268408.1202025,rc_send_suppressed,
1790268408.2573757,rc_send_suppressed,
1790268408.3868423,rc_send_suppressed,
1790268408.4886117,rc_send_suppressed,
1790268408.5963237,rc_send_suppressed,
1790268408.7148893,rc_send_suppressed,
1790268408.8376591,rc_send_suppressed,
1790268408.9395938,rc_send_suppressed,
1790268409.0630789,rc_send_suppressed,
1790268409.1654062,rc_send_suppressed,
1790268409.2684126,rc_send_suppressed,
1790268409.3982525,rc_send_suppressed,
1790268409.502111,rc_send_suppressed,
1790268409.610207,rc_send_suppressed,
1790268409.7327514,rc_send_suppressed,
1790268409.8410876,rc_send_suppressed,
1790268409.948477,llm_explanation,4004.7463000009884
1790268409.9554577,rc_send_suppressed,
1790268410.1016278,rc_send_suppressed,
1790268410.2205272,rc_send_suppressed,
1790268410.3271215,rc_send_suppressed,
1790268410.4436066,rc_send_suppressed,
1790268410.6061468,rc_send_suppressed,
1790268410.7203908,rc_send_suppressed,
1790268410.8707159,rc_send_suppressed,
1790268411.0307558,rc_send_suppressed,
1790268411.1468923,rc_send_suppressed,
1790268411.2572696,rc_send_suppressed,
1790268411.4042113,rc_send_suppressed,
1790268411.5050402,rc_send_suppressed,
1790268411.6364794,rc_send_suppressed,
1790268411.7551012,rc_send_suppressed,
1790268411.8721,rc_send_suppressed,
1790268411.9312015,llm_explanation,1959.3038000020897
1790268411.9755163,rc_send_suppressed,
1790268412.0842535,rc_send_suppressed,
1790268412.184946,rc_send_suppressed,
1790268412.31426,rc_send_suppressed,
1790268412.419136,rc_send_suppressed,
