t,bat,h,yaw,vgx,vgy,vgz,tof
1790268386.5827456,77.0,0.0,12.0,0.0,0.0,0.0,10.0
1790268387.585748,76.0,0.0,8.0,0.0,0.0,0.0,10.0
1790268388.586456,76.0,20.0,-40.0,2.0,0.0,0.0,10.0
1790268389.586777,76.0,0.0,-156.0,3.0,1.0,0.0,10.0
1790268390.5880144,76.0,30.0,-176.0,0.0,0.0,1.0,10.0
1790268391.5881495,76.0,0.0,-175.0,0.0,0.0,0.0,10.0
1790268392.5916004,76.0,0.0,-177.0,0.0,0.0,0.0,10.0
1790268393.599148,76.0,0.0,-177.0,0.0,0.0,0.0,10.0
1790268394.6163247,76.0,0.0,-178.0,0.0,0.0,0.0,10.0
1790268395.617733,76.0,-50.0,-175.0,0.0,0.0,-2.0,10.0
1790268396.621372,76.0,0.0,-174.0,0.0,0.0,0.0,10.0
1790268397.6530895,76.0,0.0,-176.0,0.0,0.0,0.0,10.0
1790268398.6540868,76.0,0.0,-176.0,0.0,0.0,0.0,10.0
1790268399.6542683,76.0,0.0,-176.0,0.0,0.0,0.0,10.0
1790268405.8844595,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268406.8974743,76.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268407.9020326,76.0,70.0,-175.0,0.0,0.0,0.0,77.0
1790268408.9395938,76.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268409.9554577,76.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268410.9653206,76.0,70.0,-175.0,0.0,0.0,0.0,78.0
1790268411.9681034,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268413.0069387,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268414.0078459,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268415.0321105,76.0,70.0,-175.0,0.0,0.0,0.0,85.0
1790268416.0782602,76.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268417.1245482,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268418.1506112,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268419.1632667,76.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268420.1754963,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268421.1776419,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268422.228533,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268423.2294343,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268424.235578,76.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268425.23751,76.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268426.2395496,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268427.2408967,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268428.2448416,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268429.2464309,76.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268430.2575817,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268431.2916863,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268432.298438,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268433.3010101,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268434.305848,76.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268435.3541365,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268436.3829827,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268437.40602,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268438.4597657,76.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268439.5199087,76.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268440.546326,76.0,70.0,-175.0,0.0,0.0,0.0,85.0
1790268441.6061668,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268442.627965,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268443.6495755,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268444.6675558,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268445.6731896,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268446.6749496,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268447.6764526,76.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268448.6800785,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268449.7435057,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268450.8111124,76.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268451.8619184,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268452.8848004,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268453.8876967,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268454.9292955,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268455.946658,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268456.950678,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268457.993712,76.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268458.9977012,76.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268460.005994,76.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268461.009763,76.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268462.0115232,76.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268463.0118687,76.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268464.0251415,75.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268465.0263429,75.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268466.0279002,75.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268467.0307412,75.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268468.057673,75.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268469.061411,75.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268470.0704334,75.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268471.0732474,74.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268472.0752356,74.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268473.0775216,74.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268474.0820012,74.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268475.0875046,74.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268476.1054723,74.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268477.1073966,73.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268478.109675,73.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268479.111562,73.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268480.112844,73.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268481.1492903,73.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268482.1552343,73.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268483.1552384,73.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268484.1653824,73.0,70.0,-175.0,0.0,0.0,0.0,86.0
1790268485.1674075,72.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268486.1873925,72.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268487.2065423,72.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268488.2091022,72.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268489.2108412,72.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268490.2138934,72.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268491.2606645,72.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268492.2752323,71.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268493.277164,71.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268494.2846177,71.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268495.3202624,71.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268496.32122,71.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268497.333447,71.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268498.3350751,71.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268499.3374882,70.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268500.3399308,70.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268501.3415906,70.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268502.343187,70.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268503.346179,70.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268504.347116,70.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268505.348574,70.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268506.3500528,70.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268507.351072,69.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268508.3632755,69.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268509.3679578,69.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268510.4035537,69.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268511.4086826,69.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268512.4088862,68.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268513.4100916,68.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268514.411055,68.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268515.4124854,68.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268516.453806,68.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268517.4686432,68.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268518.4772196,68.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268519.5260055,68.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268520.5262926,68.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268521.5415814,67.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268522.5500078,67.0,70.0,-175.0,0.0,0.0,0.0,76.0
1790268523.5570874,67.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268524.5876837,67.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268525.5897212,67.0,70.0,-175.0,0.0,0.0,0.0,78.0
1790268526.5928156,66.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268527.6031327,66.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268528.6042695,66.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268529.6088955,66.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268530.6150632,66.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268531.6246378,66.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268532.6386392,66.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268533.6408591,65.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268534.643331,65.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268535.6468835,65.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268536.6481292,65.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268537.652852,65.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268538.6583855,65.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268539.6599572,65.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268540.6792862,65.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268541.6928866,64.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268542.6956887,64.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268543.6977258,64.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268544.699411,64.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268545.7023048,64.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268546.7046545,64.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268547.7058425,64.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268548.7086408,64.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268549.7113938,63.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268550.7574039,63.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268551.7591853,63.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268552.7723434,63.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268553.7732608,63.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268554.7742944,63.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268555.78823,62.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268556.7895527,62.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268557.7976878,62.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268558.8245196,62.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268559.8264818,62.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268560.8387594,62.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268561.841296,62.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268562.8451881,62.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268563.8618665,61.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268564.870202,61.0,70.0,-175.0,0.0,0.0,0.0,85.0
1790268565.8711658,61.0,70.0,-175.0,0.0,0.0,0.0,85.0
1790268566.8756282,61.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268567.8949616,61.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268568.9039423,60.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268569.9042215,60.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268570.9188647,60.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268571.9228828,60.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268572.930653,60.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268573.944323,60.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268574.9484875,60.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268575.9499247,60.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268576.9518447,59.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268577.95384,59.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268578.9638615,59.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268579.983145,59.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268580.992264,59.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268581.992371,59.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268582.993334,59.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268583.9943967,58.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268584.9952824,58.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268585.9967775,58.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268586.9981842,58.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268588.0115638,58.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268589.0269766,57.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268590.0279171,57.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268591.0311656,57.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268592.0328798,57.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268593.0330799,57.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268594.034953,57.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268595.035144,57.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268596.0441945,57.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268597.0459626,57.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268598.0481188,56.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268599.0496747,56.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268600.0521612,56.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268601.0537448,56.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268602.054827,56.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268603.0566611,55.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268604.0596275,55.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268605.070483,55.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268606.0727162,55.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268607.074065,55.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268608.0749226,55.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268609.0771875,55.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268610.087475,55.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268611.089414,54.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268612.0917363,54.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268613.107894,54.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268614.1085148,54.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268615.1090395,54.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268616.1128058,54.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268617.1134183,53.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268618.1148045,53.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268619.116747,53.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268620.1187963,53.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268621.1191103,53.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268622.1305187,53.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268623.1677637,52.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268624.18577,52.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268625.1930566,52.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268626.2401757,52.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268627.2482495,52.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268628.2665796,52.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268629.2863922,52.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268630.3153517,52.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268631.3776057,51.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268632.3785365,51.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268633.3810213,51.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268634.4045415,51.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268635.4394593,50.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268636.444157,50.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268637.4445164,50.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268638.4825864,50.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268639.5008209,50.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268640.5320623,50.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268641.5454335,49.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268642.5497766,49.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268643.5521364,49.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268644.554833,49.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268645.5559523,49.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268646.558669,49.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268647.5825715,49.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268648.6122177,48.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268649.6271667,48.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268650.6287565,48.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268651.6606956,48.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268652.6726706,48.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268653.6800082,48.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268654.6955926,48.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268655.7141812,48.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268656.746857,48.0,70.0,-175.0,0.0,0.0,0.0,87.0
1790268657.7491534,47.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268658.7610795,47.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268659.774425,47.0,70.0,-175.0,0.0,0.0,0.0,80.0
