t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,assoc_d,assoc_hands,assoc_mode,assoc_ok,assoc_reason,assoc_skeleton_hits,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1790269159.5076976,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,10,5.809918642044067
1790269160.510464,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,142,6.812685012817383
1790269161.507376,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,Allow the drone to fly without warnings,1908.3997000016097,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,165,7.775583982467651
1790269162.5094907,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,Allow the drone to fly without warnings,1908.3997000016097,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,190,8.81171178817749
1790269163.3908494,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,Battery safety recommendation: battery <= 15.,1953.8109999994049,,0,,0,no_face,0,False,518,501,False,False,0/20,-1.0,False,211,9.66856861114502
1790269163.7353723,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Battery safety recommendation: battery <= 15.,1953.8109999994049,,0,,0,no_face,0,False,518,501,False,False,0/20,-1.0,False,219,10.004162073135376
1790269164.7338023,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,100.0,30.0,Battery safety recommendation: battery <= 15.,1953.8109999994049,,0,,0,no_face,0,False,518,501,False,False,0/20,-1.0,False,244,11.036023378372192
1790269165.4996667,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Ensure drone stays within the specified height range and perform hover operation,2115.4647000003024,,0,,0,no_face,0,True,264,264,False,False,0/20,-1.0,False,262,11.801340579986572
1790269166.5018427,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Ensure drone stays within the specified height range and perform hover operation,2115.4647000003024,,0,,0,no_face,0,True,248,248,False,False,0/20,-1.0,False,286,12.80406379699707
1790269167.5151875,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Ensure drone stays within the specified height range and perform hover operation,2115.4647000003024,,0,,0,no_face,0,True,247,247,False,True,1/20,-1.0,False,310,13.805476188659668
1790269168.4227498,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,Ensure drone stays within the specified height range and perform hover operation,2115.4647000003024,,0,,0,no_hand,0,True,247,247,True,False,0/20,0.9317739009857178,False,330,0.0
1790269169.4032652,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,Ensure drone stays within the specified height range and perform hover operation,2115.4647000003024,,0,,0,no_hand,0,True,244,244,True,False,0/20,0.8944319486618042,False,354,0.0
1790269169.5091858,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,LLM error (ReadTimeout),4007.463900001312,,0,,0,no_hand,0,True,241,241,True,False,0/20,0.8855425715446472,False,357,0.0
1790269170.4893062,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,99.0,0.0,LLM error (ReadTimeout),4007.463900001312,,0,,0,no_face,0,True,244,244,True,False,0/20,0.09683982282876968,False,381,0.8227081298828125
1790269171.135877,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,99.0,0.0,LLM error (ReadTimeout),4007.463900001312,,0,,0,no_hand,0,True,256,256,True,False,0/20,0.8012403845787048,False,397,0.0
1790269172.2025523,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,98.0,0.0,LLM error (ReadTimeout),4007.463900001312,,0,,0,no_hand,0,True,246,246,True,False,0/20,0.9022825360298157,False,422,0.0
1790269172.6016672,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,98.0,0.0,The drone is searching and does not have a battery or altitude information to prevent flying.,3063.367599999765,,0,,0,no_hand,0,True,250,250,True,False,0/20,0.8936748504638672,False,431,0.0
1790269173.6072867,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,98.0,-30.0,The drone is searching and does not have a battery or altitude information to prevent flying.,3063.367599999765,,0,,0,no_hand,0,True,299,299,True,False,0/20,0.31864193081855774,False,455,0.0
1790269174.441944,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,97.0,0.0,The drone is searching and does not have a battery or altitude information to prevent flying.,3063.367599999765,,0,,0,no_face,0,False,161,161,True,False,0/20,0.04234318807721138,False,477,0.8286733627319336
1790269175.16151,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,97.0,0.0,The drone is flying and the battery remains at 15%.,2596.1771000002045,,0,,0,no_face,0,False,161,161,True,False,0/20,0.04234318807721138,False,494,1.517641305923462
1790269176.199946,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,96.0,0.0,The drone is flying and the battery remains at 15%.,2596.1771000002045,,0,,0,no_face,0,False,161,161,True,False,0/20,0.04234318807721138,False,519,2.586637258529663
1790269180.7929473,hover,rc lr=0 fb=0 ud=0 yaw=0,Autonomy: no intent -> hover,HOVER,,False,False,False,False,94.0,70.0,The drone is currently hovering at ground level without any indications of a battery or flying mode.,1461.8847000019741,,1,,0,no_face,0,False,161,161,True,False,0/20,0.04234318807721138,True,628,7.148739576339722
1790269181.1973772,gesture,rc lr=0 fb=0 ud=30 yaw=0,Perception: hand_detected -> gesture (priority),UP,0.7006790193435571,True,True,True,True,94.0,70.0,The drone is currently hovering at ground level without any indications of a battery or flying mode.,1461.8847000019741,0.261,1,pose,1,ok,8,True,138,138,True,False,0/20,0.5711652040481567,True,636,0.0
1790269181.7885845,gesture,rc lr=0 fb=0 ud=0 yaw=0,Perception: hand_detected -> gesture (priority),NOHAND,,True,False,True,False,94.0,70.0,The drone is currently hovering at ground level without any indications of a battery or flying mode.,1461.8847000019741,,1,,0,no_face,0,True,137,137,True,False,0/20,0.32055389881134033,True,653,0.051003456115722656
1790269182.5423746,gesture,rc lr=0 fb=0 ud=0 yaw=0,Perception: hand_detected -> gesture (priority),NOHAND,,True,False,True,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,1,,0,no_face,0,True,139,139,True,False,0/20,0.36913442611694336,True,669,0.7091562747955322
1790269182.55933,hover,rc lr=0 fb=0 ud=0 yaw=0,Autonomy: no intent -> hover,HOVER,,True,False,True,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,1,,0,no_face,0,True,139,139,True,False,0/20,0.25388628244400024,True,671,0.8197579383850098
1790269182.9546611,face,rc lr=0 fb=13 ud=0 yaw=5,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,0,,0,no_hand,0,True,132,132,True,False,0/20,0.5623499751091003,True,680,0.0
1790269183.033525,face,rc lr=0 fb=13 ud=0 yaw=4,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,0,,0,no_hand,0,True,142,142,True,False,0/20,0.6240216493606567,True,682,0.0
1790269183.1313336,face,rc lr=0 fb=14 ud=0 yaw=0,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,0,,0,no_hand,0,True,133,133,True,False,0/20,0.4492599070072174,True,684,0.0
1790269183.2133863,face,rc lr=0 fb=0 ud=0 yaw=0,Perception: face_detected -> face,HOVER,,True,False,False,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,0,,0,no_face,0,True,133,133,True,False,0/20,0.38354742527008057,True,687,0.026973247528076172
1790269184.0561867,face,rc lr=0 fb=14 ud=0 yaw=6,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,0,,0,no_hand,0,True,133,133,True,False,0/20,0.6808880567550659,True,707,0.0
1790269184.2256646,face,rc lr=0 fb=14 ud=0 yaw=5,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,0,,0,no_hand,0,True,134,134,True,False,0/20,0.6881551742553711,True,711,0.0
1790269184.3197541,face,rc lr=0 fb=14 ud=0 yaw=3,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,0,,0,no_hand,0,True,143,143,True,False,0/20,0.6890621185302734,True,713,0.0
1790269184.4135635,face,rc lr=0 fb=14 ud=0 yaw=0,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,0,,0,no_hand,0,True,139,139,True,False,0/20,0.7327058911323547,True,715,0.0
1790269184.5087497,face,rc lr=0 fb=13 ud=0 yaw=0,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone's altitude is too low to perform a hover action.,1640.68540000153,,0,,0,no_hand,0,True,144,144,True,False,0/20,0.7188527584075928,True,717,0.0
1790269185.3300517,face,rc lr=0 fb=13 ud=0 yaw=0,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone must return to the ground before flying,2889.8311000011745,,0,,0,no_hand,0,True,147,147,True,False,0/20,0.6802018284797668,True,737,0.0
1790269185.666016,face,rc lr=0 fb=12 ud=0 yaw=0,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone must return to the ground before flying,2889.8311000011745,,0,,0,no_hand,0,True,150,150,True,False,0/20,0.6799789667129517,True,745,0.0
1790269186.385874,face,rc lr=0 fb=13 ud=0 yaw=0,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone must return to the ground before flying,2889.8311000011745,,0,,0,no_hand,0,True,146,146,True,False,0/20,0.73420250415802,True,762,0.0
1790269186.476616,face,rc lr=0 fb=12 ud=0 yaw=0,Perception: face_detected -> face,FACE,,True,True,False,False,94.0,70.0,The drone must return to the ground before flying,2889.8311000011745,,0,,0,no_hand,0,True,149,149,True,False,0/20,0.6943938732147217,True,764,0.0
