t,event,latency_ms
1790269161.507376,llm_explanation,1908.3997000016097
1790269163.3908494,llm_explanation,1953.8109999994049
1790269165.4996667,llm_explanation,2115.4647000003024
1790269169.5091858,llm_explanation,4007.463900001312
1790269169.6342006,debug_overlay_on,
1790269172.6016672,llm_explanation,3063.367599999765
1790269175.16151,llm_explanation,2596.1771000002045
1790269180.7610111,rc_send,
1790269180.7929473,llm_explanation,1461.8847000019741
1790269180.8845842,rc_send,
1790269180.9993503,rc_send,
1790269181.201367,rc_send,
1790269181.3036916,rc_send,
1790269181.4569864,rc_send,
1790269181.5571315,rc_send,
1790269181.7049766,rc_send,
1790269181.8544703,rc_send,
1790269181.966053,rc_send,
1790269182.0710442,rc_send,
1790269182.1776822,rc_send,
1790269182.3089378,rc_send,
1790269182.416778,rc_send,
1790269182.5423746,llm_explanation,1640.68540000153
1790269182.547362,rc_send,
1790269182.654723,rc_send,
1790269182.763694,rc_send,
1790269182.865364,rc_send,
1790269182.9815898,rc_send,
1790269183.1383152,rc_send,
1790269183.2517939,rc_send,
1790269183.3706458,rc_send,
1790269183.4888344,rc_send,
1790269183.6033025,rc_send,
1790269183.7263465,rc_send,
1790269183.8306634,rc_send,
1790269183.9335055,rc_send,
1790269184.0621705,rc_send,
1790269184.2346437,rc_send,
1790269184.3496742,rc_send,
1790269184.5147345,rc_send,
1790269184.6420083,rc_send,
1790269184.7586067,rc_send,
1790269184.8697877,rc_send,
1790269184.984701,rc_send,
1790269185.1485403,rc_send,
1790269185.272015,rc_send,
1790269185.3300517,llm_explanation,2889.8311000011745
1790269185.3748686,rc_send,
1790269185.4801257,rc_send,
1790269185.5971973,rc_send,
1790269185.7009215,rc_send,
1790269185.8119144,rc_send,
1790269185.9492898,rc_send,
1790269186.060086,rc_send,
1790269186.1647978,rc_send,
1790269186.290264,rc_send,
1790269186.39086,rc_send,
1790269186.5048013,rc_send,
1790269186.6690426,rc_send,
1790269186.8083405,rc_send,
1790269186.9191196,rc_send,
1790269187.065862,rc_send,
1790269187.169887,rc_send,
1790269187.3158805,rc_send,
1790269187.4268427,rc_send,
1790269187.5755625,rc_send,
1790269187.688319,rc_send,
1790269187.811618,rc_send,
1790269187.9307845,rc_send,
1790269188.031633,rc_send,
1790269188.1373327,rc_send,
1790269188.2410593,rc_send,
1790269188.3536687,rc_send,
1790269188.5188725,rc_send,
1790269188.6427114,rc_send,
1790269188.7437747,rc_send,
1790269188.835196,llm_explanation,3453.3914999992703
1790269188.8681264,rc_send,
1790269189.042358,rc_send,
1790269189.1431582,rc_send,
1790269189.262779,rc_send,
1790269189.3644278,rc_send,
1790269189.4650526,rc_send,
1790269189.5666876,rc_send,
1790269189.788522,rc_send,
1790269189.9201455,rc_send,
1790269190.0316947,rc_send,
1790269190.140647,rc_send,
1790269190.2632992,rc_send,
1790269190.3650877,rc_send,
1790269190.5180035,rc_send,
1790269190.6878822,rc_send,
1790269190.8053343,rc_send,
1790269190.9092164,rc_send,
1790269191.0198746,rc_send,
1790269191.135743,rc_send,
1790269191.2471805,rc_send,
1790269191.3701289,rc_send,
1790269191.5393672,rc_send,
1790269191.6621566,rc_send,
1790269191.7788656,rc_send,
1790269191.898328,rc_send,
1790269192.00447,rc_send,
1790269192.1201117,rc_send,
1790269192.2463534,rc_send,
1790269192.3641438,rc_send,
1790269192.5093343,rc_send,
1790269192.624319,rc_send,
1790269192.7356992,rc_send,
1790269192.8324218,llm_explanation,4013.6020999998436
1790269192.8404002,rc_send,
1790269192.9480429,rc_send,
1790269193.0497432,rc_send,
1790269193.1666305,rc_send,
1790269193.2687984,rc_send,
1790269193.3825576,rc_send,
1790269193.504259,rc_send,
1790269193.6053643,rc_send,
1790269193.7309713,rc_send,
1790269193.8461092,rc_send,
1790269193.9496644,rc_send,
1790269194.0514235,rc_send,
1790269194.153269,rc_send,
1790269194.2553306,rc_send,
1790269194.3558936,rc_send,
1790269194.522047,rc_send,
1790269194.6449578,rc_send,
1790269194.7530744,rc_send,
1790269194.8681524,rc_send,
1790269194.9780736,rc_send,
1790269195.0786128,rc_send,
1790269195.180852,rc_send,
1790269195.282051,rc_send,
1790269195.3848982,rc_send,
1790269195.516637,rc_send,
1790269195.622707,rc_send,
1790269195.7357955,rc_send,
1790269195.8452158,rc_send,
1790269195.955848,rc_send,
1790269196.060821,rc_send,
1790269196.1789904,rc_send,
1790269196.3030221,rc_send,
1790269196.4080248,rc_send,
1790269196.5281377,rc_send,
1790269196.6427557,rc_send,
1790269196.7482426,rc_send,
1790269196.8811972,rc_send,
1790269196.986464,rc_send,
1790269197.1112263,rc_send,
1790269197.2636726,rc_send,
1790269197.3748572,rc_send,
1790269197.4974456,rc_send,
1790269197.5999403,rc_send,
1790269197.7034247,rc_send,
1790269197.8215053,rc_send,
1790269197.9299839,rc_send,
1790269198.0516422,rc_send,
1790269198.1666255,rc_send,
1790269198.2693028,rc_send,
1790269198.3718884,rc_send,
1790269198.4923675,rc_send,
1790269198.600746,rc_send,
1790269198.7021832,rc_send,
1790269198.8049026,rc_send,
1790269198.9270108,rc_send,
1790269199.0376928,rc_send,
1790269199.152972,llm_explanation,2330.1594000004116
1790269199.1589203,rc_send,
1790269199.2706263,rc_send,
1790269199.39272,rc_send,
1790269199.492791,rc_send,
1790269199.665905,rc_send,
1790269199.7830348,rc_send,
1790269200.0173528,rc_send,
1790269200.2447774,rc_send,
1790269200.4665573,rc_send,
1790269200.5866492,rc_send,
1790269200.7267497,rc_send,
1790269200.8412554,rc_send,
1790269201.0469902,rc_send,
1790269201.153524,rc_send,
1790269201.2819273,rc_send,
1790269201.3883686,rc_send,
1790269201.5017729,rc_send,
1790269201.6155963,rc_send,
1790269201.7368085,rc_send,
1790269201.8818238,rc_send,
1790269201.9998665,rc_send,
1790269202.110425,rc_send,
1790269202.2202723,rc_send,
1790269202.320429,rc_send,
1790269202.4565434,rc_send,
1790269202.5628731,rc_send,
1790269202.7010512,rc_send,
1790269202.8310645,rc_send,
1790269203.0620184,rc_send,
1790269203.2579107,llm_explanation,4009.0111999998044
1790269203.2645295,rc_send,
1790269203.3981938,rc_send,
1790269203.5294144,rc_send,
1790269203.6368847,rc_send,
1790269203.7619097,rc_send,
1790269203.8868387,rc_send,
1790269203.9994063,rc_send,
1790269204.1386712,rc_send,
1790269204.2491105,rc_send,
1790269204.380793,rc_send,
1790269204.4987233,rc_send,
1790269204.6155949,rc_send,
1790269204.7227952,rc_send,
1790269204.8256593,rc_send,
1790269204.9823256,rc_send,
1790269205.10165,rc_send,
1790269205.2054155,rc_send,
1790269205.3111527,rc_send,
1790269205.4150016,rc_send,
1790269205.5191479,rc_send,
1790269205.6337142,rc_send,
1790269205.7618637,rc_send,
1790269205.9077253,rc_send,
1790269206.0315447,rc_send,
1790269206.1538346,rc_send,
1790269206.317961,rc_send,
1790269206.44737,rc_send,
1790269206.5833247,rc_send,
1790269206.6910923,rc_send,
1790269206.7960632,rc_send,
1790269206.916501,rc_send,
1790269207.0270913,rc_send,
1790269207.1517982,rc_send,
1790269207.2648883,rc_send,
1790269207.3735967,rc_send,
1790269207.4977775,rc_send,
1790269207.6015527,rc_send,
1790269207.7209668,rc_send,
1790269207.8263175,rc_send,
1790269207.9456236,rc_send,
1790269208.0882766,rc_send,
1790269208.193168,rc_send,
1790269208.346603,rc_send,
1790269208.5075445,rc_send,
1790269208.615661,rc_send,
1790269208.7567859,rc_send,
1790269208.8649554,rc_send,
1790269209.0094419,rc_send,
1790269209.10953,rc_send,
1790269209.259854,rc_send,
1790269209.3643985,rc_send,
1790269209.519,rc_send,
1790269209.6293783,rc_send,
1790269209.7456496,rc_send,
1790269209.8594322,rc_send,
1790269209.9741688,rc_send,
1790269210.1002886,rc_send,
1790269210.206531,rc_send,
1790269210.3104181,rc_send,
1790269210.412897,rc_send,
1790269210.536075,rc_send,
1790269210.6388218,rc_send,
1790269210.754229,rc_send,
1790269210.8668144,rc_send,
1790269210.9676535,rc_send,
1790269211.069538,rc_send,
1790269211.172234,rc_send,
1790269211.283545,rc_send,
1790269211.4057298,rc_send,
1790269211.5129251,rc_send,
1790269211.6262476,rc_send,
1790269211.740743,rc_send,
1790269211.8631272,rc_send,
1790269211.9659636,rc_send,
1790269212.070259,rc_send,
1790269212.2825687,rc_send,
1790269212.528829,rc_send,
1790269212.7485943,rc_send,
1790269212.8842094,rc_send,
1790269213.0976553,rc_send,
1790269213.248923,rc_send,
1790269213.4012234,rc_send,
1790269213.5533454,rc_send,
1790269213.6947007,rc_send,
1790269213.8258605,rc_send,
1790269213.9790058,rc_send,
1790269214.083166,llm_explanation,2863.6468000004243
1790269214.0901458,rc_send,
1790269214.1902778,rc_send,
1790269214.309592,rc_send,
1790269214.4493878,rc_send,
1790269214.5558958,rc_send,
1790269214.704863,rc_send,
1790269214.8111033,rc_send,
1790269214.9479218,rc_send,
1790269215.0556548,rc_send,
1790269215.1562412,rc_send,
1790269215.2636144,rc_send,
1790269215.3832977,rc_send,
1790269215.4861367,rc_send,
1790269215.595722,rc_send,
1790269215.7102647,rc_send,
1790269215.8815763,rc_send,
1790269216.0651226,rc_send,
1790269216.2665415,rc_send,
1790269216.4059334,rc_send,
1790269216.5169697,rc_send,
1790269216.644222,llm_explanation,2604.379500000505
1790269216.651644,rc_send,
1790269216.8229148,rc_send,
1790269216.962399,rc_send,
1790269217.137152,rc_send,
1790269217.2777143,rc_send,
1790269217.3973124,rc_send,
1790269217.5003195,rc_send,
1790269217.6072264,rc_send,
1790269217.737681,rc_send,
1790269217.85586,rc_send,
1790269217.9629066,rc_send,
1790269218.0647433,rc_send,
1790269218.1665463,rc_send,
1790269218.2750294,rc_send,
1790269218.383372,rc_send,
1790269218.4872017,rc_send,
1790269218.6997933,rc_send,
1790269218.8055217,rc_send,
1790269218.920123,rc_send,
1790269219.0219674,rc_send,
1790269219.1760516,rc_send,
1790269219.2995415,rc_send,
1790269219.4222915,rc_send,
1790269219.5436907,rc_send,
1790269219.7139049,rc_send,
1790269219.8154671,rc_send,
1790269219.9568753,rc_send,
1790269220.0579722,rc_send,
1790269220.1673853,rc_send,
1790269220.2758465,rc_send,
1790269220.3999548,rc_send,
1790269220.500194,rc_send,
1790269220.6079803,rc_send,
1790269220.697426,llm_explanation,4006.4394999972137
1790269220.726372,rc_send,
1790269220.8376343,rc_send,
1790269220.9594798,rc_send,
1790269221.0599182,rc_send,
1790269221.161533,rc_send,
1790269221.3451033,rc_send,
1790269221.461187,rc_send,
1790269221.5647006,rc_send,
1790269221.6661673,rc_send,
1790269221.7772985,rc_send,
1790269221.8873866,rc_send,
1790269221.9960957,rc_send,
1790269222.10751,rc_send,
1790269222.2706892,rc_send,
1790269222.3769498,rc_send,
1790269222.4820042,rc_send,
1790269222.5969977,rc_send,
1790269222.6998022,rc_send,
1790269222.8081715,rc_send,
1790269222.9184515,rc_send,
1790269223.0408852,rc_send,
1790269223.1483939,rc_send,
1790269223.289166,rc_send,
1790269223.4579349,rc_send,
1790269223.5844069,rc_send,
1790269223.7015877,rc_send,
1790269223.825612,rc_send,
1790269223.9444935,rc_send,
1790269224.0628421,rc_send,
1790269224.1789684,rc_send,
1790269224.322988,rc_send,
1790269224.4231749,rc_send,
1790269224.5391269,rc_send,
