t,bat,h,yaw,vgx,vgy,vgz,tof
1790269159.5346289,100.0,0.0,14.0,0.0,0.0,0.0,237.0
1790269160.5858455,100.0,0.0,82.0,0.0,0.0,0.0,222.0
1790269161.5865328,100.0,0.0,145.0,0.0,0.0,1.0,172.0
1790269162.5882106,100.0,0.0,65.0,0.0,0.0,0.0,186.0
1790269163.592345,100.0,0.0,1.0,0.0,0.0,0.0,10.0
1790269164.5942335,100.0,20.0,-5.0,0.0,0.0,4.0,10.0
1790269165.5974479,100.0,0.0,-6.0,0.0,0.0,0.0,10.0
1790269166.599704,100.0,0.0,-4.0,0.0,0.0,0.0,10.0
1790269167.6138487,100.0,0.0,-5.0,0.0,0.0,0.0,10.0
1790269168.635759,100.0,0.0,-5.0,0.0,0.0,0.0,10.0
1790269169.6361952,100.0,0.0,-5.0,0.0,0.0,0.0,10.0
1790269170.7179923,99.0,0.0,-6.0,0.0,0.0,0.0,10.0
1790269171.7775762,98.0,0.0,-6.0,0.0,0.0,0.0,10.0
1790269172.8093748,98.0,0.0,-8.0,0.0,0.0,0.0,10.0
1790269173.8266392,97.0,-50.0,-17.0,0.0,0.0,-3.0,10.0
1790269174.834586,97.0,0.0,-6.0,0.0,0.0,0.0,10.0
1790269175.835594,96.0,0.0,-7.0,0.0,0.0,0.0,10.0
1790269180.7610111,94.0,60.0,-6.0,0.0,0.0,0.0,81.0
1790269181.7790997,94.0,70.0,-7.0,0.0,0.0,0.0,86.0
1790269182.7816463,94.0,70.0,-6.0,0.0,0.0,0.0,89.0
1790269183.8110526,94.0,70.0,-7.0,0.0,0.0,0.0,88.0
1790269184.8458514,94.0,70.0,-6.0,0.0,0.0,0.0,87.0
1790269185.8778088,94.0,70.0,-6.0,0.0,0.0,0.0,88.0
1790269186.8986652,94.0,70.0,-6.0,0.0,0.0,0.0,91.0
1790269187.9055312,94.0,70.0,-6.0,0.0,0.0,0.0,92.0
1790269188.9344602,94.0,70.0,-6.0,0.0,0.0,0.0,90.0
1790269189.9467936,94.0,70.0,-6.0,0.0,0.0,0.0,98.0
1790269190.996772,94.0,70.0,-5.0,-1.0,0.0,0.0,112.0
1790269192.00447,94.0,70.0,-1.0,-1.0,0.0,0.0,141.0
1790269193.0497432,94.0,80.0,-1.0,-1.0,0.0,0.0,161.0
1790269194.0514235,94.0,80.0,0.0,-1.0,0.0,0.0,168.0
1790269195.0786128,94.0,80.0,7.0,-1.0,0.0,0.0,172.0
1790269196.081765,94.0,90.0,6.0,-1.0,0.0,0.0,173.0
1790269197.112224,94.0,90.0,11.0,-1.0,0.0,0.0,168.0
1790269198.142668,94.0,90.0,12.0,-1.0,0.0,0.0,171.0
1790269199.1589203,94.0,100.0,8.0,-1.0,0.0,0.0,180.0
1790269200.2447774,94.0,100.0,9.0,-1.0,0.0,0.0,175.0
1790269201.2819273,94.0,100.0,9.0,-1.0,0.0,0.0,173.0
1790269202.289367,94.0,100.0,9.0,-3.0,0.0,0.0,177.0
1790269203.2904596,94.0,100.0,9.0,-4.0,-1.0,0.0,174.0
1790269204.3027306,94.0,100.0,9.0,0.0,-1.0,0.0,175.0
1790269205.3111527,94.0,100.0,7.0,0.0,0.0,0.0,175.0
1790269206.317961,94.0,100.0,16.0,0.0,0.0,0.0,178.0
1790269207.3735967,94.0,100.0,26.0,0.0,0.0,0.0,174.0
1790269208.4254541,94.0,90.0,35.0,0.0,0.0,0.0,175.0
1790269209.4256635,94.0,90.0,44.0,0.0,0.0,0.0,174.0
1790269210.4368327,93.0,90.0,50.0,0.0,0.0,0.0,173.0
1790269211.5129251,93.0,90.0,50.0,0.0,0.0,0.0,173.0
1790269212.528829,93.0,90.0,56.0,0.0,0.0,0.0,172.0
1790269213.5533454,93.0,90.0,59.0,0.0,0.0,0.0,173.0
1790269214.5558958,93.0,90.0,59.0,0.0,0.0,0.0,172.0
1790269215.595722,92.0,90.0,57.0,0.0,0.0,0.0,173.0
1790269216.651644,92.0,90.0,58.0,0.0,-1.0,0.0,172.0
1790269217.737681,92.0,90.0,58.0,2.0,3.0,0.0,170.0
1790269218.8055217,92.0,90.0,58.0,2.0,4.0,0.0,174.0
1790269219.8154671,92.0,100.0,58.0,1.0,0.0,0.0,176.0
1790269220.8376343,92.0,90.0,58.0,0.0,0.0,0.0,167.0
1790269221.8674407,92.0,90.0,59.0,0.0,0.0,0.0,176.0
1790269222.8934546,91.0,90.0,58.0,4.0,-2.0,0.0,173.0
1790269223.9444935,91.0,90.0,59.0,1.0,0.0,0.0,168.0
1790269225.0424228,91.0,90.0,58.0,-4.0,2.0,0.0,173.0
1790269226.044041,91.0,90.0,58.0,-4.0,2.0,0.0,174.0
1790269227.0651639,91.0,100.0,58.0,0.0,0.0,0.0,176.0
1790269228.0905228,91.0,100.0,59.0,0.0,0.0,0.0,177.0
