t,event,latency_ms
1790344037.9625394,llm_explanation,3415.4535000000124
1790344039.903199,llm_explanation,1895.5762999999024
1790344042.573777,llm_explanation,2706.4368999999715
1790344044.9183617,llm_explanation,2355.3759000001264
1790344047.2538702,llm_explanation,2331.197199999906
1790344049.9299026,llm_explanation,2640.336500000103
1790344051.864588,llm_explanation,1980.060099999946
1790344055.7481375,llm_explanation,3879.461999999876
1790344057.9641633,llm_explanation,2234.5804999999928
1790344068.7039495,llm_explanation,878.3961000001455
1790344070.155615,llm_explanation,1440.2648000000227
1790344073.7457538,llm_explanation,3485.3745000000345
1790344077.6835253,llm_explanation,4006.0656999999082
1790344081.2766843,llm_explanation,3616.797900000165
1790344083.756897,llm_explanation,2491.0322999999153
1790344085.1023505,rc_send,
1790344085.2042131,rc_send,
1790344085.341325,rc_send,
1790344085.4471908,rc_send,
1790344085.552817,rc_send,
1790344085.653475,rc_send,
1790344085.786571,rc_send,
1790344085.889747,rc_send,
1790344085.993831,rc_send,
1790344086.1616862,rc_send,
1790344086.2952938,rc_send,
1790344086.420248,rc_send,
1790344086.5031197,llm_explanation,2726.781200000005
1790344086.5991426,rc_send,
1790344086.7231693,rc_send,
1790344086.8255088,rc_send,
1790344086.9260352,rc_send,
1790344087.027206,rc_send,
1790344087.1264193,rc_send,
1790344087.229398,rc_send,
1790344087.4082317,rc_send,
1790344087.5086243,rc_send,
1790344087.6088476,rc_send,
1790344087.9318707,rc_send,
1790344088.0752027,rc_send,
1790344088.18411,rc_send,
1790344088.2853498,rc_send,
1790344088.416806,rc_send,
1790344088.5293095,rc_send,
1790344088.6380918,rc_send,
1790344088.767465,rc_send,
1790344088.88856,rc_send,
1790344089.0038846,rc_send,
1790344089.26219,rc_send,
1790344089.4126842,rc_send,
1790344089.5133965,rc_send,
1790344089.6474352,rc_send,
1790344089.7559247,rc_send,
1790344089.8547788,llm_explanation,3364.5106999999825
1790344089.8618908,rc_send,
1790344089.9882002,rc_send,
1790344090.2177484,rc_send,
1790344090.4719782,rc_send,
1790344090.5728078,rc_send,
1790344090.7289343,rc_send,
1790344090.859775,rc_send,
1790344090.9640424,rc_send,
1790344091.0661418,rc_send,
1790344091.2133598,rc_send,
1790344091.365115,rc_send,
1790344091.4722402,rc_send,
1790344091.573051,rc_send,
1790344091.6976357,rc_send,
1790344091.8126838,rc_send,
1790344091.9634488,rc_send,
1790344092.065583,rc_send,
1790344092.1968484,rc_send,
1790344092.3070452,rc_send,
1790344092.4095612,rc_send,
1790344092.615688,rc_send,
1790344092.7839684,rc_send,
1790344092.9472558,rc_send,
1790344093.1101992,rc_send,
1790344093.2656295,rc_send,
1790344093.3683956,rc_send,
1790344093.5173879,rc_send,
1790344093.6962168,rc_send,
1790344093.935449,llm_explanation,4005.635600000005
1790344093.9394383,rc_send,
1790344094.1214259,rc_send,
1790344094.2809284,rc_send,
1790344094.4615476,rc_send,
1790344094.5998278,rc_send,
1790344094.7489355,rc_send,
1790344094.932432,rc_send,
1790344095.1233106,rc_send,
1790344095.2246003,rc_send,
1790344095.3277748,rc_send,
1790344095.5251083,rc_send,
1790344095.7010896,rc_send,
1790344095.882979,rc_send,
1790344096.0702167,rc_send,
1790344096.2524765,rc_send,
1790344096.357872,rc_send,
1790344096.5161598,rc_send,
1790344096.6250577,rc_send,
1790344096.724841,rc_send,
1790344096.827393,rc_send,
1790344096.9487066,rc_send,
1790344097.0506456,rc_send,
1790344097.1510928,rc_send,
1790344097.2531915,rc_send,
1790344097.3383338,llm_explanation,3485.9060000001136
1790344097.3612504,rc_send,
1790344097.4732795,rc_send,
1790344097.5740566,rc_send,
1790344097.6974783,rc_send,
1790344097.8733904,rc_send,
1790344098.0419102,rc_send,
1790344098.1489463,rc_send,
1790344098.2904503,rc_send,
1790344098.489777,rc_send,
1790344098.6872635,rc_send,
1790344098.8939493,rc_send,
1790344099.0084662,rc_send,
1790344099.163814,rc_send,
1790344099.3688245,rc_send,
1790344099.5936785,rc_send,
1790344099.7010217,rc_send,
1790344099.8162742,rc_send,
1790344099.9866745,rc_send,
1790344100.0948534,rc_send,
1790344100.3158855,rc_send,
1790344100.4973385,rc_send,
1790344100.605291,rc_send,
1790344100.7359865,rc_send,
1790344100.9281878,rc_send,
1790344101.0284684,rc_send,
1790344101.1532052,rc_send,
1790344101.2696376,rc_send,
1790344101.3595083,llm_explanation,4009.4700999998167
1790344101.3812735,rc_send,
1790344101.529094,rc_send,
1790344101.714174,rc_send,
1790344101.8190742,rc_send,
1790344101.918965,rc_send,
1790344102.0271606,rc_send,
1790344102.1536105,rc_send,
1790344102.3593478,rc_send,
1790344102.5040615,rc_send,
1790344102.6283808,rc_send,
1790344102.7453628,rc_send,
1790344103.0261395,rc_send,
1790344103.2958362,rc_send,
1790344103.533946,rc_send,
1790344103.6757016,rc_send,
1790344103.7845206,rc_send,
1790344103.8867297,rc_send,
1790344104.0113907,rc_send,
1790344104.1148727,rc_send,
1790344104.2161114,rc_send,
1790344104.356374,rc_send,
1790344104.4821367,rc_send,
1790344104.602414,rc_send,
1790344104.7235758,rc_send,
1790344104.8842955,rc_send,
1790344105.0205998,rc_send,
1790344105.2015798,rc_send,
1790344105.3589745,rc_send,
1790344105.4907477,rc_send,
1790344105.6011083,rc_send,
1790344105.702535,rc_send,
1790344105.809687,rc_send,
1790344105.92006,rc_send,
1790344106.1749706,rc_send,
1790344106.4330642,rc_send,
1790344106.6574366,rc_send,
1790344106.9087327,rc_send,
1790344107.2243567,rc_send,
1790344107.5387478,rc_send,
1790344107.8272786,rc_send,
1790344108.1155646,rc_send,
1790344108.4568005,rc_send,
1790344108.7041342,rc_send,
1790344108.9760187,rc_send,
1790344109.2055025,rc_send,
1790344109.4406548,rc_send,
1790344109.69652,rc_send,
1790344109.7975054,rc_send,
1790344110.0043132,rc_send,
1790344110.19338,rc_send,
1790344110.324377,rc_send,
1790344110.5403051,rc_send,
1790344110.7199197,rc_send,
1790344110.8236132,rc_send,
1790344110.926277,rc_send,
1790344111.05833,rc_send,
1790344111.2996979,rc_send,
1790344111.5181966,rc_send,
1790344111.7840466,rc_send,
1790344111.9178896,rc_send,
1790344112.026947,rc_send,
1790344112.258759,rc_send,
1790344112.47715,rc_send,
1790344112.5947492,rc_send,
1790344112.7170696,rc_send,
1790344112.865225,rc_send,
1790344112.98794,rc_send,
1790344113.1026587,rc_send,
1790344113.2601862,rc_send,
1790344113.37611,rc_send,
1790344113.6119862,rc_send,
1790344113.8307717,rc_send,
1790344113.955381,rc_send,
1790344114.0682676,rc_send,
1790344114.3078637,rc_send,
1790344114.5278409,rc_send,
1790344114.7760456,rc_send,
1790344114.9274254,rc_send,
1790344115.0991786,rc_send,
1790344115.3528726,rc_send,
1790344115.5752695,rc_send,
1790344115.8140683,rc_send,
1790344116.0654075,rc_send,
1790344116.3407238,llm_explanation,2915.4141999999865
1790344116.3467073,rc_send,
1790344116.6294494,rc_send,
1790344116.903478,rc_send,
1790344117.0047283,rc_send,
1790344117.1079867,rc_send,
1790344117.4219058,rc_send,
1790344117.579392,rc_send,
1790344117.7229514,rc_send,
1790344117.8477175,rc_send,
1790344117.9530323,rc_send,
1790344118.0538812,rc_send,
1790344118.161596,rc_send,
1790344118.2717829,rc_send,
1790344118.4053183,rc_send,
1790344118.5196486,rc_send,
1790344118.6395643,rc_send,
1790344118.7692425,rc_send,
1790344118.895094,rc_send,
1790344119.0170233,rc_send,
1790344119.1266658,rc_send,
1790344119.326034,rc_send,
1790344119.4651372,rc_send,
1790344119.587713,rc_send,
1790344119.702001,rc_send,
1790344119.7653337,llm_explanation,3419.129699999985
1790344119.8037918,rc_send,
1790344119.9161937,rc_send,
1790344120.1185377,rc_send,
1790344120.2331312,rc_send,
1790344120.3363574,rc_send,
1790344120.4960556,rc_send,
1790344120.6022007,rc_send,
1790344120.7288961,rc_send,
1790344120.84009,rc_send,
1790344120.9544683,rc_send,
1790344121.0567117,rc_send,
1790344121.2112622,rc_send,
1790344121.3301847,rc_send,
1790344121.4942222,rc_send,
1790344121.5990336,rc_send,
1790344121.7128348,rc_send,
1790344121.814723,rc_send,
1790344121.9165893,rc_send,
1790344122.0563827,rc_send,
1790344122.1588056,rc_send,
1790344122.2830377,rc_send,
1790344122.3944395,llm_explanation,2635.3827000000365
1790344122.3986692,rc_send,
1790344122.4992633,rc_send,
1790344122.6255429,rc_send,
1790344122.726243,rc_send,
1790344122.8336954,rc_send,
1790344122.9509568,rc_send,
1790344123.0644593,rc_send,
1790344123.1647544,rc_send,
1790344123.2673447,rc_send,
1790344123.3679156,rc_send,
1790344123.491127,rc_send,
1790344123.5921004,rc_send,
1790344123.709166,rc_send,
1790344123.814003,rc_send,
1790344123.9711387,rc_send,
1790344124.1470308,rc_send,
1790344124.3164697,rc_send,
1790344124.4169505,rc_send,
1790344124.5688627,rc_send,
1790344124.674326,rc_send,
1790344124.8150349,rc_send,
1790344124.9211702,rc_send,
1790344125.0985196,rc_send,
1790344125.2114866,rc_send,
1790344125.3249383,rc_send,
1790344125.4308746,rc_send,
1790344125.53591,rc_send,
1790344125.660978,rc_send,
1790344125.7735126,rc_send,
1790344125.8759649,rc_send,
1790344125.9801466,rc_send,
1790344126.0962958,rc_send,
1790344126.195828,rc_send,
1790344126.2960734,rc_send,
1790344126.377541,llm_explanation,4011.134200000015
1790344126.3982027,rc_send,
1790344126.4983025,rc_send,
1790344126.625525,rc_send,
1790344126.7398946,rc_send,
1790344126.8740666,rc_send,
1790344127.0401354,rc_send,
1790344127.2686777,rc_send,
1790344127.3735821,rc_send,
1790344127.473654,rc_send,
1790344127.5767567,rc_send,
1790344127.6771238,rc_send,
1790344127.86768,rc_send,
1790344127.9808064,rc_send,
1790344128.1038249,rc_send,
1790344128.2043958,rc_send,
1790344128.314682,rc_send,
1790344128.4196577,rc_send,
1790344128.5241904,rc_send,
1790344128.640868,rc_send,
1790344128.7500696,rc_send,
1790344128.879693,rc_send,
1790344128.9851294,rc_send,
1790344129.115721,rc_send,
1790344129.2158198,rc_send,
1790344129.3302937,rc_send,
1790344129.533366,rc_send,
1790344129.768055,rc_send,
1790344129.8858407,rc_send,
1790344130.0048091,rc_send,
1790344130.1185622,rc_send,
1790344130.272112,rc_send,
1790344130.3733313,rc_send,
1790344130.4926572,rc_send,
1790344130.5952399,rc_send,
