t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,assoc_d,assoc_hands,assoc_mode,assoc_ok,assoc_reason,assoc_skeleton_hits,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1790346667.879314,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,10,5.675137996673584
1790346668.9215147,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,True,False,100.0,0.0,,0.0,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,142,6.678443193435669
1790346669.9415872,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,True,False,100.0,0.0,,0.0,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,167,7.737411260604858
1790346670.9947326,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False,192,8.740121603012085
1790346671.9880571,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,True,False,100.0,0.0,,0.0,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,216,9.742217540740967
1790346672.156836,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,True,False,100.0,0.0,LLM error (ReadTimeout),4233.914999999797,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,220,9.907378196716309
1790346672.2631109,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,True,False,100.0,0.0,LLM error (ReadTimeout),4233.914999999797,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,222,10.009964942932129
1790346673.262591,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,True,False,100.0,0.0,LLM error (ReadTimeout),4233.914999999797,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,247,11.058414936065674
1790346673.524003,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,True,False,100.0,0.0,The drone is now hovering at the given altitude and location.,1397.9236999998648,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,253,11.27595567703247
1790346674.5304806,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,True,False,100.0,0.0,The drone is now hovering at the given altitude and location.,1397.9236999998648,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,277,12.27616000175476
1790346675.2713742,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,True,False,100.0,0.0,The drone was not detected in the search_360 mode for any reason.,1743.6493999998675,,1,,0,no_face,0,False,,,False,False,0/20,-1.0,False,294,13.009074687957764
1790346676.309497,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,100.0,0.0,The drone was not detected in the search_360 mode for any reason.,1743.6493999998675,,2,,0,no_face,0,True,233,233,False,False,0/20,-1.0,False,319,14.041975021362305
1790346677.2598684,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,100.0,0.0,The drone was not detected in the search_360 mode for any reason.,1743.6493999998675,,1,,0,no_face,0,False,174,174,False,False,0/20,-1.0,False,343,15.055692434310913
1790346677.3267398,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,100.0,0.0,Autonomy: no human for 10.0s -> search_360,2015.326499999901,,1,,0,no_face,0,False,174,174,False,False,0/20,-1.0,False,344,15.072591543197632
1790346678.3388464,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,100.0,0.0,Autonomy: no human for 10.0s -> search_360,2015.326499999901,,1,,0,no_face,0,True,168,168,False,False,0/20,-1.0,False,368,16.074442863464355
1790346679.2626681,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,100.0,0.0,The drone will not fly or return to the ground.,1989.2697000000226,,1,,0,no_face,0,True,156,156,False,False,0/20,-1.0,False,390,17.00725531578064
1790346680.2687287,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,99.0,0.0,The drone will not fly or return to the ground.,1989.2697000000226,,1,,0,no_face,0,True,165,165,False,False,0/20,-1.0,False,415,18.064552783966064
1790346681.3022866,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,99.0,0.0,The drone will not fly or return to the ground.,1989.2697000000226,,1,,0,no_face,0,True,166,166,False,False,0/20,-1.0,False,440,19.098110675811768
1790346682.3362885,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,98.0,0.0,The drone will not fly or return to the ground.,1989.2697000000226,,1,,0,no_face,0,True,162,162,False,False,0/20,-1.0,False,465,20.131739854812622
1790346683.2983797,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,98.0,0.0,LLM error (ReadTimeout),4018.757299999834,,1,,0,no_face,0,False,162,162,False,False,0/20,-1.0,False,487,21.03848886489868
1790346684.244939,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,True,False,97.0,0.0,LLM error (ReadTimeout),4018.757299999834,,1,,0,no_face,0,False,162,162,False,False,0/20,-1.0,False,511,22.04076313972473
1790346685.3523605,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,97.0,0.0,LLM error (ReadTimeout),4018.757299999834,,1,,0,no_face,0,False,163,163,False,False,0/20,-1.0,False,536,23.148184537887573
1790346685.4922397,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,96.0,0.0,The drone is not searching or observing anywhere in the immediate area,2184.078999999656,,1,,0,no_face,0,True,160,160,False,False,0/20,-1.0,False,540,23.241544485092163
1790346686.5173259,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,96.0,0.0,The drone is not searching or observing anywhere in the immediate area,2184.078999999656,,1,,0,no_face,0,False,156,156,False,False,0/20,-1.0,False,566,24.31314992904663
1790346687.5348468,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,95.0,0.0,"Battery warning, mission status: searching for ground",2055.1040000000285,,1,,0,no_face,0,False,156,156,False,False,0/20,-1.0,False,588,25.244503259658813
1790346688.5393558,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,95.0,0.0,"Battery warning, mission status: searching for ground",2055.1040000000285,,1,,0,no_face,0,True,179,179,False,False,0/20,-1.0,False,613,26.279475212097168
1790346689.5025613,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,94.0,0.0,Grounded without a drone to monitor battery usage,1876.3263000000734,,1,,0,no_face,0,True,180,180,False,False,0/20,-1.0,False,636,27.23958659172058
1790346690.5077317,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,94.0,0.0,Grounded without a drone to monitor battery usage,1876.3263000000734,,1,,0,no_face,0,True,181,181,False,False,0/20,-1.0,False,661,28.303555727005005
1790346691.369362,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,94.0,0.0,Searching for targets in an area with a low battery level,1924.6344999996836,,1,,0,no_face,0,False,181,181,False,False,0/20,-1.0,False,681,29.11160373687744
1790346692.35713,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,94.0,0.0,Searching for targets in an area with a low battery level,1924.6344999996836,,0,,0,no_face,0,False,181,181,False,False,0/20,-1.0,False,705,30.115235090255737
1790346693.340797,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,94.0,0.0,Searching for targets in an area with a low battery level,1924.6344999996836,,0,,0,no_face,0,True,223,223,False,False,0/20,-1.0,False,729,31.117674112319946
1790346694.3473861,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,94.0,0.0,Searching for targets in an area with a low battery level,1924.6344999996836,,0,,0,no_face,0,True,198,198,False,False,0/20,-1.0,False,754,32.1432101726532
1790346695.3532357,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,94.0,0.0,LLM error (ReadTimeout),4024.562099999912,,0,,0,no_face,0,True,211,211,False,False,0/20,-1.0,False,777,33.109658002853394
1790346696.3395662,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,94.0,0.0,LLM error (ReadTimeout),4024.562099999912,,0,,0,no_face,0,True,209,209,False,False,0/20,-1.0,False,801,34.111226081848145
