t,bat,h,yaw,vgx,vgy,vgz,tof
1790346667.9082243,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346668.9286113,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346669.9406788,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346670.9442976,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346671.9453971,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346672.9467337,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346673.9826753,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346675.0343761,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346676.0350497,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346677.0435958,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346678.102151,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346679.1029453,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346680.1438582,99.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346681.2091436,99.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346682.2449412,98.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346683.305674,98.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346684.3333561,97.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346685.3334434,97.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346686.3337123,96.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346687.3358183,96.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346688.3659928,95.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346689.373747,95.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346690.381388,94.0,0.0,0.0,0.0,0.0,0.0,10.0
1790346691.3849995,94.0,0.0,-15.0,-1.0,-1.0,4.0,10.0
1790346692.4365427,94.0,0.0,-28.0,0.0,1.0,5.0,10.0
1790346693.4376967,94.0,0.0,-5.0,0.0,0.0,1.0,10.0
1790346694.440175,94.0,0.0,-6.0,0.0,0.0,0.0,72.0
1790346695.4429836,94.0,0.0,22.0,0.0,0.0,0.0,10.0
1790346696.4450498,94.0,0.0,29.0,0.0,0.0,0.0,10.0
1790346697.447952,94.0,0.0,32.0,0.0,0.0,0.0,10.0
1790346698.448681,94.0,0.0,32.0,0.0,0.0,0.0,10.0
1790346699.4509637,94.0,0.0,34.0,0.0,0.0,0.0,10.0
1790346700.453616,94.0,0.0,35.0,0.0,0.0,0.0,10.0
1790346701.4803236,94.0,0.0,35.0,0.0,0.0,0.0,10.0
1790346702.4839141,94.0,0.0,35.0,0.0,0.0,0.0,10.0
1790346703.5088944,94.0,0.0,33.0,0.0,0.0,0.0,10.0
1790346704.5106812,94.0,0.0,30.0,0.0,0.0,0.0,10.0
1790346705.5111952,94.0,0.0,29.0,0.0,0.0,0.0,10.0
1790346706.54836,94.0,0.0,26.0,0.0,0.0,0.0,10.0
1790346707.5884724,94.0,-40.0,19.0,0.0,0.0,-4.0,10.0
1790346708.6239033,94.0,0.0,7.0,0.0,0.0,0.0,10.0
1790346709.7121212,94.0,0.0,19.0,0.0,0.0,0.0,10.0
1790346710.7189314,94.0,0.0,19.0,0.0,0.0,0.0,10.0
1790346711.7373557,94.0,0.0,19.0,0.0,0.0,0.0,10.0
1790346712.7404969,94.0,0.0,19.0,0.0,0.0,0.0,10.0
1790346713.779161,94.0,0.0,19.0,0.0,0.0,0.0,10.0
1790346714.7791693,94.0,0.0,19.0,0.0,0.0,0.0,10.0
1790346715.7807274,94.0,0.0,19.0,0.0,0.0,0.0,10.0
1790346716.7825866,94.0,0.0,19.0,0.0,0.0,0.0,10.0
1790346723.1833665,94.0,60.0,19.0,0.0,0.0,0.0,75.0
1790346724.1857588,94.0,70.0,20.0,0.0,0.0,0.0,84.0
1790346725.2336855,94.0,70.0,21.0,0.0,0.0,0.0,91.0
1790346726.2520328,94.0,70.0,26.0,0.0,0.0,0.0,90.0
1790346727.2706609,94.0,70.0,26.0,0.0,0.0,0.0,84.0
1790346728.3224814,94.0,70.0,26.0,0.0,0.0,0.0,82.0
1790346729.358662,94.0,70.0,26.0,0.0,0.0,0.0,82.0
1790346730.4300368,94.0,70.0,25.0,0.0,0.0,0.0,86.0
1790346731.4452906,94.0,70.0,26.0,0.0,0.0,0.0,87.0
1790346732.4996402,94.0,70.0,27.0,0.0,0.0,0.0,87.0
1790346733.6016085,94.0,70.0,27.0,0.0,0.0,0.0,88.0
1790346734.6076531,94.0,70.0,29.0,0.0,0.0,0.0,88.0
1790346735.610992,94.0,70.0,32.0,-1.0,0.0,0.0,143.0
1790346736.61999,94.0,70.0,34.0,-1.0,0.0,0.0,166.0
1790346737.6396174,94.0,70.0,33.0,-1.0,0.0,0.0,165.0
1790346738.656894,94.0,70.0,33.0,0.0,0.0,0.0,165.0
1790346739.662967,94.0,70.0,34.0,-1.0,0.0,0.0,163.0
1790346740.6661034,94.0,70.0,40.0,0.0,0.0,0.0,166.0
1790346741.6675231,94.0,70.0,39.0,0.0,0.0,0.0,165.0
1790346742.7161083,94.0,60.0,39.0,0.0,0.0,0.0,159.0
1790346743.7589426,94.0,60.0,39.0,0.0,0.0,0.0,157.0
1790346744.808966,94.0,60.0,39.0,4.0,3.0,0.0,157.0
1790346745.8215227,94.0,60.0,39.0,3.0,2.0,0.0,77.0
1790346746.8245509,94.0,60.0,39.0,0.0,0.0,0.0,76.0
1790346747.830766,94.0,60.0,37.0,0.0,0.0,0.0,75.0
1790346748.9355373,94.0,60.0,31.0,0.0,0.0,0.0,76.0
1790346750.074175,94.0,60.0,33.0,0.0,0.0,0.0,143.0
1790346751.0878322,94.0,70.0,43.0,-1.0,0.0,0.0,163.0
1790346752.1856663,94.0,70.0,45.0,-1.0,0.0,0.0,165.0
1790346753.1950378,94.0,70.0,45.0,0.0,0.0,0.0,162.0
1790346754.2031033,94.0,70.0,45.0,0.0,0.0,0.0,162.0
1790346755.2050147,93.0,70.0,41.0,0.0,0.0,1.0,166.0
1790346756.2507448,93.0,90.0,41.0,0.0,0.0,0.0,184.0
1790346757.26502,93.0,90.0,41.0,0.0,0.0,0.0,183.0
1790346758.3020513,93.0,90.0,41.0,0.0,0.0,0.0,182.0
1790346759.3243399,93.0,90.0,41.0,0.0,0.0,0.0,185.0
1790346760.4003522,92.0,90.0,41.0,0.0,0.0,0.0,185.0
1790346761.419421,92.0,90.0,41.0,0.0,0.0,0.0,186.0
1790346762.4301796,92.0,90.0,41.0,0.0,0.0,0.0,184.0
1790346763.4698465,92.0,90.0,41.0,0.0,0.0,0.0,185.0
1790346764.4736278,92.0,90.0,41.0,0.0,0.0,0.0,183.0
1790346765.5656672,92.0,80.0,41.0,0.0,0.0,-1.0,176.0
1790346766.567742,92.0,70.0,41.0,0.0,0.0,0.0,166.0
1790346767.5797925,92.0,60.0,41.0,0.0,0.0,0.0,155.0
1790346768.6606312,92.0,60.0,41.0,0.0,0.0,0.0,157.0
1790346769.7005324,91.0,60.0,41.0,-1.0,1.0,0.0,153.0
1790346770.7142923,91.0,60.0,41.0,0.0,0.0,0.0,152.0
1790346771.8033435,91.0,50.0,41.0,0.0,0.0,0.0,149.0
1790346772.8487737,91.0,50.0,41.0,0.0,0.0,0.0,149.0
1790346773.9021876,91.0,60.0,41.0,0.0,0.0,0.0,152.0
1790346774.9068162,91.0,50.0,41.0,0.0,0.0,0.0,150.0
1790346775.908989,90.0,50.0,41.0,0.0,0.0,0.0,148.0
1790346776.9121587,90.0,50.0,41.0,0.0,0.0,0.0,151.0
1790346777.9909902,90.0,60.0,41.0,0.0,0.0,0.0,153.0
1790346779.1745892,90.0,60.0,47.0,0.0,0.0,0.0,157.0
1790346780.2291133,90.0,70.0,55.0,0.0,-1.0,0.0,163.0
1790346781.2459533,90.0,70.0,56.0,0.0,-1.0,0.0,166.0
1790346782.260057,90.0,70.0,52.0,0.0,0.0,0.0,166.0
1790346783.2657354,90.0,70.0,52.0,0.0,0.0,0.0,166.0
1790346784.269839,90.0,70.0,52.0,0.0,0.0,0.0,165.0
1790346785.274768,90.0,70.0,52.0,0.0,0.0,0.0,164.0
1790346786.2767181,89.0,70.0,52.0,0.0,0.0,0.0,164.0
1790346787.2797127,89.0,70.0,52.0,0.0,0.0,0.0,163.0
1790346788.3023357,89.0,70.0,52.0,0.0,0.0,0.0,165.0
1790346789.341105,89.0,70.0,52.0,0.0,0.0,0.0,163.0
1790346790.3429494,89.0,70.0,52.0,0.0,0.0,0.0,163.0
1790346791.3475006,89.0,70.0,52.0,0.0,0.0,0.0,163.0
1790346792.3492334,89.0,70.0,52.0,0.0,0.0,0.0,164.0
1790346793.449389,88.0,70.0,53.0,0.0,0.0,0.0,165.0
1790346794.4878113,88.0,70.0,53.0,0.0,0.0,0.0,164.0
