path,label
dataset_images\00_CENTER\20260204_120951_L00_000000.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000001.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000002.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000003.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000004.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000005.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000006.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000007.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000008.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000009.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000010.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000011.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000012.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000013.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000014.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000015.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000016.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000017.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000018.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000019.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000020.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000021.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000022.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000023.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000024.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000025.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000026.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000027.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000028.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000029.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000030.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000031.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000032.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000033.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000034.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000035.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000036.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000037.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000038.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000039.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000040.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000041.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000042.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000043.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000044.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000045.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000046.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000047.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000048.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000049.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000050.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000051.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000052.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000053.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000054.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000055.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000056.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000057.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000058.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000059.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000060.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000061.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000062.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000063.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000064.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000065.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000066.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000067.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000068.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000069.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000070.jpg,0
