t,bat,h,yaw
1770826961.9537544,9.0,0.0,-5.0
1770826962.0305486,9.0,0.0,-5.0
1770826962.0425136,9.0,0.0,-5.0
1770826962.0932193,9.0,0.0,-5.0
1770826962.1040797,9.0,0.0,-5.0
1770826962.1519527,9.0,0.0,-5.0
1770826962.1639245,9.0,0.0,-5.0
1770826962.2287464,9.0,0.0,-5.0
1770826962.238264,9.0,0.0,-5.0
1770826962.29963,9.0,0.0,-5.0
1770826962.3114796,9.0,0.0,-5.0
1770826962.3484106,9.0,0.0,-5.0
1770826962.364367,9.0,0.0,-5.0
1770826962.392262,9.0,0.0,-5.0
1770826962.4022372,9.0,0.0,-5.0
1770826962.4301937,9.0,0.0,-5.0
1770826962.4411662,9.0,0.0,-5.0
1770826962.4720714,9.0,0.0,-5.0
1770826962.4800303,9.0,0.0,-5.0
1770826962.519253,9.0,0.0,-5.0
1770826962.5283208,9.0,0.0,-5.0
1770826962.5663314,9.0,0.0,-5.0
1770826962.5812914,9.0,0.0,-5.0
1770826962.6117227,9.0,0.0,-5.0
1770826962.6216955,9.0,0.0,-5.0
1770826962.658565,9.0,0.0,-5.0
1770826962.6736786,9.0,0.0,-5.0
1770826962.7046278,9.0,0.0,-5.0
1770826962.7118812,9.0,0.0,-5.0
1770826962.7367814,9.0,0.0,-5.0
1770826962.7427995,9.0,0.0,-5.0
1770826962.7696939,9.0,0.0,-6.0
1770826962.782692,9.0,0.0,-6.0
1770826962.8136106,9.0,0.0,-6.0
1770826962.8208323,9.0,0.0,-6.0
1770826962.8501847,9.0,0.0,-6.0
1770826962.8576453,9.0,0.0,-6.0
1770826962.8836083,8.0,0.0,-6.0
1770826962.8905563,8.0,0.0,-6.0
1770826962.9254634,8.0,0.0,-6.0
1770826962.9330885,8.0,0.0,-6.0
1770826962.9854507,8.0,0.0,-8.0
1770826962.9922738,8.0,0.0,-8.0
1770826963.0457845,8.0,0.0,-8.0
1770826963.0527666,8.0,0.0,-8.0
1770826963.1009917,8.0,0.0,-11.0
1770826963.1089013,8.0,0.0,-11.0
1770826963.1709042,8.0,0.0,-11.0
1770826963.1868732,8.0,0.0,-13.0
1770826963.2491863,8.0,0.0,-13.0
1770826963.2651439,8.0,0.0,-13.0
1770826963.3111894,8.0,0.0,-14.0
1770826963.3267698,8.0,0.0,-14.0
1770826963.3731496,8.0,0.0,-14.0
1770826963.3886507,8.0,0.0,-17.0
1770826963.4203253,8.0,0.0,-17.0
1770826963.4262528,8.0,0.0,-17.0
1770826963.4665651,8.0,0.0,-17.0
1770826963.4815576,8.0,0.0,-22.0
1770826963.5146053,8.0,0.0,-22.0
1770826963.5272646,8.0,0.0,-22.0
1770826963.5590591,8.0,0.0,-22.0
1770826963.5746164,8.0,0.0,-22.0
1770826963.620606,8.0,0.0,-29.0
1770826963.6361437,8.0,0.0,-29.0
1770826963.682739,8.0,0.0,-35.0
1770826963.688698,8.0,0.0,-35.0
1770826963.7285914,8.0,0.0,-35.0
1770826963.7445486,8.0,0.0,-35.0
1770826963.7757993,8.0,0.0,-35.0
1770826963.7847774,8.0,0.0,-40.0
1770826963.836867,8.0,0.0,-40.0
1770826963.8521662,8.0,0.0,-40.0
1770826963.898617,8.0,0.0,-45.0
1770826963.9115834,8.0,0.0,-45.0
1770826963.9417646,8.0,0.0,-45.0
1770826963.9487998,8.0,0.0,-45.0
1770826963.9896905,8.0,0.0,-50.0
1770826964.0047529,8.0,0.0,-50.0
1770826964.0353937,8.0,0.0,-50.0
1770826964.0433223,8.0,0.0,-50.0
1770826964.0815508,8.0,0.0,-50.0
1770826964.0895343,8.0,0.0,-51.0
1770826964.1290941,8.0,0.0,-51.0
1770826964.1448362,8.0,0.0,-51.0
1770826964.1751878,8.0,0.0,-51.0
1770826964.1814268,8.0,0.0,-51.0
1770826964.221907,8.0,0.0,-52.0
1770826964.2298484,8.0,0.0,-52.0
1770826964.283957,8.0,0.0,-52.0
1770826964.2919304,8.0,0.0,-52.0
1770826964.3426957,8.0,0.0,-52.0
1770826964.3517854,8.0,0.0,-53.0
1770826964.406121,8.0,0.0,-53.0
1770826964.4230425,8.0,0.0,-53.0
1770826964.462081,8.0,0.0,-52.0
1770826964.469059,8.0,0.0,-52.0
1770826964.5056665,8.0,0.0,-52.0
1770826964.512134,8.0,0.0,-52.0
1770826964.5474682,8.0,0.0,-52.0
1770826964.5544586,8.0,0.0,-51.0
1770826964.5889359,8.0,0.0,-51.0
1770826964.5969152,8.0,0.0,-51.0
1770826964.6317208,8.0,0.0,-51.0
1770826964.6387007,8.0,0.0,-51.0
1770826964.6743608,8.0,0.0,-48.0
1770826964.6824791,8.0,0.0,-48.0
1770826964.7324193,8.0,0.0,-48.0
1770826964.739562,8.0,0.0,-48.0
1770826964.7904449,8.0,0.0,-46.0
1770826964.798429,8.0,0.0,-46.0
1770826964.8493283,8.0,0.0,-46.0
1770826964.8563068,8.0,0.0,-45.0
1770826964.8910081,8.0,0.0,-45.0
1770826964.898978,8.0,0.0,-45.0
1770826964.9332685,8.0,0.0,-45.0
1770826964.940835,8.0,0.0,-45.0
1770826964.9792943,8.0,0.0,-45.0
1770826964.9904873,8.0,0.0,-45.0
1770826965.0362349,8.0,0.0,-45.0
1770826965.0442452,8.0,0.0,-45.0
1770826965.0801165,8.0,0.0,-46.0
1770826965.0891232,8.0,0.0,-46.0
1770826965.1249247,8.0,0.0,-46.0
1770826965.134206,8.0,0.0,-46.0
1770826965.1700234,8.0,0.0,-46.0
1770826965.1798928,8.0,0.0,-46.0
1770826965.2164748,8.0,0.0,-46.0
1770826965.2264802,8.0,0.0,-46.0
1770826965.2799087,8.0,0.0,-45.0
1770826965.2889159,8.0,0.0,-45.0
1770826965.3469098,8.0,0.0,-45.0
1770826965.3628683,8.0,0.0,-45.0
1770826965.3968785,8.0,0.0,-43.0
1770826965.4058926,8.0,0.0,-43.0
1770826965.4417846,8.0,0.0,-43.0
1770826965.4504652,8.0,0.0,-43.0
1770826965.4863746,8.0,0.0,-42.0
1770826965.4954848,8.0,0.0,-42.0
1770826965.5306408,8.0,0.0,-42.0
1770826965.5406158,8.0,0.0,-42.0
1770826965.5745032,8.0,0.0,-41.0
1770826965.584509,8.0,0.0,-41.0
1770826965.6244142,8.0,0.0,-41.0
1770826965.632393,8.0,0.0,-41.0
1770826965.6680896,8.0,0.0,-41.0
1770826965.6760163,8.0,0.0,-41.0
1770826965.712946,8.0,0.0,-41.0
1770826965.720925,8.0,0.0,-41.0
1770826965.7573392,8.0,0.0,-41.0
1770826965.766315,8.0,0.0,-41.0
1770826965.801063,8.0,0.0,-41.0
1770826965.8090978,8.0,0.0,-41.0
1770826965.8431418,8.0,0.0,-41.0
1770826965.8522456,8.0,0.0,-41.0
1770826965.893399,8.0,0.0,-40.0
1770826965.902007,8.0,0.0,-40.0
1770826965.9370909,8.0,0.0,-40.0
1770826965.946101,8.0,0.0,-40.0
1770826965.979872,8.0,0.0,-40.0
1770826965.988815,8.0,0.0,-40.0
1770826966.0261228,8.0,0.0,-40.0
1770826966.036024,8.0,0.0,-40.0
1770826966.0849257,8.0,0.0,-39.0
1770826966.1010609,8.0,0.0,-39.0
1770826966.1429498,8.0,0.0,-39.0
1770826966.1529548,8.0,0.0,-39.0
1770826966.2041662,8.0,0.0,-39.0
1770826966.2151344,8.0,0.0,-39.0
1770826966.2589798,8.0,0.0,-39.0
1770826966.268925,8.0,0.0,-39.0
1770826966.3062131,8.0,0.0,-43.0
1770826966.3148894,8.0,0.0,-43.0
1770826966.3507288,8.0,0.0,-43.0
1770826966.3586771,8.0,0.0,-43.0
1770826966.422442,8.0,0.0,-45.0
1770826966.432726,8.0,0.0,-45.0
1770826966.4690003,8.0,0.0,-45.0
1770826966.4788315,8.0,0.0,-45.0
1770826966.537712,8.0,0.0,-45.0
1770826966.548034,8.0,0.0,-45.0
1770826966.6025355,8.0,0.0,-47.0
1770826966.6130764,8.0,0.0,-47.0
1770826966.6566515,8.0,0.0,-47.0
1770826966.6664886,8.0,0.0,-47.0
1770826966.702426,8.0,0.0,-46.0
1770826966.710906,8.0,0.0,-46.0
1770826966.747925,8.0,0.0,-46.0
1770826966.7569008,8.0,0.0,-46.0
1770826966.7947056,8.0,0.0,-43.0
1770826966.803539,8.0,0.0,-43.0
1770826966.8463495,8.0,0.0,-40.0
1770826966.856711,8.0,0.0,-40.0
1770826966.8949761,8.0,0.0,-40.0
1770826966.905938,8.0,0.0,-40.0
1770826966.9437497,8.0,0.0,-40.0
1770826966.9546866,8.0,0.0,-42.0
1770826966.99045,8.0,0.0,-42.0
1770826967.008406,8.0,0.0,-42.0
1770826967.0604196,8.0,0.0,-40.0
1770826967.0704246,8.0,0.0,-40.0
1770826967.107586,8.0,0.0,-40.0
1770826967.1165595,8.0,0.0,-40.0
1770826967.1615415,8.0,0.0,-37.0
1770826967.1725092,8.0,0.0,-37.0
1770826967.2395058,8.0,0.0,-37.0
1770826967.2485135,8.0,0.0,-37.0
1770826967.2852128,8.0,0.0,-35.0
1770826967.296154,8.0,0.0,-35.0
1770826967.3322134,8.0,0.0,-35.0
1770826967.3420653,8.0,0.0,-35.0
1770826967.3819616,8.0,0.0,-33.0
1770826967.3909655,8.0,0.0,-33.0
1770826967.4278638,8.0,0.0,-33.0
1770826967.4378688,8.0,0.0,-33.0
1770826967.4802537,8.0,0.0,-32.0
1770826967.4914594,8.0,0.0,-32.0
1770826967.528149,8.0,0.0,-32.0
1770826967.5380921,8.0,0.0,-32.0
1770826967.5747766,8.0,0.0,-31.0
1770826967.5847125,8.0,0.0,-31.0
1770826967.621773,8.0,0.0,-31.0
1770826967.6303058,8.0,0.0,-31.0
1770826967.6666968,8.0,0.0,-30.0
1770826967.6763587,8.0,0.0,-30.0
1770826967.7332022,8.0,0.0,-30.0
1770826967.7436137,8.0,0.0,-30.0
1770826967.8024507,8.0,0.0,-29.0
1770826967.8124242,8.0,0.0,-29.0
1770826967.87082,8.0,0.0,-28.0
1770826967.882843,8.0,0.0,-28.0
1770826967.9431612,8.0,0.0,-28.0
1770826967.9553478,8.0,0.0,-28.0
1770826967.996861,8.0,0.0,-27.0
1770826968.0129063,8.0,0.0,-27.0
1770826968.0514328,8.0,0.0,-27.0
1770826968.062231,8.0,0.0,-27.0
1770826968.0995226,8.0,0.0,-28.0
1770826968.110494,8.0,0.0,-28.0
1770826968.1624117,8.0,0.0,-28.0
1770826968.1723475,8.0,0.0,-29.0
1770826968.216987,8.0,0.0,-29.0
1770826968.2289608,8.0,0.0,-29.0
1770826968.2670481,8.0,0.0,-29.0
1770826968.2758873,8.0,0.0,-31.0
1770826968.3117886,8.0,0.0,-31.0
1770826968.3222487,8.0,0.0,-31.0
1770826968.3591201,8.0,0.0,-31.0
1770826968.3690934,8.0,0.0,-31.0
1770826968.4109066,8.0,0.0,-33.0
1770826968.4228764,8.0,0.0,-33.0
1770826968.479698,8.0,0.0,-34.0
1770826968.4896722,8.0,0.0,-34.0
1770826968.5269217,8.0,0.0,-34.0
1770826968.5354047,8.0,0.0,-34.0
1770826968.5713105,8.0,0.0,-34.0
1770826968.5825343,8.0,0.0,-33.0
1770826968.61963,8.0,0.0,-33.0
1770826968.6282766,8.0,0.0,-33.0
1770826968.664275,8.0,0.0,-33.0
1770826968.673251,8.0,0.0,-33.0
1770826968.7095628,8.0,0.0,-32.0
1770826968.720536,8.0,0.0,-32.0
1770826968.763828,8.0,0.0,-32.0
1770826968.7747934,8.0,0.0,-32.0
1770826968.8147569,8.0,0.0,-32.0
1770826968.8257582,8.0,0.0,-32.0
1770826968.8606377,8.0,0.0,-32.0
1770826968.8716073,8.0,0.0,-32.0
1770826968.9068441,8.0,0.0,-32.0
1770826968.9178002,8.0,0.0,-32.0
1770826968.9570491,8.0,0.0,-32.0
1770826968.9669833,8.0,0.0,-32.0
1770826969.0069096,8.0,0.0,-32.0
1770826969.017881,8.0,0.0,-32.0
1770826969.0594702,8.0,0.0,-32.0
1770826969.0704737,8.0,0.0,-32.0
1770826969.1096714,8.0,0.0,-32.0
1770826969.1216702,8.0,0.0,-32.0
1770826969.1580057,8.0,0.0,-32.0
1770826969.1672997,8.0,0.0,-32.0
1770826969.2060597,8.0,0.0,-33.0
1770826969.2150037,8.0,0.0,-33.0
