t,mode_before,mode_after,gesture,gesture_conf,face_detected,time_since_face_s,hand_detected,time_since_hand_s,key,battery,altitude_cm,reason,command,det_reason,face_auth,face_raw,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,hand_auth,hand_raw,llm_reason,mode,t_any
1770825656.3539245,,,,,,,,,,78.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,False,False,False,0/20,-1.0,False,False,,search_360,6.964862585067749
1770825657.382922,,,,,,,,,,77.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,False,False,False,0/20,-1.0,False,False,,search_360,7.970593690872192
1770825658.38619,,,,,,,,,,77.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,True,False,False,0/20,-1.0,False,False,,search_360,8.997128009796143
1770825659.4185648,,,,,,,,,,77.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,True,False,False,0/20,-1.0,False,False,,search_360,10.029502868652344
1770825659.6288676,,,,,,,,,,77.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,True,False,False,0/20,-1.0,False,False,The drone has returned to a safe distance without generating any flying activities.,search_360,10.212916851043701
1770825660.6191232,,,,,,,,,,77.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,False,False,False,0/20,-1.0,False,False,The drone has returned to a safe distance without generating any flying activities.,search_360,11.230061292648315
1770825661.0918217,,,,,,,,,,77.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,False,False,False,0/20,-1.0,False,False,Autonomy: no human for 7.0s -> search_360,search_360,11.678491830825806
1770825662.0993412,,,,,,,,,,77.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,True,False,False,0/20,-1.0,False,False,the drone is too far away to see people,search_360,12.686478614807129
1770825663.1086247,,,,,,,,,,76.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,True,False,False,0/20,-1.0,False,False,the drone is too far away to see people,search_360,13.719562768936157
1770825664.1369867,,,,,,,,,,76.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,False,False,False,0/20,-1.0,False,False,the drone is too far away to see people,search_360,14.7479248046875
1770825665.158818,,,,,,,,,,76.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,True,False,False,0/20,-1.0,False,False,the drone is too far away to see people,search_360,15.769756078720093
1770825666.1162834,,,,,,,,,,76.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,True,False,False,0/20,-1.0,False,False,LLM error (ReadTimeout),search_360,16.699532985687256
1770825667.0983768,,,,,,,,,,76.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,True,False,False,0/20,-1.0,False,False,LLM error (ReadTimeout),search_360,17.708313465118408
1770825668.125731,,,,,,,,,,75.0,0.0,,ground,Autonomy: no human for 7.0s -> search_360,False,True,False,False,0/20,-1.0,False,False,LLM error (ReadTimeout),search_360,18.736669063568115
1770825668.3868694,,,,,,,,,,75.0,0.0,,ground,Autonomy: search done (12s) -> hover,False,True,False,False,0/20,-1.0,False,False,LLM error (ReadTimeout),hover,18.967915534973145
1770825669.3800304,,,,,,,,,,75.0,0.0,,ground,Autonomy: no intent -> hover,False,False,False,False,0/20,-1.0,False,False,LLM error (ReadTimeout),hover,19.990968465805054
1770825670.417054,,,,,,,,,,75.0,0.0,,ground,Autonomy: no intent -> hover,False,False,False,False,0/20,-1.0,False,False,LLM error (ReadTimeout),hover,20.994192123413086
1770825671.4211273,,,,,,,,,,75.0,0.0,,ground,Autonomy: no intent -> hover,False,False,False,False,0/20,-1.0,False,False,LLM error (ReadTimeout),hover,22.004136562347412
1770825672.1697502,,,,,,,,,,75.0,0.0,,ground,Autonomy: no intent -> hover,False,True,False,False,0/20,-1.0,False,False,"The drone's battery is at 75%, and it has not yet landed or passed the ground to hover.",hover,22.75188112258911
1770825673.1676414,,,,,,,,,,75.0,0.0,,ground,Autonomy: no intent -> hover,False,True,False,False,0/20,-1.0,False,False,"The drone's battery is at 75%, and it has not yet landed or passed the ground to hover.",hover,23.752223014831543
