t,bat,h,yaw
1770721636.4711452,94.0,0.0,4.0
1770721636.5659606,94.0,0.0,4.0
1770721636.576327,94.0,0.0,4.0
1770721636.659227,94.0,0.0,4.0
1770721636.663563,94.0,0.0,4.0
1770721636.687185,94.0,0.0,4.0
1770721636.6907725,94.0,0.0,4.0
1770721636.7426808,94.0,0.0,5.0
1770721636.763964,94.0,0.0,5.0
1770721636.8079617,94.0,0.0,5.0
1770721636.8286765,94.0,0.0,5.0
1770721636.8784971,94.0,0.0,5.0
1770721636.9004552,94.0,0.0,5.0
1770721636.9423456,94.0,0.0,5.0
1770721636.9623928,94.0,0.0,5.0
1770721637.010469,94.0,0.0,5.0
1770721637.036996,94.0,0.0,5.0
1770721637.0773764,94.0,0.0,5.0
1770721637.1019022,93.0,0.0,5.0
1770721637.148852,93.0,0.0,5.0
1770721637.1708202,93.0,0.0,5.0
1770721637.2100565,93.0,0.0,6.0
1770721637.2299361,93.0,0.0,6.0
1770721637.2813394,93.0,0.0,6.0
1770721637.3027706,93.0,0.0,7.0
1770721637.343015,93.0,0.0,7.0
1770721637.3632216,93.0,0.0,7.0
1770721637.4142382,93.0,0.0,8.0
1770721637.4371886,93.0,0.0,8.0
1770721637.4761777,93.0,0.0,8.0
1770721637.4965782,93.0,0.0,8.0
1770721637.5535018,93.0,0.0,8.0
1770721637.5747778,93.0,0.0,8.0
1770721637.6127024,93.0,0.0,8.0
1770721637.633792,93.0,0.0,8.0
1770721637.6832304,93.0,0.0,8.0
1770721637.705452,93.0,0.0,8.0
1770721637.743918,93.0,0.0,8.0
1770721637.7651157,93.0,0.0,8.0
1770721637.8135567,93.0,0.0,8.0
1770721637.8390152,93.0,0.0,8.0
1770721637.879647,93.0,0.0,8.0
1770721637.9049494,93.0,0.0,8.0
1770721637.9283965,93.0,0.0,8.0
1770721637.9325407,93.0,0.0,8.0
1770721637.9571545,93.0,0.0,8.0
1770721637.96044,93.0,0.0,8.0
1770721637.9898813,93.0,0.0,8.0
1770721637.9931865,93.0,0.0,8.0
1770721638.02027,93.0,0.0,8.0
1770721638.0239913,93.0,0.0,8.0
1770721638.0518062,93.0,0.0,8.0
1770721638.0564325,93.0,0.0,8.0
1770721638.077632,93.0,0.0,8.0
1770721638.0810547,93.0,0.0,8.0
1770721638.1083007,93.0,0.0,8.0
1770721638.1116679,93.0,0.0,8.0
1770721638.1366131,93.0,0.0,8.0
1770721638.1423094,93.0,0.0,8.0
1770721638.170361,93.0,0.0,8.0
1770721638.1735466,93.0,0.0,8.0
1770721638.1947503,93.0,0.0,8.0
1770721638.1985586,93.0,0.0,8.0
1770721638.2298312,93.0,0.0,8.0
1770721638.23523,93.0,0.0,8.0
1770721638.2549133,93.0,0.0,8.0
1770721638.2583559,93.0,0.0,8.0
1770721638.279493,93.0,0.0,8.0
1770721638.284532,93.0,0.0,8.0
1770721638.3047774,93.0,0.0,8.0
1770721638.3083901,93.0,0.0,8.0
1770721638.3320024,93.0,0.0,7.0
1770721638.3377,93.0,0.0,7.0
1770721638.3585064,93.0,0.0,7.0
1770721638.3618846,93.0,0.0,7.0
1770721638.386961,93.0,0.0,7.0
1770721638.3904343,93.0,0.0,7.0
1770721638.4132786,93.0,0.0,7.0
1770721638.418753,93.0,0.0,7.0
1770721638.4431589,93.0,0.0,7.0
1770721638.4468765,93.0,0.0,7.0
1770721638.467743,93.0,0.0,7.0
1770721638.4713917,93.0,0.0,7.0
1770721638.4947455,93.0,0.0,7.0
1770721638.4987886,93.0,0.0,7.0
1770721638.5189648,93.0,0.0,7.0
1770721638.5224924,93.0,0.0,7.0
1770721638.5456235,93.0,0.0,8.0
1770721638.54947,93.0,0.0,8.0
1770721638.572293,93.0,0.0,8.0
1770721638.5754507,93.0,0.0,8.0
1770721638.5971587,93.0,0.0,8.0
1770721638.6018786,93.0,0.0,8.0
1770721638.625375,93.0,0.0,8.0
1770721638.6287124,93.0,0.0,9.0
1770721638.6564715,93.0,0.0,9.0
1770721638.660264,93.0,0.0,9.0
1770721638.679315,93.0,0.0,9.0
1770721638.6837873,93.0,0.0,9.0
1770721638.7075136,93.0,0.0,9.0
1770721638.7108319,93.0,0.0,9.0
1770721638.7304804,93.0,0.0,10.0
1770721638.7350752,93.0,0.0,10.0
1770721638.7616463,93.0,0.0,10.0
1770721638.76581,93.0,0.0,10.0
1770721638.7899826,93.0,0.0,10.0
1770721638.7933197,93.0,0.0,10.0
