t,mode_before,mode_after,gesture,gesture_conf,face_detected,time_since_face_s,hand_detected,time_since_hand_s,key,battery,altitude_cm,reason,command,det_reason,face,hand,llm_reason,mode,t_any
1770721636.466201,,,,,,,,,,94.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,5.783761978149414
1770721636.737139,,,,,,,,,,94.0,0.0,,ground,Perception: hand_detected (authorized),True,True,,gesture,0.0
1770721637.7403557,,,,,,,,,,93.0,0.0,,ground,Perception: hand_detected (authorized),True,True,,gesture,0.0
1770721638.70789,,,,,,,,,,93.0,0.0,,ground,Perception: hand_detected (authorized),False,True,,gesture,0.0
1770721639.753463,,,,,,,,,,93.0,0.0,,ground,Perception: hand_detected (authorized),True,True,,gesture,0.0
1770721640.794549,,,,,,,,,,93.0,0.0,,ground,Perception: hand_detected (authorized),True,False,,gesture,0.0
1770721641.5300121,,,,,,,,,,93.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721642.548902,,,,,,,,,,93.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721643.5710104,,,,,,,,,,93.0,0.0,,ground,Perception: face_detected -> face,False,False,,face,0.7266669273376465
1770721643.6706736,,,,,,,,,,93.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,0.8006529808044434
1770721644.6796708,,,,,,,,,,93.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,1.8359646797180176
1770721645.3762462,,,,,,,,,,93.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721646.349013,,,,,,,,,,93.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721647.3579328,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,False,False,,face,0.5763461589813232
1770721647.5933251,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,0.8120808601379395
1770721648.6121194,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,1.8308708667755127
1770721648.8881288,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721649.8778942,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721650.8986838,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721651.9061072,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721652.9163327,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721653.9032118,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721655.0006146,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,False,,gesture,0.0
1770721655.1440473,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721656.0542278,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721657.0790508,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721658.1028178,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721659.1459486,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721660.1521337,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
