f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.5606107,0.62145483,1.050484e-07,0.53287446,0.5894841,-0.00917538,0.52144986,0.5422879,-0.0141936885,0.53618497,0.50662774,-0.019772733,0.5565907,0.49123973,-0.025413577,0.5273765,0.48643702,-0.004791556,0.5217738,0.43237302,-0.01420506,0.52047616,0.39982173,-0.0231222,0.5204479,0.37185052,-0.03031244,0.54933053,0.48114285,-0.009132423,0.5455514,0.42183772,-0.016961042,0.5437957,0.38483524,-0.025861392,0.5422692,0.35367432,-0.03259942,0.57084817,0.4875577,-0.015172714,0.56970584,0.43216345,-0.022958998,0.5678214,0.39897025,-0.029861756,0.56539875,0.3701137,-0.035133664,0.5925283,0.5031207,-0.022558762,0.59419024,0.4627666,-0.029588921,0.59270215,0.4358606,-0.032660965,0.5905223,0.41214997,-0.034982014,0
0.54878074,0.6112625,1.1127154e-07,0.5227611,0.57896733,-0.009096062,0.5145333,0.531166,-0.013248481,0.53195304,0.49850163,-0.017952885,0.5509853,0.48374504,-0.02277879,0.51641655,0.48134935,-0.0031521055,0.5093745,0.42848805,-0.012017598,0.50724185,0.39684993,-0.020442238,0.5069344,0.36994034,-0.027189711,0.5383047,0.4759748,-0.007125107,0.5340449,0.41862035,-0.014540895,0.5324933,0.38276824,-0.023629181,0.53136414,0.35256654,-0.03042399,0.55908734,0.4824614,-0.0129046,0.5584299,0.42977917,-0.020594398,0.5567091,0.39747727,-0.028177386,0.5542186,0.3690669,-0.033869207,0.579564,0.49781463,-0.019955434,0.58093894,0.45896688,-0.026975615,0.5796464,0.433148,-0.030362858,0.57778937,0.4098113,-0.03297687,0
0.5335406,0.5898225,9.6020784e-08,0.5080307,0.56004393,-0.009935637,0.49784806,0.51573074,-0.015126577,0.5105926,0.4827155,-0.02079438,0.52754474,0.46543413,-0.026366118,0.49997577,0.46575484,-0.0041146553,0.4932906,0.4154999,-0.013805732,0.49180642,0.38514072,-0.022628946,0.49215883,0.35932848,-0.02950986,0.519876,0.46027842,-0.0075323414,0.51410836,0.4050862,-0.015702201,0.5122975,0.3710653,-0.024370287,0.5114008,0.34159788,-0.030882197,0.5397456,0.46555004,-0.012860729,0.5371045,0.4142715,-0.021002656,0.5345979,0.38448048,-0.027367726,0.5320344,0.35783917,-0.032152206,0.5602726,0.47887787,-0.019617327,0.5606032,0.44207746,-0.02670478,0.55941945,0.41757402,-0.029704975,0.55809176,0.39507732,-0.032005537,0
0.54044425,0.5752564,1.2040918e-07,0.5149452,0.54416,-0.010744373,0.50674057,0.49824136,-0.015636,0.524094,0.46585017,-0.020776102,0.5430957,0.45063686,-0.025667852,0.5046597,0.45135042,-0.0033254009,0.49926367,0.40110773,-0.012417604,0.498322,0.37094158,-0.020970361,0.4989946,0.3452229,-0.027709309,0.5256352,0.44612062,-0.0059920363,0.52189994,0.39219645,-0.013604577,0.5213238,0.3584152,-0.02207783,0.521116,0.3297253,-0.02840322,0.54638207,0.45215666,-0.010745938,0.54542017,0.40287113,-0.018827474,0.5436728,0.37183538,-0.025788544,0.54144,0.34463304,-0.030844208,0.5675041,0.46576884,-0.016936311,0.5690481,0.42907923,-0.024303436,0.5681522,0.40442932,-0.027678331,0.56667197,0.38229227,-0.030117081,0
0.54674214,0.5743803,1.12332046e-07,0.5205121,0.54359406,-0.009937449,0.5123011,0.4952426,-0.013643326,0.52950054,0.46161127,-0.017748518,0.54743344,0.44656247,-0.021749122,0.51232344,0.44764888,-0.0014106224,0.5054606,0.39706585,-0.00989341,0.50328654,0.36597508,-0.018132307,0.5030324,0.34011334,-0.024711348,0.5336329,0.44205582,-0.0043107816,0.52891815,0.38810804,-0.011495431,0.5277507,0.35405836,-0.019856004,0.5274681,0.32554922,-0.02611253,0.5543414,0.44813445,-0.009383426,0.552934,0.39868996,-0.017107764,0.55079013,0.3679327,-0.024040692,0.5485245,0.34097072,-0.02920446,0.57503134,0.46201855,-0.015888104,0.57615614,0.42541105,-0.022996638,0.5750418,0.40039355,-0.026510471,0.57376647,0.37732044,-0.029190835,0
0.54744923,0.56781495,1.14620754e-07,0.5218067,0.5382323,-0.009146411,0.5134146,0.49152422,-0.012796746,0.52981156,0.4593719,-0.016859548,0.54768056,0.44547307,-0.020963188,0.5139609,0.44422922,-0.0025764545,0.50621676,0.3939166,-0.010932693,0.50340104,0.36281735,-0.018625716,0.50239843,0.33691156,-0.02476938,0.53485847,0.4384562,-0.005873658,0.5304789,0.38441923,-0.013105617,0.529105,0.35010466,-0.021121604,0.52851176,0.32168755,-0.027001465,0.55537903,0.44462842,-0.011115132,0.5540721,0.3945386,-0.019013213,0.5519942,0.36322322,-0.026193561,0.5495031,0.3358063,-0.031408504,0.575678,0.45877546,-0.017578278,0.5770957,0.42173445,-0.02497651,0.57601374,0.39637268,-0.028684925,0.57455575,0.37307903,-0.03141095,0
0.5478084,0.5662417,9.9512775e-08,0.5216391,0.534493,-0.009254966,0.5144849,0.48742566,-0.013134331,0.5331811,0.45636925,-0.01756903,0.55222243,0.44358197,-0.022057792,0.51503384,0.44077256,-0.0023194335,0.50687206,0.39024937,-0.011042183,0.5038487,0.35929334,-0.019252824,0.50281525,0.33308882,-0.025815103,0.5365672,0.43541873,-0.0058927527,0.53235894,0.38119677,-0.013270351,0.53081745,0.34681886,-0.021841425,0.5299837,0.31793782,-0.02823569,0.55725557,0.44150206,-0.0114340335,0.55622166,0.3918634,-0.019296136,0.5542861,0.36061022,-0.02654235,0.55191773,0.33287075,-0.031876184,0.5774746,0.45536256,-0.018300451,0.578578,0.4187549,-0.025415163,0.57698405,0.39397347,-0.02880035,0.57493275,0.37149882,-0.031364087,0
0.54868865,0.5653404,8.82353e-08,0.5235809,0.5337378,-0.008725127,0.5153896,0.4867213,-0.012655328,0.53239083,0.456106,-0.017339287,0.5521112,0.4445194,-0.022118386,0.51717734,0.43928495,-0.0022291262,0.5084969,0.38960314,-0.0110380575,0.50515604,0.35882547,-0.019281209,0.50387394,0.33283603,-0.025836857,0.5379411,0.43445924,-0.0062551694,0.53336275,0.37952316,-0.013596106,0.53168356,0.34499115,-0.02187921,0.53091204,0.31582135,-0.02809446,0.5583612,0.44060147,-0.012169417,0.5573219,0.38961366,-0.019906655,0.5555532,0.3587765,-0.026296468,0.5534791,0.33152792,-0.030988496,0.57855445,0.45445308,-0.019434148,0.579562,0.41708958,-0.02613214,0.5785127,0.39205274,-0.028723715,0.57730377,0.36955583,-0.03072595,0
0.55022794,0.5646182,7.037308e-08,0.5252692,0.5346672,-0.010063683,0.5178689,0.48625755,-0.014147738,0.5359971,0.4532768,-0.018749006,0.55583775,0.4394318,-0.023402192,0.5202932,0.43759292,-0.0028773108,0.51189643,0.38735208,-0.011653689,0.5087027,0.35640067,-0.019987421,0.5076247,0.33006024,-0.026833627,0.54119813,0.4329577,-0.0063256887,0.5365856,0.37800723,-0.013888573,0.53475153,0.3436392,-0.02272353,0.53361166,0.31382972,-0.029549634,0.5611305,0.4395755,-0.0117850425,0.5604453,0.388605,-0.019990502,0.5591122,0.35754895,-0.027072668,0.5572804,0.32981706,-0.032439414,0.5805941,0.45395425,-0.018687466,0.5815719,0.4169729,-0.025947407,0.5807724,0.39184913,-0.029312082,0.57969135,0.36908972,-0.032061778,0
0.54853654,0.55874383,1.1109989e-07,0.52429086,0.52949953,-0.0095538795,0.51679236,0.4823623,-0.013622661,0.53404176,0.4504255,-0.018117385,0.55249494,0.43612698,-0.02261905,0.5173269,0.43350476,-0.0034016878,0.51181334,0.38333133,-0.012190256,0.5107333,0.35273552,-0.020386765,0.51146257,0.3270489,-0.0268879,0.5384774,0.42908788,-0.0067932303,0.53499264,0.37489074,-0.0141083775,0.5344335,0.34048188,-0.02239675,0.5345605,0.31192052,-0.028605193,0.5588709,0.43604735,-0.012102296,0.55864304,0.3860228,-0.019974109,0.5573021,0.35521373,-0.026883634,0.55559206,0.32822832,-0.031985912,0.5788898,0.45077258,-0.01874436,0.58048195,0.41409,-0.026310012,0.5797334,0.38938555,-0.029835885,0.57863605,0.36704263,-0.03238251,0
