t;bat;h;tof;yaw;vgx;vgy;vgz
1770206325.6643782;100.0;0.0;10.0;0.0;0.0;0.0;0.0
1770206326.6889436;100.0;0.0;10.0;0.0;0.0;0.0;0.0
1770206327.7052045;100.0;0.0;10.0;0.0;0.0;0.0;0.0
1770206328.7204702;100.0;0.0;10.0;0.0;0.0;0.0;0.0
1770206329.7477665;100.0;0.0;10.0;0.0;0.0;0.0;0.0
1770206330.7490828;100.0;0.0;10.0;0.0;0.0;0.0;0.0
1770206331.7511904;99.0;0.0;10.0;0.0;1.0;1.0;2.0
1770206332.7522428;99.0;0.0;38.0;-37.0;0.0;-1.0;1.0
1770206333.7745104;98.0;0.0;10.0;-55.0;-3.0;-7.0;0.0
1770206334.7943375;98.0;0.0;10.0;-119.0;0.0;0.0;0.0
1770206335.8206007;97.0;10.0;10.0;-168.0;0.0;0.0;2.0
1770206336.8497374;97.0;0.0;10.0;-178.0;0.0;0.0;0.0
1770206337.8622158;96.0;0.0;10.0;-176.0;0.0;0.0;0.0
1770206338.8898883;96.0;0.0;10.0;-163.0;0.0;0.0;0.0
1770206339.909687;95.0;0.0;10.0;-109.0;0.0;0.0;0.0
1770206340.9242911;95.0;0.0;10.0;-91.0;0.0;0.0;0.0
1770206341.9243903;94.0;0.0;10.0;-86.0;0.0;0.0;0.0
1770206342.9396417;94.0;0.0;10.0;-86.0;0.0;0.0;0.0
1770206343.956281;93.0;0.0;10.0;-86.0;0.0;0.0;0.0
1770206344.9639728;93.0;0.0;10.0;-86.0;0.0;0.0;0.0
1770206345.9927597;93.0;0.0;10.0;-86.0;0.0;0.0;0.0
1770206346.9995148;93.0;0.0;10.0;-85.0;0.0;0.0;0.0
1770206348.0119722;93.0;0.0;10.0;-84.0;0.0;0.0;0.0
1770206349.0614424;93.0;0.0;10.0;26.0;0.0;0.0;0.0
1770206350.0741365;93.0;0.0;10.0;82.0;0.0;0.0;2.0
1770206351.0976999;93.0;0.0;10.0;94.0;0.0;0.0;0.0
1770206352.1020188;93.0;0.0;10.0;92.0;0.0;0.0;0.0
1770206353.1217835;93.0;0.0;10.0;93.0;0.0;0.0;0.0
1770206354.127804;92.0;0.0;10.0;94.0;0.0;0.0;0.0
1770206355.1340592;92.0;0.0;10.0;94.0;0.0;0.0;0.0
1770206356.1450078;92.0;0.0;10.0;94.0;0.0;0.0;0.0
1770206357.15285;92.0;0.0;10.0;94.0;0.0;0.0;0.0
1770206358.1682065;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206359.1817465;92.0;0.0;10.0;96.0;0.0;0.0;0.0
1770206360.1888452;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206361.1914449;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206362.1996014;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206363.209726;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206364.2306886;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206365.2346203;92.0;0.0;10.0;96.0;0.0;0.0;0.0
1770206366.2567134;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206367.263479;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206368.2691765;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206369.2869046;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206370.3070188;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206371.311718;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206372.342587;92.0;0.0;10.0;95.0;0.0;0.0;0.0
1770206373.3624036;92.0;0.0;10.0;94.0;0.0;0.0;-2.0
1770206374.3716497;92.0;0.0;10.0;175.0;0.0;0.0;2.0
1770206375.4068227;92.0;0.0;10.0;-166.0;0.0;0.0;5.0
1770206376.4377298;92.0;-20.0;77.0;-164.0;0.0;0.0;-9.0
1770206377.4722874;92.0;0.0;10.0;-169.0;0.0;0.0;0.0
1770206378.4913347;92.0;0.0;10.0;-169.0;0.0;0.0;0.0
1770206379.5046346;92.0;0.0;10.0;-169.0;0.0;0.0;0.0
1770206380.5211248;92.0;0.0;10.0;-168.0;0.0;0.0;0.0
1770206381.5363343;92.0;0.0;10.0;-168.0;0.0;0.0;0.0
1770206389.9006734;90.0;70.0;84.0;-167.0;0.0;0.0;0.0
1770206390.9147525;89.0;70.0;84.0;-167.0;0.0;0.0;0.0
1770206391.9228692;89.0;70.0;84.0;-167.0;0.0;0.0;0.0
1770206392.9528582;88.0;70.0;84.0;-167.0;0.0;0.0;0.0
1770206393.9556944;88.0;70.0;83.0;-167.0;0.0;0.0;0.0
1770206394.9741786;87.0;70.0;83.0;-167.0;0.0;0.0;0.0
1770206395.9909685;87.0;70.0;82.0;-167.0;0.0;0.0;0.0
1770206396.9955978;86.0;70.0;83.0;-167.0;0.0;0.0;0.0
1770206398.000832;86.0;70.0;83.0;-167.0;0.0;0.0;0.0
1770206399.0027974;85.0;60.0;69.0;-167.0;0.0;0.0;-4.0
1770206400.0185688;85.0;10.0;20.0;-167.0;0.0;0.0;-4.0
1770206401.0221217;84.0;0.0;6553.0;-168.0;-2.0;0.0;0.0
1770206402.0358024;84.0;0.0;6553.0;-168.0;-4.0;0.0;-2.0
1770206403.0593257;83.0;0.0;6553.0;-168.0;0.0;0.0;0.0
1770206404.0627468;83.0;0.0;6553.0;-168.0;0.0;0.0;0.0
1770206405.0813005;82.0;0.0;6553.0;-167.0;0.0;0.0;0.0
1770206406.0977767;82.0;0.0;6553.0;-167.0;0.0;0.0;0.0
1770206407.1171863;81.0;0.0;6553.0;-166.0;0.0;0.0;0.0
1770206408.133766;81.0;40.0;45.0;-164.0;0.0;0.0;7.0
1770206409.1593168;80.0;70.0;68.0;-164.0;0.0;0.0;0.0
1770206410.1871848;80.0;60.0;63.0;-164.0;-1.0;0.0;0.0
1770206411.1965525;79.0;50.0;50.0;-164.0;0.0;0.0;0.0
1770206412.224228;79.0;60.0;66.0;-164.0;0.0;0.0;1.0
1770206413.2537186;78.0;80.0;86.0;-164.0;0.0;0.0;1.0
1770206414.254717;78.0;100.0;106.0;-164.0;0.0;0.0;1.0
1770206415.2667391;77.0;120.0;125.0;-164.0;0.0;0.0;1.0
1770206416.267391;77.0;140.0;145.0;-164.0;0.0;0.0;1.0
1770206417.2705514;77.0;150.0;156.0;-164.0;0.0;0.0;1.0
1770206418.2946882;77.0;170.0;179.0;-164.0;0.0;0.0;1.0
1770206419.3149805;77.0;190.0;194.0;-164.0;0.0;0.0;0.0
1770206420.3321636;76.0;190.0;196.0;-164.0;0.0;2.0;0.0
1770206421.3453336;76.0;180.0;179.0;-164.0;0.0;0.0;-1.0
1770206422.3598955;76.0;160.0;163.0;-164.0;0.0;0.0;-1.0
1770206423.3604822;76.0;150.0;144.0;-165.0;0.0;0.0;-1.0
1770206424.3774014;75.0;140.0;139.0;-164.0;0.0;2.0;0.0
1770206425.406269;75.0;140.0;137.0;-164.0;-1.0;4.0;0.0
1770206426.41873;74.0;140.0;138.0;-164.0;0.0;3.0;0.0
1770206427.4327686;74.0;140.0;139.0;-164.0;0.0;-2.0;0.0
1770206428.43799;74.0;140.0;129.0;-164.0;1.0;-4.0;0.0
1770206429.444737;74.0;140.0;144.0;-164.0;1.0;-4.0;0.0
1770206430.4786706;74.0;140.0;143.0;-164.0;1.0;-4.0;0.0
1770206431.4988885;73.0;140.0;138.0;-164.0;-1.0;0.0;0.0
1770206432.520127;73.0;140.0;141.0;-164.0;-3.0;0.0;0.0
1770206433.533417;73.0;140.0;139.0;-164.0;-4.0;0.0;0.0
1770206434.5499587;73.0;140.0;139.0;-164.0;-4.0;-1.0;0.0
1770206435.5515647;73.0;140.0;138.0;-164.0;0.0;0.0;0.0
1770206436.551764;73.0;140.0;139.0;-164.0;3.0;0.0;0.0
1770206437.5518825;73.0;140.0;140.0;-164.0;4.0;1.0;0.0
1770206438.584821;72.0;140.0;141.0;-164.0;4.0;1.0;0.0
1770206439.6036499;72.0;140.0;127.0;-164.0;3.0;0.0;0.0
