t,bat,h,yaw
1770328158.1008246,53.0,0.0,35.0
1770328158.172971,53.0,0.0,35.0
1770328158.182036,53.0,0.0,35.0
1770328158.243488,53.0,0.0,35.0
1770328158.2593267,53.0,0.0,35.0
1770328158.3057945,53.0,0.0,35.0
1770328158.3208663,53.0,0.0,35.0
1770328158.367567,53.0,0.0,35.0
1770328158.3821254,53.0,0.0,35.0
1770328158.4283226,52.0,0.0,35.0
1770328158.4439435,52.0,0.0,35.0
1770328158.4900732,52.0,0.0,35.0
1770328158.5051231,52.0,0.0,35.0
1770328158.5358186,52.0,0.0,35.0
1770328158.5517242,52.0,0.0,35.0
1770328158.5826185,52.0,0.0,35.0
1770328158.5977132,52.0,0.0,35.0
1770328158.6283276,52.0,0.0,35.0
1770328158.6440375,52.0,0.0,35.0
1770328158.6747386,52.0,0.0,35.0
1770328158.689859,52.0,0.0,35.0
1770328158.7203927,52.0,0.0,35.0
1770328158.735754,52.0,0.0,35.0
1770328158.7660377,52.0,0.0,35.0
1770328158.7822783,52.0,0.0,35.0
1770328158.8131049,52.0,0.0,35.0
1770328158.828238,52.0,0.0,35.0
1770328158.8592014,52.0,0.0,35.0
1770328158.8751528,52.0,0.0,35.0
1770328158.9061036,52.0,0.0,35.0
1770328158.9211862,52.0,0.0,35.0
1770328158.9519424,52.0,0.0,35.0
1770328158.9671602,52.0,0.0,35.0
1770328158.9981172,52.0,0.0,35.0
1770328159.013755,52.0,0.0,35.0
1770328159.0447445,52.0,0.0,35.0
1770328159.0602357,52.0,0.0,35.0
1770328159.0906172,52.0,0.0,35.0
1770328159.1064093,52.0,0.0,35.0
1770328159.1368735,52.0,0.0,35.0
1770328159.1521833,52.0,0.0,35.0
1770328159.1827712,52.0,0.0,35.0
1770328159.1985018,52.0,0.0,35.0
1770328159.2294059,52.0,0.0,35.0
1770328159.2451963,52.0,0.0,35.0
1770328159.275313,52.0,0.0,35.0
1770328159.2912397,52.0,0.0,35.0
1770328159.3385081,52.0,0.0,35.0
1770328159.353387,52.0,0.0,35.0
1770328159.38498,52.0,0.0,35.0
1770328159.4010077,52.0,0.0,35.0
1770328159.447459,52.0,0.0,35.0
1770328159.4626634,52.0,0.0,35.0
1770328159.493786,52.0,0.0,35.0
1770328159.5087967,52.0,0.0,35.0
1770328159.5402908,52.0,0.0,35.0
1770328159.555737,52.0,0.0,35.0
1770328159.586041,52.0,0.0,35.0
1770328159.602134,52.0,0.0,35.0
1770328159.6329138,52.0,0.0,35.0
1770328159.6484241,52.0,0.0,35.0
1770328159.6793296,52.0,0.0,35.0
1770328159.6942651,52.0,0.0,35.0
1770328159.7402399,52.0,0.0,35.0
1770328159.7551336,52.0,0.0,35.0
1770328159.7861445,52.0,0.0,35.0
1770328159.8021424,52.0,0.0,35.0
1770328159.8475032,52.0,0.0,35.0
1770328159.863103,52.0,0.0,35.0
1770328159.893882,52.0,0.0,35.0
1770328159.9090755,52.0,0.0,35.0
1770328159.9399064,52.0,0.0,35.0
1770328159.9557755,52.0,0.0,35.0
1770328159.9872773,52.0,0.0,35.0
1770328160.0025487,52.0,0.0,35.0
1770328160.048934,52.0,0.0,35.0
1770328160.0640619,52.0,0.0,35.0
1770328160.0948396,52.0,0.0,35.0
1770328160.109584,52.0,0.0,35.0
1770328160.1402779,52.0,0.0,35.0
1770328160.1565359,52.0,0.0,35.0
1770328160.186964,52.0,0.0,35.0
1770328160.2017517,52.0,0.0,35.0
1770328160.231545,52.0,0.0,35.0
1770328160.2470934,52.0,0.0,35.0
1770328160.278138,52.0,0.0,35.0
1770328160.2928712,52.0,0.0,35.0
1770328160.324667,52.0,0.0,35.0
1770328160.339135,52.0,0.0,35.0
1770328160.370281,52.0,0.0,35.0
1770328160.3861713,52.0,0.0,35.0
1770328160.4169977,52.0,0.0,35.0
1770328160.4329162,52.0,0.0,35.0
1770328160.4635062,52.0,0.0,35.0
1770328160.4794028,52.0,0.0,35.0
1770328160.509834,52.0,0.0,35.0
1770328160.5256584,52.0,0.0,35.0
1770328160.5562422,52.0,0.0,35.0
1770328160.5717947,52.0,0.0,35.0
1770328160.6027007,52.0,0.0,35.0
1770328160.6186643,52.0,0.0,35.0
1770328160.6490762,52.0,0.0,35.0
1770328160.6650891,52.0,0.0,35.0
1770328160.6961644,52.0,0.0,35.0
1770328160.7120345,52.0,0.0,35.0
1770328160.742335,52.0,0.0,35.0
1770328160.758078,52.0,0.0,35.0
1770328160.8039973,52.0,0.0,35.0
1770328160.8200266,52.0,0.0,35.0
1770328160.8511019,52.0,0.0,35.0
1770328160.8669903,52.0,0.0,35.0
1770328160.897323,52.0,0.0,35.0
1770328160.913383,52.0,0.0,35.0
1770328160.9452634,52.0,0.0,35.0
1770328160.9611917,52.0,0.0,35.0
1770328160.9920392,52.0,0.0,35.0
1770328161.0069394,52.0,0.0,35.0
1770328161.0381765,52.0,0.0,35.0
1770328161.0541255,52.0,0.0,35.0
1770328161.0845306,52.0,0.0,35.0
1770328161.100544,52.0,0.0,35.0
1770328161.1320972,52.0,0.0,35.0
1770328161.1479726,52.0,0.0,35.0
1770328161.193415,52.0,0.0,35.0
1770328161.2093754,52.0,0.0,35.0
1770328161.2552788,52.0,0.0,35.0
1770328161.271294,52.0,0.0,35.0
1770328161.3172233,52.0,0.0,35.0
1770328161.3327682,52.0,0.0,35.0
1770328161.3633835,52.0,0.0,35.0
1770328161.3793848,52.0,0.0,35.0
1770328161.4263828,52.0,0.0,35.0
1770328161.441502,52.0,0.0,35.0
